InChiKey,Pubchem_CID
LALGUHSIWLNTNW-UHFFFAOYSA-N,77177520
HNICUWMFWZBIFP-KDFHGORWSA-N,5282948
CTQQHQGBBMYJPT-UHFFFAOYSA-N,53394064
IFRKCNPQVIJFAQ-UHFFFAOYSA-N,53394255
BKAJNAXTPSGJCU-UHFFFAOYSA-N,70
KGIJOOYOSFUGPC-UHFFFAOYSA-N,1771
NNPWRKSGORGTIM-HCCKYKKOSA-N,5283183
CXTATJFJDMJMIY-CYBMUJFWSA-N,11953814
YMIVWYONPRZBEJ-LXKVQUBZSA-N,53481667
LZOSYCMHQXPBFU-UHFFFAOYSA-N,10245190
GOOOCIIXFLVRAG-UHFFFAOYSA-N,53481651
XOMRRQXKHMYMOC-OAQYLSRUSA-N,11953816
FNPHNLNTJNMAEE-HSZRJFAPSA-N,52922056
HITOYGLMAFIRNI-YSESTWPTSA-N,53477830
MJLXQSQYKZWZCB-DQFWFXSYSA-N,6450015
PVOQPLSKYNZHOT-SEYXRHQNSA-N,71464507
HLIJNIKSBCIDGO-UHFFFAOYSA-N,53431595
RJECHNNFRHZQKU-RMUVNZEASA-N,5283632
NAACPBBQTFFYQB-LJAITQKLSA-N,5287939
RZXYPSUQZUUHPD-UHFFFAOYSA-N,53394273
BPLYVSYSBPLDOA-UHFFFAOYSA-N,5017602
WLDYKNUYRLBSJM-UHFFFAOYSA-N,
RHIXBFQKTNYVCX-UHFFFAOYSA-N,25201286
ZFUXWVVVWGWGPQ-UHFFFAOYSA-N,25203220
GPDLYLZQDLYUMP-BSKJHSHCSA-N,10190227
VMOXUICDIMVPPG-UHFFFAOYSA-N,163171348
CJROVRTUSFQVMR-UHFFFAOYSA-N,74961299
AWTNSRHUZXWBCO-UHFFFAOYSA-N,132994559
YVMFSKMDQVDKIS-UHFFFAOYSA-N,132994561
RYZWCKUTHDRXFD-UHFFFAOYSA-N,
OEROUXQFUNUVIP-UHFFFAOYSA-N,77908675
ZBKDQSOWRSEUMN-UHFFFAOYSA-N,21259863
VPEAVPNLCFWDRE-UHFFFAOYSA-N,77908705
INIZVBFJIBJZHK-UHFFFAOYSA-N,77908714
RWONAHGWHDKVBG-UHFFFAOYSA-N,132994873
GXTRSPPHWHQFMZ-NPNMLZSOSA-N,164267617
PIVKMDKERPTVGC-UHFFFAOYSA-N,73106923
QBFXCLDNTKBAPQ-STSAHMJASA-N,52931112
GCGTXOVNNFGTPQ-JHOUSYSJSA-N,5283572
YDNKGFDKKRUKPY-TURZORIXSA-N,5283564
XXWRZIYYFPIQHE-UHFFFAOYSA-N,75963948
GMWIWVUTMCBDSP-UHFFFAOYSA-N,180282
BCZGPUAIZZZGTF-HSCORPAWSA-N,138125108
VODZWWMEJITOND-UHFFFAOYSA-N,3607830
WNPWDGNHTKGEDS-UHFFFAOYSA-N,25201955
XWBWIAOWSABHFI-NUKVNZTCSA-N,5283566
WYSRACVJQVNCRW-UHFFFAOYSA-N,72778956
SXPRAKSDHOEHIG-ZESVVUHVSA-N,5283575
KEPQASGDXIEOIL-UHFFFAOYSA-N,53990631
AWTNSRHUZXWBCO-UHFFFAOYSA-N,132994559
NAJHAHQNQCNWOP-UHFFFAOYSA-N,5321273
KZTBXGOBTULOIO-SZHIUZGGSA-N,138199486
BPLYVSYSBPLDOA-WVILEFPPSA-N,5283577
ZJVVOYPTFQEGPH-AUTSUKAISA-N,5283571
ZCUCZYYSYGKQQV-UHFFFAOYSA-N,132994562
KADBCXSPXAVXJL-UHFFFAOYSA-N,163141710
QHPYSHVSWAOLHS-PVNBSDFKSA-N,9547202
YWTUDCXNLITZPX-UHFFFAOYSA-N,163180417
CJROVRTUSFQVMR-GVOPMEMSSA-N,5283570
IBJXLRPUPQTCQS-SJWJHEOESA-N,138174906
VEMKTJHNOOUCRU-UHFFFAOYSA-N,132994699
AXJZLCAIYPBXLK-DMFJBLMBSA-N,134719880
BIFMSTXKGBZSAW-UHFFFAOYSA-N,132994579
SXPRAKSDHOEHIG-UHFFFAOYSA-N,9895360
FTSDYFFYZJTACJ-UHFFFAOYSA-N,53817918
DGTRPWXWXHWLIJ-UHFFFAOYSA-N,132994674
ZESJDNWGTANZCC-UHFFFAOYSA-N,14653935
HVYWMOMLDIMFJA-DPAQBDIFSA-N,5997
BHYOQNUELFTYRT-UHFFFAOYSA-N,4259412
DPUOLQHDNGRHBS-UHFFFAOYSA-N,8216
BLZVZPYMHLXLHG-UHFFFAOYSA-N,53689091
YEJYLHKQOBOSCP-OZKTZCCCSA-N,5282283
ORAWFNKFUWGRJG-UHFFFAOYSA-N,76468
TUNFSRHWOTWDNC-UHFFFAOYSA-N,11005
AFGUVBVUFZMJMX-KTKRTIGZSA-N,5312400
