annotation,Standardized name,Formula,Exact mass,Super class,Main class,Sub class,Pubchem CID,CHEBI_ID,HMDB_ID,LM_ID,KEGG_ID,INCHI_KEY, REFMET_ID
"1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)",-,,,Glycerophospholipids,Glycerophosphoinositols,PI,44251424,-,-,-,-,-,-
13-HODE,13-HODE,C18H32O3,296.2351,Fatty Acyls,Octadecanoids,HODE,5282948,,,LMFA02000155,,,RM0139907
"16,16-dimethylprostaglandin A1",-,,,Fatty Acyls,Eicosanoids,Prostaglandins,5271806,-,-,-,-,-,-
4-HDoHE,4-HDoHE,C22H32O3,344.2351,Fatty Acyls,Docosanoids,Docosanoids,14429109,72624,HMDB0060049,LMFA04000024,,IFRKCNPQVIJFAQ-PQVBWYSWSA-N,RM0153146
4-methyl-2-oxopentanoic acid,Ketoleucine,C6H10O3,130.063,Organic acids,Keto acids,Short-chain keto acids,70,48430,HMDB0000695,,C00233,BKAJNAXTPSGJCU-UHFFFAOYSA-N,RM0135977
5-HETE,5-HETE,C20H32O3,320.2351,Fatty Acyls,Eicosanoids,HETE,9862886,60943,HMDB0011134,LMFA03060084,C04805,KGIJOOYOSFUGPC-XTDASVJISA-N,RM0158210
"8,15-DiHETE","8,15-DiHETE",C20H32O4,336.2301,Fatty Acyls,Eicosanoids,HETE,53480358,88456,HMDB0010219,LMFA03060109,,NNPWRKSGORGTIM-RCDCWWQHSA-N,RM0139563
C16 Lactosyl Ceramide (d18:1/16:0),-,,,Sphingolipids,Neutral_glycosphingolipids,LacCer,53477895,84758,HMDB0006750,LMSP0501AB03,-,HLIJNIKSBCIDGO-UHFFFAOYSA-N,-
CE 18:1,CE 18:1,C45H78O2,650.6002,Sterol Lipids,Sterol esters,Chol. esters,,,,,,,RM0138765
CE 18:2,CE 18:2,C45H76O2,648.5845,Sterol Lipids,Sterol esters,Chol. esters,,,,,,,RM0016397
CE_13-HODE,-,,,Sterol Lipids,Sterol esters,Chol. esters,-,-,-,-,-,-,-
Cer 18:0;2O/24:0,Cer 18:0;O2/24:0,C42H85NO3,651.6529,Sphingolipids,Ceramides,DHCer,5283577,52961,HMDB0011768,LMSP02020012,,BPLYVSYSBPLDOA-WVILEFPPSA-N,RM0160764
