Label,758167,758168,758170,758172,758188,758189,758190,758191,758200,758202,758204,758205,758206,758207,758208,758209,758211,758212,758213,761136,761137,761142,761144,761145,761147,761148,761149,761150,761151,761154,761160,761162,761163,761165,761172,761176,761177,761178,761179,772622,772631,772636,772639,772645,772647,772648,772650,772654
#CLASS,269,287,292,270,267,258,277,295,297,300,185,162,151,149,139,138,315,304,326,114,117,321,332,92,147,340,323,330,311,104,155,120,122,336,129,197,190,196,177,179,218,250,233,261,283,263,286,273
"1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)",2768,3286,3031,3734,2571,2134,1889,2638,1669,2588,1616,2623,3464,3773,2658,2180,1121,2508,2185,1613,2170,3493,2449,2299,1540,2036,4080,1785,1783,2864,3397,2420,3266,2364,1749,3409,1903,2319,2007,2577,1825,2067,2391,322,1696,3191,5308,2679
13-HODE,13380,13207,22475,23026,30791,23734,18346,11201,6624,39449,42354,10905,6057,16351,17892,9287,14666,11594,25368,12828,16015,6937,43362,23510,19104,20653,8463,4904,6367,6429,9611,12137,8724,4835,5264,10748,61354,4851,27870,9503,10309,18262,14918,486,16157,10901,18425,12943
"16,16-dimethylprostaglandin A1",30,125,98,0,58,42,66,112,106,38,58,35,31,56,81,63,58,68,71,84,59,54,38,85,42,41,68,50,106,42,58,971,53,45,940,80,124,41,150,27,112,74,83,35,59,138,4249,85
4-HDoHE,1425,1769,2277,2530,1651,3702,2043,563,722,4155,2608,436,879,1308,1012,951,1145,882,2336,961,1407,778,1463,1716,1585,1394,713,456,490,481,743,1371,577,674,640,525,4156,478,1619,520,583,1103,881,205,1313,998,689,1038
4-methyl-2-oxopentanoic acid,2587,3204,4220,3912,5350,4176,4390,2406,1927,3385,1850,3068,1896,7596,3379,4016,1757,2534,2945,1999,1950,2505,3865,1614,1109,1970,2723,3836,3680,2001,3798,3472,2580,2747,3121,3792,2316,2509,2468,5736,2449,3813,3070,4101,3916,2625,5597,3574
5-HETE,8146,8228,10021,11130,5302,19271,7832,2054,3026,14910,13188,2524,1187,5107,6521,4150,8841,4113,9124,4661,6447,2324,9521,8986,9230,6091,2411,891,529,2339,2715,3758,1879,1271,1490,3520,16502,2886,6505,1326,1158,8670,3680,225,8587,1708,2997,12507
"8,15-DiHETE",2244,2347,1687,1660,1692,2807,1928,1679,1594,2984,3516,1707,945,1332,2881,1478,1787,1568,2308,1961,2234,1079,3260,2900,2170,1934,1179,870,932,1036,1135,2106,1038,896,1015,2211,2843,1081,2279,1140,871,2195,1488,352,2233,1382,2511,2780
acylcarnitine 08:0,908,940,275,210,1622,831,1296,992,1124,988,1672,970,730,1923,867,1416,1559,962,1434,1827,1155,1132,767,1053,672,1447,2311,516,2253,1361,1274,1745,1893,1158,376,1947,2512,1560,1847,1355,1086,1063,1810,1091,1067,1749,3144,1016
