Label,758160,758161,758162,758163,758164,758165,758169,758181,758182,758183,758184,758185,758186,758187,758193,758194,758195,758196,758197,758198,758199,758203,758210,761131,761132,761133,761134,761139,761146,761155,761156,761157,761158,761159,761161,761164,761171,761173,761174,761180,772620,772621,772623,772624,772629,772630,772632,772640
#CLASS,92,104,114,120,117,122,336,138,139,147,149,155,151,162,177,129,179,185,190,196,197,218,292,287,250,283,286,233,269,273,270,267,277,263,261,258,297,295,300,304,311,315,321,323,330,332,326,340
"1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)",1849,3421,1843,1672,3089,1967,2695,1602,2483,1944,2558,3237,1532,2134,2110,1713,2481,1341,2432,3432,2382,3088,1964,1865,1627,2676,2192,1575,2287,2198,2142,2710,1784,3476,1878,2276,2621,2553,2561,2325,1541,1420,2576,2403,2340,2568,1597,1963
13-HODE,12355,6914,5895,5578,6959,10252,10416,14881,9106,7214,4499,12575,33005,9396,9771,24885,7643,24096,14934,12415,4725,8849,3871,6927,16171,8185,5444,8218,3351,8250,5103,7369,28400,7367,3921,16952,5813,3862,12756,4862,9648,8412,4277,10165,5249,11793,13381,8494
"16,16-dimethylprostaglandin A1",66,55,74,59,71,43,88,107,70,61,44,36,123,92,54,54,40,47,82,106,76,36,31,85,91,325,65,33,55,34,50,101,24,39,1322,50,38,57,257,23,41,57,78,82,89,79,41,93
4-HDoHE,1496,732,1020,1017,885,1140,912,1647,553,800,1013,1151,4920,1269,1062,2953,462,2470,1326,974,455,617,336,727,1123,707,365,761,431,1251,500,394,4187,618,477,1141,515,383,584,513,753,591,604,988,368,569,1494,558
4-methyl-2-oxopentanoic acid,2963,4135,4465,2423,3980,3092,2196,4073,2031,2934,4062,5296,3569,4135,2519,2490,3810,4758,3411,4343,2581,3193,2230,4501,2845,2969,5698,3924,4025,3414,2626,2492,4073,3559,2651,4729,5079,2904,1927,2065,3121,2093,5209,2332,3871,2484,2050,2606
5-HETE,9396,5563,5016,1967,3115,5327,3238,14437,2731,2148,2716,3666,19773,8902,4244,11386,1056,17199,5167,7445,3822,5344,635,2029,12430,1420,1328,2476,1141,4026,1356,1378,20244,4111,1280,13279,2621,1122,3149,2509,4861,1726,1247,6498,1317,2726,7036,1827
"8,15-DiHETE",1764,1608,1303,1226,1206,1636,1232,2104,1304,935,859,1204,4428,1659,1612,3418,1095,2706,1478,1906,1644,1291,721,1229,3033,800,896,819,691,1606,1975,660,2777,1606,1106,2985,951,728,1280,1178,1653,1117,891,1960,939,1117,1947,1034
acylcarnitine 08:0,743,1039,599,845,473,637,761,489,2106,481,1094,1002,871,767,882,749,1545,752,1413,1407,758,1045,1621,2444,997,2106,1447,1055,1051,730,1488,1939,491,879,1181,447,936,1836,1098,510,808,1090,878,2758,1365,1736,809,1309
acylcarnitine 08:1,1103,866,605,327,932,1480,921,455,1242,359,1606,1334,1086,997,1640,679,1504,462,776,1151,1300,792,1067,1270,614,1319,1178,548,862,511,1050,1446,199,1491,546,525,586,1644,1024,1027,939,1239,1030,2326,985,2585,792,668
