Label,758166,758171,758173,758174,758175,758176,758177,758178,758179,758180,758192,758201,761138,761140,761141,761143,761152,761153,761166,761167,761169,761170,761175,772616,772617,772618,772619,772625,772626,772627,772628,772633,772634,772635,772637,772638,772641,772642,772643,772644,772646,772649,772651,772652,772653,772655,772657,772658
#CLASS,129,185,323,315,332,311,330,340,321,336,177,179,114,218,233,250,286,263,273,261,287,258,92,292,270,269,117,277,267,283,295,122,104,120,151,297,147,155,162,149,304,139,196,138,197,190,326,300
"1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)",1952,2121,2623,2536,2115,1501,1747,1787,2131,2060,1472,2517,1833,1504,1794,1531,2048,1237,1292,1442,1859,1145,1815,1199,2511,1531,1793,1495,1926,1887,2672,2006,1535,1655,2517,1280,1553,1305,1875,2145,1996,2911,1446,1709,1130,1759,1423,1751
13-HODE,20824,17423,7756,9386,14010,31579,10046,25053,15495,3866,6418,10338,8071,9210,7187,8158,3738,4667,29375,11127,5027,44848,6363,12321,4508,6986,9771,9615,7703,5950,12145,8991,18929,17313,11858,35702,11508,12832,10684,6291,4825,4478,6957,12222,14519,6570,57553,38376
"16,16-dimethylprostaglandin A1",54,381,57,71,503,52,133,98,26,156,35,52,51,49,57,13,90,36,32,60,29,60,137,36,83,235,62,75,47,101,56,287,74,55,47,51,52,29,365,40,49,47,49,35,95,37,95,47
4-HDoHE,1773,960,609,628,496,3189,626,1657,1014,621,677,525,862,825,416,828,292,539,6416,1052,474,5882,440,836,566,578,959,1039,342,520,855,736,991,2198,829,2419,1097,666,1026,887,783,807,589,860,1143,775,1977,1537
4-methyl-2-oxopentanoic acid,4850,2062,6748,3173,29142,2383,4217,4038,5827,3452,4436,3587,3583,2817,2508,1504,2538,3943,3742,7047,2465,3208,4071,2485,3616,3827,2626,2631,2096,1758,2678,2706,4260,2627,3165,3065,2219,2182,1946,2790,2543,2144,1730,2823,2776,2907,2814,4617
5-HETE,12785,12631,2941,5727,1735,18099,7238,4408,3463,2132,5346,1626,3018,5799,2650,6318,920,2821,29501,2233,1775,33184,2855,7232,816,2955,3594,7989,1809,1566,2734,4185,10082,9714,2849,17534,6508,6495,9391,4044,2539,2029,3408,1858,7674,8647,12554,20151
"8,15-DiHETE",1860,2258,928,1630,931,4724,1798,1757,1240,594,2117,1222,1378,1726,1382,1784,973,802,5879,1097,866,5384,1353,1994,850,1282,1332,2173,1142,1017,1375,1596,2815,1883,1185,3873,1796,1689,1976,1164,1073,1201,1259,1101,2697,1727,2896,5108
acylcarnitine 08:0,701,1575,1916,864,1540,963,950,1337,1734,567,1655,3292,1110,1514,2118,1330,2074,1428,1197,1443,1352,446,1152,1308,1532,1675,883,1055,2239,1686,4341,1364,1645,672,4362,1289,1471,1259,1401,1399,1517,1075,1684,2728,1675,2362,1378,1764
acylcarnitine 08:1,1225,1356,3460,1685,1960,1101,1046,2093,2264,1227,1019,2195,995,1566,1059,666,1719,2048,1476,968,823,1224,1938,1724,1499,1562,2264,1113,1893,1401,3346,1291,2360,910,2609,2737,1988,1432,1490,2421,1756,1190,1341,3594,1163,1806,2391,2567
acylcarnitine 10:0,845,1391,3230,2738,1555,1179,3323,2129,3212,2051,3398,5593,800,4109,4216,2586,1795,1955,1539,3768,5358,4023,1762,2831,2287,3037,1702,1996,3490,3742,12917,1796,2072,1042,11443,2545,1944,1553,1291,3368,2673,913,3381,4355,2038,4326,2371,2733
