"Label","758167","758168","758170","758172","758188","758189","758190","758191","758200","758202","758204","758205","758206","758207","758208","758209","758211","758212","758213","761136","761137","761142","761144","761145","761147","761148","761149","761150","761151","761154","761160","761162","761163","761165","761172","761176","761177","761178","761179","772622","772631","772636","772639","772645","772647","772648","772650","772654","772656"
"#CLASS","269","287","292","270","267","258","277","295","297","300","185","162","151","149","139","138","315","304","326","114","117","321","332","92","147","340","323","330","311","104","155","120","122","336","129","197","190","196","177","179","218","250","233","261","283","263","286","273","266"
"2.11_1258.07","2240","1708","1943","2835","4083","2024","3038","1785","2992","5784","3840","3790","2149","2072","4244","3289","4290","6443","6984","4732","4480","3620","5369","4729","4576","4592","3329","2073","4142","2936","4426","5511","2370","3689","1606","3633","3871","2638","4058","4785","4058","5155","4308","0","2652","7098","2538","2873","3787"
"2.15_760.02","4969","5015","5377","5557","4800","3835","3545","3983","3157","3951","2849","5607","3997","4862","3191","3950","4284","3685","3831","3454","4121","5264","6399","4826","3521","3342","6791","1781","1962","4053","5226","5833","5260","3947","1828","6213","4221","3048","4039","4682","2979","3296","5229","0","3996","3796","10262","3828","5066"
"2.12_1260.08","3491","3029","2544","3489","4061","2881","3574","2086","2587","5470","3729","4570","1729","2198","4733","4161","4822","5366","7641","4135","4067","3154","5616","4258","4628","3684","2924","1988","3388","3168","3155","3959","2749","3089","3230","3507","4379","3531","3760","3822","3885","4327","3939","0","3247","5578","2129","4231","4357"
"2.15_758.89","5831","7589","6063","8771","11385","6762","7839","6711","5630","8282","5816","8238","6755","9592","4478","6711","7969","7360","4814","6558","8700","7225","11484","4509","3748","7467","10757","6345","11673","9212","6697","11267","8605","8145","3404","11389","5705","5822","9199","6774","6241","9033","9168","0","6187","4489","10265","6230","15888"
"2.07_704.32","2889","4216","2710","4737","2448","1773","4814","5035","1290","2631","2248","3509","1659","5873","5110","1808","4838","4196","4531","2356","3548","4105","3961","4688","4532","1850","4182","774","1490","5363","1467","3297","4866","1204","975","4462","4498","1036","3314","4403","3388","3384","2383","0","3380","2717","10229","6246","4107"
"2.07_703.88","5225","4813","4667","3753","4802","4460","4268","6961","4968","5769","3878","5261","3704","6656","3835","2206","5687","3586","4995","4878","4981","4030","6052","5479","6141","3878","3412","189","4023","6284","2364","4664","2590","4097","1697","7650","5003","3293","6123","3713","4267","5632","4642","0","5886","3849","10235","4253","4482"
"2.81_787.81","2786","531","4613","0","5397","251","2926","2843","3265","3497","6061","386","3243","2773","400","174","11841","1762","2752","0","6474","3252","10408","2436","6188","7775","4277","349","2515","328","5127","279","3051","4538","699","0","2375","399","3227","5869","4577","2964","3299","57","157","2666","1613","2340","3167"
"2.15_1516.13","199754","260524","202846","279826","274347","124626","135944","216549","112744","124624","99682","289338","216726","282160","158422","206280","195004","195547","129857","133252","169518","270478","289477","239345","184719","135771","433615","47379","113512","239361","223338","304023","269865","144765","29421","227571","129970","68194","215331","234639","116376","142848","249403","0","137929","230795","686430","200680","504191"
