"Label","758160","758161","758162","758163","758164","758165","758169","758181","758182","758183","758184","758185","758186","758187","758193","758194","758195","758196","758197","758198","758199","758203","758210","761131","761132","761133","761134","761135","761139","761146","761155","761156","761157","761158","761159","761161","761164","761171","761173","761174","761180","772620","772621","772623","772624","772629","772630","772632","772640"
"#CLASS","92","104","114","120","117","122","336","138","139","147","149","155","151","162","177","129","179","185","190","196","197","218","292","287","250","283","286","266","233","269","273","270","267","277","263","261","258","297","295","300","304","311","315","321","323","330","332","326","340"
"2.11_1258.07","1310","933","1485","1785","2109","2603","3341","1976","2522","2332","1752","2630","3567","2087","1882","3194","2882","2187","2580","2798","2575","1270","5829","2608","3986","2292","1834","3483","2680","1303","4398","2464","4675","2016","2283","2742","2338","2663","2893","3617","2203","3971","3595","1644","3898","3213","6437","3865","3359"
"2.15_760.02","2872","6131","3570","2678","4391","3650","4169","3314","4292","2036","4191","5249","2682","5961","3396","3686","5186","2899","4088","5756","3965","6153","3384","4097","2291","4196","3054","3748","2449","4048","4197","4742","3641","2877","7027","3373","4938","4638","3485","5784","3349","5635","2024","4212","4328","3496","2946","2215","3945"
"2.12_1260.08","2699","1330","1917","1773","2954","4126","3353","2335","2753","2505","2407","3189","3840","2325","1899","3400","3284","2078","2775","2913","2788","1802","4621","2536","4393","2213","2747","3159","3452","1731","3612","2428","4015","2013","2319","2762","2816","2497","3339","2901","3688","4110","3161","2651","4015","2953","4441","3420","3024"
"2.15_758.89","5567","12975","8258","5906","11429","9188","7320","4813","7605","4897","6553","8161","8101","10561","7087","4490","7499","3106","11049","6496","8884","7872","4525","3884","8860","10382","6751","7049","6135","2924","6621","8408","4514","7882","9888","6110","10149","12565","5959","5495","8381","8533","8479","6412","4117","7334","5174","5893","3591"
"2.07_704.32","2553","3372","3136","1031","3540","2531","1489","2402","3439","790","5821","3592","3909","3664","3216","2472","3984","2131","3417","6258","3245","6423","1961","2991","3134","2042","2697","4543","1086","2814","1425","4833","4153","4053","6694","2877","4842","1971","2672","3144","2205","1801","2975","1777","4342","4369","1646","2179","4207"
"2.07_703.88","4952","4680","2792","3094","5257","7444","4003","4593","5120","1801","3862","4550","5095","5527","3105","4964","5589","4742","5168","4314","5714","6008","4242","2890","4488","3987","4549","4890","2776","5463","5859","3783","4019","3586","5349","4797","6229","3972","4769","4190","3518","3787","3780","5087","4983","5354","4145","3107","5626"
"2.81_787.81","4953","4680","6497","114","2296","5685","3144","3958","4573","634","3287","1968","2730","566","3152","2632","3756","3587","3298","2346","2526","0","3524","4418","4524","7724","2808","3451","3895","4731","2703","0","3561","3227","4759","7091","2457","2406","3420","1729","5097","2074","0","5294","3351","2882","5015","2359","5353"
"2.15_1516.13","116236","414055","132606","88580","317797","108790","154883","137792","166691","25114","219909","242960","67517","257358","175638","149281","201711","77044","303295","233406","183045","300273","83267","124673","101086","153270","142797","160450","100710","137614","163180","161590","205952","87773","413170","196235","187195","215842","141223","299575","142953","140038","104557","155846","200147","164967","159280","65657","138415"
"2.34_1520.16","45005","129653","68739","39790","117425","29007","66685","81532","81590","6211","81711","100286","27002","137268","77367","146292","171135","31311","154682","91168","91873","154695","120051","78824","49242","99462","77875","121444","68394","63576","125793","79924","106458","33930","161067","147833","70872","98765","76922","147221","49692","94279","66706","78717","90221","98747","69766","52230","110500"
"1.97_808.57","1033194","871680","803100","694209","844284","561310","764150","1249718","708958","460529","961051","1152367","546206","1023668","638840","1512847","892959","776542","783179","520948","827279","897543","679802","792059","951155","728222","670641","916014","785483","651383","975044","987536","1091852","703305","645088","1280358","650406","787681","862880","1076559","832070","1375104","933170","689575","745798","1017022","1023471","890656","756463"
"1.97_809.58","447584","393190","372318","316241","384585","257480","348650","540796","320446","218514","422093","497611","257043","445029","289503","657439","409761","359306","355577","241489","377234","410632","314269","360891","417248","335018","306306","406668","349038","297233","435940","440010","481977","320790","292354","559736","297329","350635","391160","468798","373708","600810","415749","310689","344390","451226","451914","396515","342136"
"1.42_790.56","172329","301075","177754","103962","325289","202214","152183","285572","267940","88552","233173","350333","116636","272772","280251","329547","405468","157692","228475","431167","300520","219475","690470","309307","257641","336684","297805","407642","152088","221801","310166","279632","796589","215509","619134","291105","312510","246243","329405","485656","270239","596063","254382","221719","462537","432734","694613","154304","359488"
"1.58_772.55","75605","144085","75932","60649","164116","90457","99027","97810","146861","37520","108997","169418","43567","115219","107598","100954","280905","52274","164077","164566","153065","122771","283909","161314","112203","196001","181126","229427","92677","97743","144044","128147","255605","67756","235869","154809","133023","143943","165413","254629","124790","189849","132305","135710","174362","224729","217688","68911","157134"
"3.04_815.70","925199","953786","888301","507780","1339417","785833","620768","839933","1213342","241365","1255591","1069505","1019756","676056","868862","1013405","1450461","590227","1240230","1118726","1025376","1726952","633947","1279834","1435595","860484","999462","1172996","655506","1256541","1154577","1231089","1049817","1105710","1858605","1077608","951141","1221350","1039797","1480760","769765","854898","800059","768436","1237631","995231","756556","874825","985741"
"1.54_790.56","7007","13950","1542","6942","8760","12474","7831","3337","87429","3645","7753","6006","1616","11540","7707","6333","163903","5196","33788","2388","22866","6375","106458","100727","9417","65130","41454","86275","8819","19902","27588","22135","71611","6401","17754","51639","2503","14861","69426","74182","8820","28816","29057","29276","15576","88332","21131","4516","31321"
"2.07_1406.15","23345","39858","23107","10846","34512","26244","16655","24706","34198","3591","42515","37935","30407","30217","29754","22691","32731","19804","42816","45164","36684","66692","24571","32485","36874","24777","27483","33897","12772","31027","33701","32342","37885","33799","57073","25010","38102","33339","26700","41854","19256","18596","25888","33616","34280","33131","18228","20476","27658"
"2.15_759.58","2204085","4116377","2388104","1908494","3563473","2147570","2526480","2376868","2654911","883502","2973469","3182969","1630387","3333613","2709201","2463023","2911199","1711223","3621174","3071711","2752449","3420193","1858507","2304694","2019721","2605948","2474882","2618975","2092991","2406221","2632331","2658599","3019967","1844538","4032110","2865430","2743212","2943226","2456791","3464044","2441013","2478172","2089177","2616865","2883020","2688177","2680822","1547607","2414348"
"1.98_783.57","87180","206141","81857","74178","200735","98583","90154","101581","192913","37441","145148","150931","66900","135097","247992","164789","124120","55745","131905","127243","163470","195092","28486","62494","51716","98017","132119","99763","55018","75125","87276","103207","81611","70426","202710","71761","157165","139807","84482","201260","96096","105039","71163","89364","100588","87689","70321","57464","106433"
"1.44_788.54","36517","119239","52122","63759","92276","100446","61359","45420","137521","14091","68843","103448","25830","101332","122740","66608","182546","30434","78719","160682","143243","59887","444868","127106","121711","195425","170275","213507","90973","138725","123412","162591","524698","41364","297202","146363","63338","142960","208076","238299","137645","334805","137026","103081","303066","266473","424614","51503","198290"
"2.37_1546.18","11981","45079","15325","7368","42536","8612","15202","17842","28737","1753","27324","29234","6621","34523","27980","29402","40394","6934","48706","21566","26678","46074","17782","17159","11413","21994","21774","30158","14492","17776","29810","21554","28932","8732","56637","30376","19177","28575","19011","40698","14254","20872","14681","23442","19003","25341","15047","11715","21547"
"1.58_818.59","50753","68004","47133","22962","85816","50804","42597","61504","83904","29910","61286","81344","36842","67407","81315","75569","89793","42303","78282","76643","75996","61977","135086","69378","60159","71304","78200","100052","47916","51222","68002","80010","182146","50645","152657","64650","79075","59645","81085","111671","61463","117648","61321","55320","75095","108553","127578","37723","63436"
"2.07_705.58","261603","356166","282175","177793","325391","293375","234971","281059","335516","95635","355124","343526","323886","328618","306897","281693","340862","253524","371405","357461","345083","449601","280101","315511","346245","288492","299691","323583","206831","318077","323451","312171","348636","334407","425713","302625","353626","317817","287849","356555","252958","228132","281430","336843","324784","331452","237890","256310","291012"
