"Label","758166","758171","758173","758174","758175","758176","758177","758178","758179","758180","758192","758201","761138","761140","761141","761143","761152","761153","761166","761167","761168","761169","761170","761175","772616","772617","772618","772619","772625","772626","772627","772628","772633","772634","772635","772637","772638","772641","772642","772643","772644","772646","772649","772651","772652","772653","772655","772657","772658"
"#CLASS","129","185","323","315","332","311","330","340","321","336","177","179","114","218","233","250","286","263","273","261","266","287","258","92","292","270","269","117","277","267","283","295","122","104","120","151","297","147","155","162","149","304","139","196","138","197","190","326","300"
"2.11_1258.07","2655","3333","1061","1543","1907","3096","919","3979","2175","1631","1554","3057","2660","3777","2799","2808","2583","1778","1203","2257","2601","1702","1707","3300","2121","2510","2904","3704","2970","2966","2509","2045","3883","3137","2973","3961","3085","4589","3528","4051","3208","3384","2914","2436","2978","3380","1290","5083","4270"
"2.15_760.02","2299","3145","2760","5786","4271","2838","3573","4875","3635","3276","4959","3770","2048","3674","3833","2902","4093","2758","1765","3449","3510","4520","1256","3980","3714","3794","3711","3532","4010","5146","3377","4903","3958","3436","3159","3860","3414","5326","3471","2902","3565","4322","3729","3087","4152","2673","4461","3615","4496"
"2.12_1260.08","3532","3474","1451","2436","2455","3399","1796","4189","2046","1522","2499","2543","2946","4616","2780","2660","3036","2478","1209","2626","2032","1921","2292","3558","2333","2275","2640","3507","3384","3026","2737","2292","4239","3690","3263","3575","3229","4624","3842","3859","2764","2774","3523","2730","3714","3337","2564","6235","4495"
"2.15_758.89","7708","7282","9705","10144","7611","9017","8284","8765","4339","6738","3248","6677","4796","9199","6339","4004","6184","5561","3831","8857","8993","4311","4273","8973","4337","9507","4388","4859","8449","4663","5326","8130","6548","6793","6412","7488","6824","6642","5162","4154","12918","7879","6488","6928","7711","8057","6097","5215","6332"
"2.07_704.32","4435","4496","3787","5543","3565","3675","774","2507","4100","1555","4054","2388","1532","3141","2847","1277","3948","1518","1341","2644","1896","4620","2240","3484","4569","4166","2716","2450","4187","4146","4821","9231","4670","4864","1983","5651","4015","1996","3573","4302","2194","5626","4385","1702","4874","3917","5099","2986","3200"
"2.07_703.88","5224","5447","5078","6992","3612","5256","3505","2559","1631","3594","4683","5487","3402","7563","4629","3600","7669","2583","4290","4713","3299","5483","4258","5856","5723","3116","2532","5642","5561","3937","5246","4824","4686","6029","4555","5901","4465","5297","6804","4619","7470","5408","5345","2056","5439","3488","6192","6373","5495"
"2.81_787.81","3417","3347","0","3297","3934","685","6547","0","3235","3032","180","3120","5585","2819","0","2266","3123","2586","7263","6211","5682","4274","7979","0","164","0","3311","5031","0","0","7434","132","4051","0","569","2075","0","3056","413","3743","243","0","3264","4650","0","5149","3044","2184","0"
"2.15_1516.13","86200","134127","208010","375398","304912","68446","130300","195085","143640","81406","155533","207025","81681","143738","152258","49511","136736","112235","23437","111122","135534","207253","30422","162174","150939","184501","141859","132144","102996","209345","158828","292362","147992","165233","115801","187105","119742","138758","99367","113780","260630","228264","190497","80757","171527","123440","119697","105813","238269"
"2.34_1520.16","54128","63429","48131","147973","112978","27502","38414","72824","50507","27483","95904","164032","67536","55016","94125","16383","156679","42436","9415","43945","53115","92549","12823","76986","102200","112096","46273","68557","47304","93894","95334","244619","72650","59648","37310","99620","53096","71171","80491","94349","113249","122214","160428","45602","115417","125569","66474","40066","109375"
"1.97_808.57","1288489","779509","996328","655781","994715","443210","577649","930094","769249","821058","814101","825270","685964","778441","1016927","534293","1256116","675677","349315","1015143","823987","638294","440740","870015","1062344","858364","549410","809379","997148","862111","870267","961848","616900","650671","601875","1092843","843082","874726","1025099","1283988","850860","1312093","799884","792883","780069","887239","901765","669334","726987"
"1.97_809.58","557522","348644","445100","296540","442012","203572","266136","407006","354354","375939","368129","368121","313551","361422","450335","244911","552762","308228","156037","440979","368605","297590","199325","384607","467146","384844","254650","375209","442400","389590","393961","426187","286808","296701","270809","473234","387217","398105","452974","554335","378529","577557","362199","363139","356677","399424","398179","307956","333538"
"1.42_790.56","208705","207080","201971","182413","274393","116549","112668","426100","180729","79079","256480","253862","146229","247618","215852","76159","446215","157751","12752","262096","125314","221828","93153","292892","260931","449411","154963","334129","242903","312794","220509","475199","336865","390155","235028","497980","228608","366943","268359","221153","317087","451851","498149","90261","506421","296090","182292","380410","530549"
"1.58_772.55","80695","98882","105940","89525","197285","56225","53444","170514","94261","40404","99493","219896","88405","95356","97455","41943","243005","78848","9836","101086","62247","138805","31548","139949","109517","226343","97140","157078","93343","254147","116735","298009","136959","157831","87751","268052","87314","134663","94222","94919","183591","173047","224493","64990","223850","109678","72873","107938","182082"
"3.04_815.70","1108755","1533940","1121595","1723784","1625775","1184642","702872","1416547","801256","414272","1271754","1707633","829752","974959","1349606","649750","1513135","996326","816372","940701","620977","1151383","692423","1481925","1109865","1495567","1107934","1567569","1292628","1454471","939345","2468155","1155624","1028327","1073889","1668222","1657006","1275777","1410878","834013","1505742","1918854","1388232","573019","1158018","1272682","1065955","1016714","1980576"
"1.54_790.56","7126","7584","8449","6540","13624","5686","3758","10477","7490","2842","8387","201482","22327","10914","7427","4654","164553","14732","1882","7325","1547","32692","4182","55599","12986","115251","9890","67995","9129","111379","6380","342915","21485","32319","12289","73770","14981","16995","12383","7227","38449","33722","49918","5132","103026","10553","6670","11485","15851"
"2.07_1406.15","40003","43645","32366","69458","48808","22187","22089","27818","25292","14407","46577","33028","20026","42052","28592","12595","49873","24368","17946","28970","13394","53125","23412","37290","42111","42272","28906","33794","48346","40089","34715","115278","40672","35455","33374","70091","39872","35823","39718","27286","73926","57003","37599","14350","58531","35125","52643","39373","60144"
"2.15_759.58","1850420","2349008","2915069","3724555","3571962","1657079","2361594","2872031","2440829","1843645","2542295","2875079","1777266","2477202","2534204","1328080","2394810","2166243","868998","2179962","2367761","2948144","988893","2605935","2554309","2737560","2480958","2382157","2109951","2905787","2618413","3396352","2565958","2661552","2160420","2788463","2274449","2470640","2019110","2161579","3357339","3117781","2743875","1823980","2717138","2285161","2262616","2121473","3100079"
"1.98_783.57","127271","177992","132836","449837","354451","160837","164818","259645","117323","113198","171699","182456","52584","155806","153152","61843","84556","90869","69824","120072","146052","112975","111808","195808","117736","173016","178690","177541","135611","115846","165223","107496","203509","154840","115202","112628","210867","152022","101833","113573","181538","172892","104538","112189","179179","96598","113665","132951","290566"
"1.44_788.54","19958","78628","75161","91902","103466","48423","32965","131866","83097","25617","178044","106069","72169","125902","105379","32371","282750","82638","9301","45708","36322","115050","13917","163020","149656","284640","101523","190544","107228","169993","109550","232624","192194","186485","100837","290575","80624","207905","140685","111327","172822","290744","294766","46651","226486","126664","50410","120044","226466"
"2.37_1546.18","15731","20853","15291","61214","41938","9629","14584","31105","17100","9250","27411","49939","14136","18937","25455","4982","37357","13597","2960","14543","17124","27497","3825","29760","19492","35873","17122","25342","17540","30278","29172","71958","26840","21613","12299","30542","17904","26494","22999","25268","37533","36523","32652","12297","30411","28310","19700","12234","36312"
"1.58_818.59","69323","73629","65696","70443","86880","51961","42963","164935","68902","36524","69437","95376","38027","79822","64421","29003","166419","54694","7947","80088","47864","73680","44150","98884","68640","139664","53945","154169","80620","82444","66802","179611","136945","101167","64460","143932","91234","140991","92897","78745","109193","124344","97454","33876","134843","81602","56449","115503","172586"
