"LipidClass","Count"
"PC",90
"TG",82
"SM",64
"Cer",42
"PE",27
"FA",24
"LPC",24
"acylcarnitine",11
"PI",10
"PEtOH",9
"LPE",8
"PS",6
"GlcCer",5
"Cer-NDS",4
"CE",2
"DG",2
"FAHFA",2
"LNAPE",2
"Phosphatidylethanolamine",2
"SHexCer",2
"SPB",2
"1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)",1
"13-HODE",1
"16,16-dimethylprostaglandin",1
"4-HDoHE",1
"4-methyl-2-oxopentanoic",1
"5-HETE",1
"8,15-DiHETE",1
"C16",1
"CE_13-HODE",1
"Cer-NP",1
"cholesterol",1
"Cholesterol",1
"cis-13-docosenoic",1
"docosanamide",1
"GlcCerd14:14E/20:02OH",1
"Hex3Cer",1
"HexCer",1
"lactosylceramide",1
"LPI",1
"LPS",1
"MG",1
"MGDG",1
"N-docosanoyl-4-sphingenyl-1-O-phosphorylcholine",1
"OxPC",1
"PA",1
"palmitoyl",1
"PE-O",1
"PFAP-FT_diPAP",1
"PGE2",1
"PMeOH",1
"trihydroxyoctadec-15-enoic",1
