"Module","Lipids"
"grey",82
"blue",23
"turquoise",23
"brown",20
"yellow",19
"green",16
"black",15
"red",15
"magenta",14
"pink",14
"purple",14
"greenyellow",12
"tan",11
"cyan",10
"midnightblue",10
"salmon",10
"grey60",9
"lightcyan",9
"lightgreen",9
"lightyellow",9
"darkgreen",8
"darkred",8
"darkturquoise",8
"royalblue",8
"darkgrey",7
"darkorange",7
"orange",7
"saddlebrown",6
"skyblue",6
"steelblue",6
"white",6
"darkmagenta",5
"darkolivegreen",5
"paleturquoise",5
"sienna3",5
"violet",5
"yellowgreen",5
