"Module","HubLipid","Rank","kME"
"magenta","FA 20:4 (arachidonic acid)",1,0.937418541149294
"magenta","FA 20:3 (homo-gamma-linolenic acid)",2,0.936425446254495
"magenta","5-HETE",3,0.924565117175124
"magenta","13-HODE",4,0.914968283634185
"magenta","FA 18:2 (linoleic acid)",5,0.906744242368227
"magenta","FA 22:4",6,0.88466901865243
"magenta","4-HDoHE",7,0.877652255522009
"magenta","FA 22:6 (docosahexaenoic acid)",8,0.833031026847183
"magenta","8,15-DiHETE",9,0.760426444282497
"magenta","FA 20:2 (eicosadienoic acid)",10,0.756478405131806
"white","FA 15:1",1,0.810732350139594
"white","FA 16:1 (palmitoleic acid)",2,0.807841218549845
"white","FA 14:1 (physeteric acid)",3,0.800908182824157
"white","FA 14:0 (myristic acid)",4,0.75518374410225
"white","4-methyl-2-oxopentanoic acid",5,0.630877876947307
"white","FA 19:1",6,0.58641367960475
"darkmagenta","acylcarnitine 18:1",1,0.923527803607861
"darkmagenta","acylcarnitine 20:1",2,0.842741654905248
"darkmagenta","acylcarnitine 18:0 Isomer A",3,0.80640630949878
"darkmagenta","acylcarnitine 16:0",4,0.774757332902634
"darkmagenta","acylcarnitine 18:2 Isomer A",5,0.705478005015423
"cyan","PC O-32:0",1,0.880032579076428
"cyan","C16 Lactosyl Ceramide (d18:1/16:0)",2,0.811456099250451
"cyan","PC O-33:0",3,0.765356633648748
"cyan","PC O-34:0",4,0.760485593886478
"cyan","LPC 32:0",5,0.723192567619234
"cyan","lactosylceramide d18:1/24:1 15Z",6,0.67744320899902
"cyan","GlcCer d34:1",7,0.669046229570686
"cyan","PC 32:0",8,0.642804004907385
"cyan","SM 32:0;3O",9,0.632624609773637
"cyan","PC O-30:0",10,0.612873875419546
"yellowgreen","TG 10:0_12:0_18:2",1,0.918369031570493
"yellowgreen","CE 18:2",2,0.864073783813866
"yellowgreen","CE 18:1",3,0.8559007146957
"yellowgreen","CE_13-HODE",4,0.803020170856241
"yellowgreen","Cer-NP t42:0",5,0.726014322580322
"darkolivegreen","Cer d42:0",1,0.906167296688034
"darkolivegreen","Cer d40:0",2,0.891255958878278
"darkolivegreen","Cer-NDS d40:0",3,0.890583191485836
"darkolivegreen","Cer 18:0;2O/24:0",4,0.867584784257077
"darkolivegreen","Cer-NDS d41:0",5,0.624896759336577
"steelblue","Cer d42:3",1,0.87636207166442
"steelblue","Cer d42:2 Isomer A",2,0.848743207308746
"steelblue","Cer 18:0;2O/24:1",3,0.818031986162013
"steelblue","Cer 18:1;2O/24:2",4,0.762347648029742
"steelblue","Cer d44:1",5,0.740982842517113
"steelblue","Cer 18:2;2O/24:1",6,0.734437054287788
"red","FA 22:0 (behenic acid)",1,0.841510501019374
"red","Cer 20:0;2O/25:0",2,0.823105426521721
"red","Cer 22:0;2O/26:0",3,0.774100107209207
"red","FA 23:0",4,0.762062368198004
"red","FA 28:0 (montanic acid)",5,0.747945360641102
"red","Cer d46:1",6,0.712929196122993
"red","Cer d44:2",7,0.693075856293998
"red","FA 30:0",8,0.682624562478973
"red","Cer 20:0;3O/24:0;(2OH)",9,0.678771942495751
"red","FA 15:0 (pentadecylic acid)",10,0.67076806959722
"turquoise","TG 50:3 Isomer A",1,0.924410758438467
"turquoise","TG 52:3",2,0.917559401926409
"turquoise","TG 53:3",3,0.915001335747733
"turquoise","TG 50:2",4,0.893074257811768
"turquoise","TG 53:4",5,0.878223998094209
"turquoise","TG 52:4",6,0.867973449480758
"turquoise","Cer 58:11;2O",7,0.862105923674753
"turquoise","TG 51:3",8,0.856910856239531
"turquoise","TG 53:2",9,0.831300937704719
"turquoise","TG 52:2",10,0.827671490763282
"black","Cer d34:2",1,0.882253225680884
"black","Cer d34:2 Isomer B",2,0.844468669173687
"black","PEtOH 16:1_16:1",3,0.822571702811901
"black","Cer d34:1",4,0.811742663144453
