"Module","HubLipid","Rank","kME"
"magenta","FA 20:4 (arachidonic acid)",1,0.922113417154664
"magenta","5-HETE",2,0.909725099703247
"magenta","FA 22:4",3,0.90839844222681
"magenta","13-HODE",4,0.905338864701787
"magenta","FA 20:3 (homo-gamma-linolenic acid)",5,0.903378512996007
"magenta","FA 18:2 (linoleic acid)",6,0.875649034661284
"magenta","8,15-DiHETE",7,0.87054530119868
"magenta","FA 22:6 (docosahexaenoic acid)",8,0.840498628380369
"magenta","4-HDoHE",9,0.803027362429956
"magenta","FA 18:3 (linolenic acid)",10,0.668471900106759
"white","FA 14:1 (physeteric acid)",1,0.900665537544726
"white","FA 16:1 (palmitoleic acid)",2,0.886176597424159
"white","FA 15:1",3,0.873263465526527
"white","FA 19:1",4,0.767897091728118
"white","FA 14:0 (myristic acid)",5,0.725873481088506
"white","4-methyl-2-oxopentanoic acid",6,0.5652487387643
"darkmagenta","acylcarnitine 18:1",1,0.921538669131271
"darkmagenta","acylcarnitine 20:1",2,0.902095741190321
"darkmagenta","acylcarnitine 16:0",3,0.865413685637212
"darkmagenta","acylcarnitine 18:0 Isomer A",4,0.846667920951007
"darkmagenta","acylcarnitine 18:2 Isomer A",5,0.69384842524946
"cyan","PC O-32:0",1,0.873232935070363
"cyan","C16 Lactosyl Ceramide (d18:1/16:0)",2,0.870602743364103
"cyan","LPC 32:0",3,0.808675520697908
"cyan","PC O-33:0",4,0.775994637316542
"cyan","PC O-34:0",5,0.752100651377677
"cyan","PC O-30:0",6,0.732521058734727
"cyan","PC 32:0",7,0.721789869609026
"cyan","lactosylceramide d18:1/24:1 15Z",8,0.672125780626633
"cyan","GlcCer d34:1",9,0.667636879396313
"cyan","SM 32:0;3O",10,0.653723161821283
"yellowgreen","CE 18:1",1,0.884141954695406
"yellowgreen","CE 18:2",2,0.870418234365496
"yellowgreen","TG 10:0_12:0_18:2",3,0.852580287782488
"yellowgreen","CE_13-HODE",4,0.847349199037756
"yellowgreen","Cer-NP t42:0",5,0.60623087756375
"darkolivegreen","Cer-NDS d40:0",1,0.952274658399036
"darkolivegreen","Cer 18:0;2O/24:0",2,0.943615071528336
"darkolivegreen","Cer d40:0",3,0.9242199160441
"darkolivegreen","Cer d42:0",4,0.913789350087033
"darkolivegreen","Cer-NDS d41:0",5,0.554736619606455
"steelblue","Cer d42:2 Isomer A",1,0.956979540935622
"steelblue","Cer d42:3",2,0.945293085384661
"steelblue","Cer 18:1;2O/24:2",3,0.897288988543793
"steelblue","Cer 18:2;2O/24:1",4,0.873251492026577
"steelblue","Cer 18:0;2O/24:1",5,0.820326652392795
"steelblue","Cer d44:1",6,0.620188610786268
"red","FA 23:0",1,0.88924517350758
"red","FA 22:0 (behenic acid)",2,0.861341010755237
"red","FA 28:0 (montanic acid)",3,0.844705290451448
"red","Cer 20:0;2O/25:0",4,0.754286593519397
"red","Cer 20:0;2O/26:0",5,0.753938542384377
"red","FA 15:0 (pentadecylic acid)",6,0.718699095412113
"red","FA 30:0",7,0.699590274406009
"red","Cer 22:0;2O/26:0",8,0.693877571510326
"red","Cer 20:0;3O/24:0;(2OH)",9,0.678691236329505
"red","Cer d46:1",10,0.626736457136875
"turquoise","TG 50:3 Isomer A",1,0.966701647315477
"turquoise","TG 52:3",2,0.950130053161432
"turquoise","TG 53:3",3,0.942840045101762
"turquoise","TG 51:3",4,0.935333879728431
"turquoise","TG 50:2",5,0.925313862681461
"turquoise","TG 52:2",6,0.923339191936077
"turquoise","TG 53:4",7,0.915676394117065
"turquoise","TG 50:4",8,0.903420939561422
"turquoise","Cer 58:11;2O",9,0.887033781219952
"turquoise","TG 51:2 Isomer A",10,0.880515890284401
"black","Cer d34:2",1,0.917168039774919
"black","Cer d34:2 Isomer B",2,0.911418174316714
"black","Cer d32:1",3,0.87823335704045
"black","Cer d34:1",4,0.835152810929509
"black","LPE O-18:1",5,0.795632143782737
"black","Cer d33:1",6,0.760465809221899
"black","palmitoyl ethanolamide",7,0.743199931782312
"black","PEtOH 16:0_16:1",8,0.742336736459012
"black","LPE 18:0",9,0.740337169744507
"black","LPE O-16:1",10,0.710628947984645
"greenyellow","Cer d40:1",1,0.915857062555476
"greenyellow","Cer d40:2",2,0.892091880345536
"greenyellow","Cer d38:1",3,0.889319919820751
"greenyellow","Cer d36:1",4,0.877360632959609
"greenyellow","Cer d42:1",5,0.83134367495118
"greenyellow","Cer 18:2;2O/22:0",6,0.811020511706797
"greenyellow","Cer d39:1",7,0.793597507304855
"greenyellow","Cer 18:2;2O/23:0",8,0.772404162435885
"greenyellow","Cer d36:2",9,0.734714076086009
"greenyellow","Cer d41:2",10,0.545105885055068
"lightcyan","TG 54:2",1,0.95460948216773
"lightcyan","TG 16:0_18:1_20:0",2,0.95274932559184
