"Module","HubLipid","Rank","kME"
"magenta","FA 20:3 (homo-gamma-linolenic acid)",1,0.947608039822525
"magenta","FA 22:4",2,0.945488741899714
"magenta","FA 18:2 (linoleic acid)",3,0.921912921954579
"magenta","5-HETE",4,0.911527166799732
"magenta","FA 20:4 (arachidonic acid)",5,0.901218076243494
"magenta","FA 22:6 (docosahexaenoic acid)",6,0.889540048920837
"magenta","13-HODE",7,0.87479511679543
"magenta","4-HDoHE",8,0.866839799434231
"magenta","FA 18:3 (linolenic acid)",9,0.72109888193534
"magenta","FA 20:2 (eicosadienoic acid)",10,0.711362080879225
"white","FA 14:1 (physeteric acid)",1,0.875037010298964
"white","FA 16:1 (palmitoleic acid)",2,0.811320888883674
"white","FA 19:1",3,0.698721016357145
"white","4-methyl-2-oxopentanoic acid",4,0.675769839174961
"white","FA 15:1",5,0.642879392274813
"white","FA 14:0 (myristic acid)",6,0.601755477894465
"darkmagenta","acylcarnitine 18:1",1,0.921947018465525
"darkmagenta","acylcarnitine 18:0 Isomer A",2,0.844280086764825
"darkmagenta","acylcarnitine 16:0",3,0.816985944171252
"darkmagenta","acylcarnitine 18:2 Isomer A",4,0.673447073610495
"darkmagenta","acylcarnitine 20:1",5,0.662997974886158
"cyan","PC O-32:0",1,0.84518452821673
"cyan","lactosylceramide d18:1/24:1 15Z",2,0.807126414494738
"cyan","PC O-33:0",3,0.793822540505575
"cyan","C16 Lactosyl Ceramide (d18:1/16:0)",4,0.769643174683283
"cyan","PC O-30:0",5,0.671312301959644
"cyan","LPC 32:0",6,0.647811237299181
"cyan","PC O-34:0",7,0.646419559733155
"cyan","PC 32:0",8,0.637089744682163
"cyan","GlcCer d34:1",9,0.634014796152744
"cyan","SM 32:0;3O",10,0.575832322883274
"yellowgreen","CE 18:1",1,0.918750418977564
"yellowgreen","CE 18:2",2,0.853242826370583
"yellowgreen","TG 10:0_12:0_18:2",3,0.741491822043508
"yellowgreen","CE_13-HODE",4,0.732158788666342
"yellowgreen","Cer-NP t42:0",5,0.592974602007204
"darkolivegreen","Cer-NDS d40:0",1,0.94621696721994
"darkolivegreen","Cer 18:0;2O/24:0",2,0.943225089685543
"darkolivegreen","Cer d42:0",3,0.921639112156064
"darkolivegreen","Cer d40:0",4,0.920056754531279
"darkolivegreen","Cer-NDS d41:0",5,0.511713244802127
