"annotation","InChiKey","Pubchem_CID_direct","Pubchem_CID_refmet","Super.class","Main.class"
"1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)","LALGUHSIWLNTNW-UHFFFAOYSA-N",77177520,44251424,"Glycerophospholipids","Glycerophosphoinositols"
"16,16-dimethylprostaglandin A1","CTQQHQGBBMYJPT-UHFFFAOYSA-N",53394064,5271806,"Fatty Acyls","Eicosanoids"
"4-HDoHE","IFRKCNPQVIJFAQ-UHFFFAOYSA-N",53394255,14429109,"Fatty Acyls","Docosanoids"
"5-HETE","KGIJOOYOSFUGPC-UHFFFAOYSA-N",1771,9862886,"Fatty Acyls","Eicosanoids"
"8,15-DiHETE","NNPWRKSGORGTIM-HCCKYKKOSA-N",5283183,53480358,"Fatty Acyls","Eicosanoids"
"acylcarnitine 10:0","LZOSYCMHQXPBFU-UHFFFAOYSA-N",10245190,11953821,"Fatty Acyls","Fatty esters"
"C16 Lactosyl Ceramide (d18:1/16:0)","HLIJNIKSBCIDGO-UHFFFAOYSA-N",53431595,53477895,"Sphingolipids","Neutral_glycosphingolipids"
"Cer 18:0;2O/24:0","BPLYVSYSBPLDOA-UHFFFAOYSA-N",5017602,5283577,"Sphingolipids","Ceramides"
"Cer 18:1;2O/26:0","CJROVRTUSFQVMR-UHFFFAOYSA-N",74961299,5283570,"Sphingolipids","Ceramides"
"Cer 18:2;2O/22:0","AWTNSRHUZXWBCO-UHFFFAOYSA-N",132994559,52931123,"Sphingolipids","Ceramides"
"Cer 18:2;2O/22:0","AWTNSRHUZXWBCO-UHFFFAOYSA-N",132994559,52931123,"Sphingolipids","Ceramides"
"Cer 18:2;2O/23:0","YVMFSKMDQVDKIS-UHFFFAOYSA-N",132994561,52931124,"Sphingolipids","Ceramides"
"Cer 20:0;2O/24:0","OEROUXQFUNUVIP-UHFFFAOYSA-N",77908675,70678830,"Sphingolipids","Ceramides"
"Cer 20:0;2O/25:0","ZBKDQSOWRSEUMN-UHFFFAOYSA-N",21259863,134783453,"Sphingolipids","Ceramides"
"Cer 20:0;2O/26:0","VPEAVPNLCFWDRE-UHFFFAOYSA-N",77908705,70678875,"Sphingolipids","Ceramides"
"Cer 22:0;2O/26:0","RWONAHGWHDKVBG-UHFFFAOYSA-N",132994873,134765426,"Sphingolipids","Ceramides"
"cholesterol 3-sulfate","BHYOQNUELFTYRT-UHFFFAOYSA-N",4259412,65076,"Sterol Lipids","Sterols"
"cis-13-docosenoic acid","DPUOLQHDNGRHBS-UHFFFAOYSA-N",8216,5281116,"Fatty Acyls","Fatty acids"
"FA 18:2 (linoleic acid)","JBYXPOFIGCOSSB-XBLVEGMJSA-N",5282796,5280450,"Fatty Acyls","Fatty acids"
"LPC O-16:0","VLBPIWYTPAXCFJ-UHFFFAOYSA-N",3983,162126,"Glycerophospholipids","Glycerophosphocholines"
"N-docosanoyl-4-sphingenyl-1-O-phosphorylcholine","FJJANLYCZUNFSE-UHFFFAOYSA-N",74978583,44260125,"Sphingolipids","Phosphosphingolipids"
"N-docosanoyl-4-sphingenyl-1-O-phosphorylcholine","FJJANLYCZUNFSE-UHFFFAOYSA-N",74978583,44260125,"Sphingolipids","Phosphosphingolipids"
"PC O-18:0_16:0","GTFLTTXDLGEBAI-UHFFFAOYSA-N",24779324,24779323,"Glycerophospholipids","Glycerophosphocholines"
"PI 16:0_16:0","IBUKXRINTKQBRQ-UHFFFAOYSA-N",14185941,24779556,"Glycerophospholipids","Glycerophosphoinositols"
"SM 18:0;2O/21:0","RKFZWGKFJRROLE-UHFFFAOYSA-N",138253064,90659854,"Sphingolipids","Phosphosphingolipids"
"SM 22:1;2O/12:0","OAUYZGOKCOOZQY-KHDLYOHESA-N",134754404,145720458,"Sphingolipids","Phosphosphingolipids"
