"Module","ESI_mode","n"
"black","ESI neg",9
"black","ESI pos",7
"blue","ESI neg",6
"blue","ESI pos",19
"brown","ESI neg",6
"brown","ESI pos",16
"cyan","ESI pos",10
"darkgreen","ESI neg",5
"darkgreen","ESI pos",3
"darkgrey","ESI pos",7
"darkmagenta","ESI pos",5
"darkolivegreen","ESI neg",2
"darkolivegreen","ESI pos",3
"darkorange","ESI pos",10
"darkred","ESI neg",2
"darkred","ESI pos",6
"darkturquoise","ESI neg",8
"green","ESI neg",1
"green","ESI pos",16
"greenyellow","ESI neg",10
"greenyellow","ESI pos",4
"grey60","ESI pos",9
"lightcyan","ESI pos",9
"lightgreen","ESI pos",9
"lightyellow","ESI pos",10
"magenta","ESI neg",14
"midnightblue","ESI pos",10
"orange","ESI pos",8
"paleturquoise","ESI neg",1
"paleturquoise","ESI pos",4
"pink","ESI neg",8
"pink","ESI pos",9
"purple","ESI pos",14
"red","ESI neg",6
"red","ESI pos",9
"royalblue","ESI pos",8
"saddlebrown","ESI neg",4
"saddlebrown","ESI pos",2
"salmon","ESI neg",1
"salmon","ESI pos",9
"sienna3","ESI pos",5
"skyblue","ESI neg",3
"skyblue","ESI pos",4
"steelblue","ESI neg",5
"steelblue","ESI pos",1
"tan","ESI pos",11
"turquoise","ESI neg",1
"turquoise","ESI pos",23
"violet","ESI neg",1
"violet","ESI pos",4
"white","ESI neg",6
"yellow","ESI neg",12
"yellow","ESI pos",8
"yellowgreen","ESI neg",1
"yellowgreen","ESI pos",4
