"annotation","Module","identifier","InChiKey","ion_species","mz","ret_time","ESI_mode","Formula","Super.class","Main.class","Sub.class","Pubchem_CID_final","Pubchem_CID_direct","Pubchem_CID_refmet","CID_agree","CHEBI_ID","HMDB_ID","LM_ID","KEGG_ID","INCHI_KEY","REFMET_ID"
"palmitoyl ethanolamide","black","0.93_300.29","HXYVTAGFYLMHSO-UHFFFAOYSA-N","[M+H]+",300.2894,0.925,"ESI pos","C18H37NO2","Fatty Acyls","Fatty amides","NAE",4671,4671,4671,"agree","71464","HMDB0002100","LMFA08040013","C16512","HXYVTAGFYLMHSO-UHFFFAOYSA-N","RM0153080"
"PEtOH 16:0_16:1","black","2.04_673.48","MLHVKKWOXVSPDG-VLGSPTGOSA-N","[M-H]-",673.4798,2.042,"ESI neg","","Glycerophospholipids","Glycerophosphatidylethanol","PEth",138211560,138211560,NA,"only_direct","-","-","-","-","-","-"
"PEtOH 16:1_16:1","black","2.04_671.47","BHQKOVPFLAAQTH-IQRFGFHNSA-N","[M-H]-",671.4658,2.04,"ESI neg","","Glycerophospholipids","Glycerophosphatidylethanol","PEth",138126591,138126591,NA,"only_direct","-","-","-","-","-","-"
"LPE 16:0","black","0.70_452.27","CKPBBEOJHAPPBT-HXUWFJFHSA-N","[M-H]-",452.275,0.703,"ESI neg","C21H44NO7P","Glycerophospholipids","Glycerophosphoethanolamines","LPE",53480922,53480922,NA,"only_direct","","","","","","RM0134456"
"LPE 16:0","black","0.70_452.27","CKPBBEOJHAPPBT-HXUWFJFHSA-N","[M-H]-",452.275,0.703,"ESI neg","C21H44NO7P","Glycerophospholipids","Glycerophosphoethanolamines","LPE",90657394,90657394,NA,"only_direct","","","","","","RM0134456"
"LPE 18:0","black","1.01_482.32",NA,"[M+H]+",482.3239,1.015,"ESI pos","C23H48NO7P","Glycerophospholipids","Glycerophosphoethanolamines","LPE",NA,NA,NA,"both_missing","","","","","","RM0017276"
"LPE O-16:1","black","0.78_438.30","RRTPYUGIBQLEDN-FPLPWBNLSA-N","[M+H]+",438.2991,0.775,"ESI pos","C21H44NO6P","Glycerophospholipids","Glycerophosphoethanolamines","O-LPE",164410072,164410072,NA,"only_direct","","","","","","RM0134468"
"LPE O-18:1","black","1.14_466.33","CDONWGCJDDHTLP-KTKRTIGZSA-N","[M+H]+",466.3291,1.144,"ESI pos","C23H48NO6P","Glycerophospholipids","Glycerophosphoethanolamines","O-LPE",164218122,164218122,NA,"only_direct","","","","","","RM0133223"
"PE O-18:1_16:0","black","2.42_702.55","HEASGCOZOMIKFU-WUVHBKSUSA-N","[M-H]-",702.5497,2.416,"ESI neg","C39H78NO7P","Glycerophospholipids","Glycerophosphoethanolamines","O-PE",134734766,134734766,NA,"only_direct","","","","","","RM0008809"
"Cer 18:1;2O/26:0","black","3.48_678.68","CJROVRTUSFQVMR-UHFFFAOYSA-N","[M+H]+",678.6758,3.481,"ESI pos","C44H87NO3","Sphingolipids","Ceramides","Cer",74961299,74961299,5283570,"disagree","72968","HMDB0004955","LMSP02010011","","CJROVRTUSFQVMR-GVOPMEMSSA-N","RM0138864"
