"PlotOrder","Module","ClassGroup","n_hubs","mean_kME","best_rank"
1,"darkorange","01_TG-associated",10,NA,NA
2,"grey60","01_TG-associated",9,NA,NA
3,"lightcyan","01_TG-associated",8,NA,NA
4,"lightgreen","01_TG-associated",9,NA,NA
5,"purple","01_TG-associated",14,NA,NA
6,"royalblue","01_TG-associated",8,NA,NA
7,"turquoise","01_TG-associated",21,NA,NA
8,"pink","04_PE/LPE",14,NA,NA
9,"skyblue","04_PE/LPE",5,NA,NA
10,"yellow","04_PE/LPE",18,NA,NA
11,"brown","05_PC/LPC",18,NA,NA
12,"cyan","05_PC/LPC",6,NA,NA
13,"darkgreen","05_PC/LPC",5,NA,NA
14,"darkred","05_PC/LPC",6,NA,NA
15,"lightyellow","05_PC/LPC",10,NA,NA
16,"midnightblue","05_PC/LPC",10,NA,NA
17,"orange","05_PC/LPC",8,NA,NA
18,"paleturquoise","05_PC/LPC",5,NA,NA
19,"salmon","05_PC/LPC",9,NA,NA
20,"sienna3","05_PC/LPC",5,NA,NA
21,"tan","05_PC/LPC",8,NA,NA
22,"violet","05_PC/LPC",5,NA,NA
23,"blue","06_Sphingomyelins",23,NA,NA
24,"darkgrey","06_Sphingomyelins",7,NA,NA
25,"green","06_Sphingomyelins",17,NA,NA
26,"saddlebrown","06_Sphingomyelins",3,NA,NA
27,"black","07_Ceramides",7,NA,NA
28,"darkolivegreen","07_Ceramides",5,NA,NA
29,"greenyellow","07_Ceramides",14,NA,NA
30,"red","07_Ceramides",8,NA,NA
31,"steelblue","07_Ceramides",6,NA,NA
32,"darkmagenta","08_Fatty-acyls",5,NA,NA
33,"magenta","08_Fatty-acyls",14,NA,NA
34,"white","08_Fatty-acyls",5,NA,NA
35,"darkturquoise","90_Other",7,NA,NA
36,"yellowgreen","90_Other",3,NA,NA
