"Module","LipidClass","ClassGroup","ClassColor"
"MEdarkorange","01_TG-associated","TG","#E63946"
"MEgrey60","01_TG-associated","TG","#E63946"
"MElightcyan","01_TG-associated","TG","#E63946"
"MElightgreen","01_TG-associated","TG","#E63946"
"MEpurple","01_TG-associated","TG","#E63946"
"MEroyalblue","01_TG-associated","TG","#E63946"
"MEturquoise","01_TG-associated","TG","#E63946"
"MEbrown","05_PC/LPC","PC/LPC","#1D3D8F"
"MEcyan","05_PC/LPC","PC/LPC","#1D3D8F"
"MEdarkgreen","05_PC/LPC","PC/LPC","#1D3D8F"
"MEdarkred","05_PC/LPC","PC/LPC","#1D3D8F"
"MElightyellow","05_PC/LPC","PC/LPC","#1D3D8F"
"MEmidnightblue","05_PC/LPC","PC/LPC","#1D3D8F"
"MEorange","05_PC/LPC","PC/LPC","#1D3D8F"
"MEpaleturquoise","05_PC/LPC","PC/LPC","#1D3D8F"
"MEsalmon","05_PC/LPC","PC/LPC","#1D3D8F"
"MEsienna3","05_PC/LPC","PC/LPC","#1D3D8F"
"MEtan","05_PC/LPC","PC/LPC","#1D3D8F"
"MEviolet","05_PC/LPC","PC/LPC","#1D3D8F"
"MEpink","04_PE/LPE","PE/LPE","#F4A261"
"MEskyblue","04_PE/LPE","PE/LPE","#F4A261"
"MEyellow","04_PE/LPE","PE/LPE","#F4A261"
"MEblue","06_Sphingomyelins","SM","#2A9D8F"
"MEdarkgrey","06_Sphingomyelins","SM","#2A9D8F"
"MEgreen","06_Sphingomyelins","SM","#2A9D8F"
"MEsaddlebrown","06_Sphingomyelins","SM","#2A9D8F"
"MEblack","07_Ceramides","Cer","#E9C46A"
"MEdarkolivegreen","07_Ceramides","Cer","#E9C46A"
"MEgreenyellow","07_Ceramides","Cer","#E9C46A"
"MEred","07_Ceramides","Cer","#E9C46A"
"MEsteelblue","07_Ceramides","Cer","#E9C46A"
"MEdarkmagenta","08_Fatty-acyls","FA","#795548"
"MEmagenta","08_Fatty-acyls","FA","#795548"
"MEwhite","08_Fatty-acyls","FA","#795548"
"MEdarkturquoise","90_Other","Oth","#FFFFFF"
"MEyellowgreen","90_Other","Oth","#FFFFFF"
"MEgrey","Grey module","Grey module","#874788fb"
