"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)",0.0064334,-0.075388,0.0081793,0.008106,0.012941,-0.036934,-0.044423,0.12173
"13-HODE",-0.059558,0.12845,-0.11725,0.052527,-0.047497,0.085747,-0.039329,-0.019559
"16,16-dimethylprostaglandin A1",0.027105,-0.025403,0.0047277,0.060082,0.086572,0.024453,0.059652,-0.094372
"4-HDoHE",-0.090888,0.15327,-0.1355,0.045443,-0.018727,0.038945,-0.043076,-0.03015
"4-methyl-2-oxopentanoic acid",-0.023551,0.0031187,-0.071013,-0.014305,0.05299,-0.025795,-0.10193,0.12108
"5-HETE",-0.11056,0.20595,-0.13198,-0.032243,-0.0017266,0.090304,-0.036544,-0.045787
"8,15-DiHETE",-0.056696,0.13766,-0.08047,0.048152,-0.073162,0.081067,-0.058541,-0.064514
"acylcarnitine 08:0",0.059304,-0.13264,0.034239,0.098478,-0.035226,0.051558,-0.037104,-0.029445
"acylcarnitine 08:1",0.051149,-0.096862,0.026754,0.026523,-0.089718,0.033505,-0.083935,0.10148
"acylcarnitine 10:0",0.01634,-0.069149,-0.025041,0.060196,0.021032,0.00096666,-0.018774,-0.020451
"acylcarnitine 10:1",0.038557,-0.14297,-0.0023943,0.096522,0.0027947,0.024243,-0.012261,-0.024472
"acylcarnitine 12:1",-0.0033187,-0.089739,0.062533,0.080802,-0.0031302,-0.043662,0.041056,-0.17062
"acylcarnitine 14:1",-0.013938,-0.026148,-0.026311,0.0769,0.007821,0.055307,-0.0086391,-0.0053215
"acylcarnitine 16:0",0.018291,0.074552,0.026176,-0.016055,0.028249,0.027053,-0.078548,-0.001976
"acylcarnitine 18:0 Isomer A",0.012008,0.080649,0.056154,-0.023291,0.034656,0.012672,-0.038641,0.013916
"acylcarnitine 18:1",-0.00047859,0.012,0.065436,-0.023753,-0.0080188,0.0097948,-0.050153,0.021124
"acylcarnitine 18:2 Isomer A",-0.05416,0.041631,0.036274,-0.011028,0.031465,-0.022065,-0.030052,0.11132
"acylcarnitine 20:1",-0.002594,0.0090628,0.049226,0.0075947,-0.074937,0.0074968,-0.05546,0.034521
"C16 Lactosyl Ceramide (d18:1/16:0)",0.012303,0.022685,0.03503,0.026864,-0.11256,0.059559,0.041724,-0.016983
"CE 18:1",0.08759,-0.084003,-0.0016965,-0.022247,0.0011082,0.020103,-0.00060979,0.024706
"CE 18:2",0.078434,-0.11797,0.057789,-0.055474,0.078684,-0.021764,-0.0096898,0.039039
"CE_13-HODE",0.027306,-0.09305,-0.0094249,-0.031778,0.0029247,-0.038053,-0.023029,0.10863
"Cer 18:0;2O/24:0",-0.0014717,0.074206,-0.028041,0.013639,-0.066645,0.0046531,0.039034,-0.048371
"Cer 18:0;2O/24:1",0.019735,-0.028293,0.011895,0.030714,-0.090565,0.052666,-0.052748,-0.0033595
"Cer 18:0;3O/16:0;(2OH)",-0.022941,-0.018035,-0.062951,0.11298,-0.058641,-0.010367,-0.033786,0.033125
"Cer 18:0;3O/24:0;(2OH)",-0.0078685,0.022688,-0.077169,0.074796,-0.082984,-0.054394,0.05404,-0.084443
"Cer 18:1;2O_26:0;(2OH)",0.10714,-0.04391,-0.011647,0.021114,-0.028311,0.077162,-0.055487,-0.027772
"Cer 18:1;2O/24:2",-0.029186,-0.01061,0.029636,-0.019046,-0.086041,0.09772,-0.038323,-0.043502
"Cer 18:1;2O/26:0",-0.028588,0.039589,-0.017993,0.053777,-0.098964,0.028381,-0.000097633,-0.059298
"Cer 18:2;2O/22:0",-0.022373,0.022991,0.010178,-0.042386,-0.0777,0.10776,-0.054884,-0.069819
"Cer 18:2;2O/23:0",-0.011556,0.0016833,0.014279,0.016826,-0.056422,0.087854,-0.088183,-0.085034
"Cer 18:2;2O/24:1",-0.013844,-0.028968,-0.027815,0.025777,-0.04462,0.045419,-0.04227,0.031394
"Cer 20:0;2O/24:0",0.00946,0.054912,-0.043394,0.081587,-0.073829,-0.025595,0.057575,-0.065714
"Cer 20:0;2O/25:0",-0.040272,0.029157,-0.090135,0.10515,-0.0068478,-0.034753,0.019809,-0.050873
"Cer 20:0;2O/26:0",-0.032382,0.065568,-0.061049,0.076191,-0.037401,-0.031717,0.058216,-0.057928
"Cer 20:0;3O/24:0;(2OH)",-0.021826,0.0052486,-0.070633,0.08226,-0.065946,-0.022585,0.072739,0.010155
"Cer 22:0;2O/26:0",-0.014022,0.022604,-0.078716,0.043948,-0.073807,-0.033355,0.018933,-0.044968
"Cer 58:11;2O",0.10647,-0.038586,-0.013869,-0.020708,0.025049,0.0076547,-0.0046966,0.011628
"Cer d32:1",-0.027444,0.085398,-0.054356,0.023741,-0.073887,0.099517,-0.069487,-0.063086
"Cer d33:1",-0.038976,0.069459,-0.081818,0.017858,-0.061839,0.073887,-0.052641,-0.011596
"Cer d34:0",0.016037,0.012239,-0.0076888,0.066221,-0.032613,0.050969,-0.025417,0.026228
"Cer d34:1",-0.019117,0.064255,-0.010758,-0.0018572,-0.11292,0.1161,-0.05125,-0.068644
"Cer d34:2",-0.0316,0.065453,-0.067778,-0.024902,-0.099103,0.12788,-0.058477,-0.048678
"Cer d34:2 Isomer A",-0.0082809,0.04241,-0.088891,0.098928,-0.074441,0.0026645,0.031263,-0.033732
"Cer d34:2 Isomer B",-0.029594,0.082952,-0.075677,0.042462,-0.11953,0.13147,-0.038698,-0.073072
"Cer d36:1",-0.0056545,0.034919,0.0099873,-0.023496,-0.0086581,0.1056,-0.069488,-0.029165
"Cer d36:2",0.005301,0.049817,0.10634,-0.12574,-0.072887,0.20097,-0.061523,-0.092304
"Cer d38:1",0.012496,0.0024347,-0.015691,-0.0097685,-0.064456,0.086843,-0.082884,-0.024359
"Cer d39:1",0.0053496,-0.0072183,0.017915,0.027488,-0.024452,0.044372,-0.070032,-0.03292
"Cer d40:0",0.0382,0.057804,-0.030484,0.000372,-0.053054,0.0088236,0.040991,-0.0080327
"Cer d40:1",0.0084561,0.027702,0.030808,-0.012572,-0.065391,0.096857,-0.039803,-0.045302
"Cer d40:2",0.0098683,0.013271,0.038424,-0.052247,-0.083393,0.11778,-0.039447,-0.03901
"Cer d41:1",0.064503,-0.030596,0.0038317,-0.019782,0.0071929,0.077706,-0.075517,0.024292
"Cer d41:2",-0.002978,0.0095259,-0.023423,-0.037947,-0.013717,0.075565,-0.1167,0.018711
"Cer d42:0",0.042712,0.047155,-0.027268,0.010066,-0.052841,0.014858,0.01915,-0.018372
"Cer d42:1",0.02237,0.0081517,0.019371,0.004582,-0.064301,0.10044,-0.042668,-0.036054
"Cer d42:2 Isomer A",0.011583,-0.0031931,0.050037,-0.010253,-0.10271,0.098994,-0.02501,-0.070546
"Cer d42:3",-0.0054456,-0.019391,0.023999,-0.018046,-0.05202,0.088909,-0.046806,0.0084737
"Cer d43:1",0.028111,-0.016646,-0.033929,0.038069,0.0065333,0.053008,-0.052316,-0.0019207
"Cer d43:2",-0.0026855,0.010728,-0.062772,0.058661,-0.021083,-0.0091707,0.033207,-0.036254
"Cer d44:1",0.021324,-0.014342,-0.0083995,0.027438,-0.027814,0.0612,-0.06793,-0.0032645
"Cer d44:2",-0.048526,-0.010562,-0.057924,0.081598,-0.033826,-0.0064509,0.013032,-0.058896
"Cer d46:1",-0.013142,0.036187,-0.089569,0.084645,-0.096514,-0.014588,0.047426,-0.059303
"Cer d46:2",-0.004283,-0.0044096,-0.099232,0.062721,-0.048765,-0.0051449,0.004915,-0.10467
"Cer-NDS d39:0",-0.0010635,0.03107,-0.038488,0.10493,-0.027816,0.0024507,-0.00082389,0.016204
"Cer-NDS d40:0",0.01146,0.091771,-0.042557,0.016046,-0.053942,0.0076057,0.039085,-0.023191
"Cer-NDS d41:0",0.02892,0.047811,-0.047538,0.034446,-0.043235,-0.0079896,-0.0032839,-0.027688
"Cer-NDS d43:0",-0.019472,0.047299,-0.075587,0.074478,-0.054321,-0.018505,0.02778,-0.02869
