"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"104",-2.9171,-1.0772,1.6161,-1.389,1.9993,-1.3746,-0.17925,-1.2952
"117",0.51682,0.59166,-0.69816,-3.0029,0.88947,-2.8623,-0.055734,0.26527
"120",-1.8186,-1.5815,-1.7494,1.6339,1.0608,-2.0476,1.2655,-0.80518
"122",-0.58366,0.75572,-0.52953,0.39686,-1.5455,-0.0151,-2.4408,-1.1393
"147",-2.4093,-0.77482,-4.4799,4.7128,1.7957,-5.3775,1.0584,0.76151
"151",-7.1731,0.87905,-0.4274,1.4475,0.57415,5.0072,-1.3112,0.40732
"155",0.19322,-0.16455,-0.024363,-2.2403,-0.35134,-2.0078,-1.3176,1.4534
"162",-0.23309,0.47946,-0.4269,-3.8183,1.3574,0.38823,0.20741,-0.88879
"177",-2.0256,0.32433,0.3752,0.26603,-1.3143,-0.98898,0.43901,-0.73124
"190",-1.727,-1.182,1.2069,-2.0691,-0.88728,-0.29379,3.2648,-0.19697
"196",-1.1097,0.038136,-1.1963,-0.94103,0.41006,1.4047,-0.87155,-0.074406
"197",-0.57972,-0.67948,-1.0565,-2.0832,-0.60393,1.9061,0.88828,0.9482
"218",-4.2701,0.64556,2.6576,-1.0959,-1.3938,-1.139,0.42737,0.37779
"233",-0.46394,-1.3281,-1.6762,-0.58053,0.761,-0.31052,-0.23606,0.45134
"250",-1.4173,0.46634,-1.9442,-0.39273,-1.4732,3.7272,1.4441,-1.852
"258",-3.0268,1.0504,-0.38676,-0.7859,-0.52677,0.50099,-0.34353,1.1707
"269",-1.2972,-2.0499,1.0637,0.62016,-0.53757,-1.2091,0.58252,-1.3679
"273",0.73596,-0.78438,0.030821,-1.2266,-0.74788,-0.072918,-1.4174,-0.90014
"277",-5.1036,2.7559,-0.87752,0.33358,0.187,1.4165,-1.7397,-0.44886
"283",1.6753,-1.2431,-0.36457,-0.054118,-1.4255,-3.6551,-0.83823,0.065738
"286",-0.24865,-2.1402,0.32502,-0.31586,-1.2138,-1.041,-0.70652,1.3045
"287",0.19085,-2.1322,-1.0694,-0.030842,0.014319,1.0342,-0.29828,-0.03129
"295",-0.46831,-3.0902,0.30594,1.1974,0.09866,-1.4466,-0.5727,-0.25548
"297",-2.7505,-1.6677,1.0083,-1.4925,2.5609,1.1408,-1.3012,0.51418
"304",-2.0689,-0.91726,0.43974,0.09986,-2.0915,0.036855,0.474,1.5548
"311",1.7608,-0.2723,-3.432,-2.2196,-0.8055,2.3647,1.3328,0.14097
"315",0.098093,-2.1219,0.05761,1.125,-1.3062,-0.32885,-0.43283,-1.0752
"321",-0.90534,-1.7303,-0.28035,-2.1486,0.26087,-0.47607,1.5764,0.83581
"323",0.29039,-1.3351,-0.29589,-0.77759,0.056471,1.6351,-1.8031,-1.5814
"326",-2.957,0.25689,-1.0564,1.2013,-2.1924,1.4202,0.68455,0.16993
"330",2.0055,-1.672,0.084332,-1.0309,-1.0547,-1.7774,-0.86469,0.2472
"336",-0.16778,-1.0316,-1.0785,-0.44157,0.26915,-0.82642,0.42286,-0.50218
"92",-1.6352,1.2363,-2.2199,0.66104,0.19892,-1.5005,-1.6058,0.34837
"114",0.75189,2.5023,-0.81852,0.085251,3.0267,-1.335,1.4436,0.66737
"129",1.0856,5.6103,-0.71472,1.6249,-2.5351,-1.9258,1.6925,-0.9386
"138",2.4772,5.1559,-1.1641,-2.4342,0.77495,1.0907,-0.36413,1.2322
"139",0.15235,-0.47943,3.0042,1.8518,0.025762,1.4914,3.0877,0.11631
"149",-0.5642,1.3416,3.5678,1.0278,0.15182,-0.63297,0.62641,2.3051
"179",4.1028,0.35467,2.6347,1.001,-1.2169,0.35778,-1.2956,0.59057
"185",-0.060794,3.8243,-1.75,3.1832,1.2174,0.32913,-0.32735,-0.72048
"261",2.3561,0.19348,2.5682,1.2467,1.1662,-0.5419,0.62132,-1.6287
"263",4.3689,2.7933,2.335,-2.9584,0.60946,-3.1174,-0.40926,-0.6989
"266",4.069,1.1928,1.8257,0.33189,-0.45602,0.16433,-0.89969,-0.64407
"267",3.5703,-2.3791,0.89509,1.4779,2.7058,2.926,-0.14468,-0.2649
"270",-0.81899,0.46144,4.1073,3.8042,-0.061881,-0.33876,-1.894,0.40957
"292",10.01,-1.5953,-3.052,2.0556,-1.3648,2.2658,0.0035056,1.0106
"300",-0.49531,0.18643,2.6116,1.234,0.77621,3.0447,1.4741,1.1445
"332",5.1825,-0.35684,-0.93972,0.90331,1.2003,1.8873,-0.54112,1.1521
"340",3.7036,0.69016,0.98832,0.0067102,0.95711,1.103,1.1947,-1.6041
