"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"TG 48:0",2.9243,2.3693,2.2134,2.0952,2.0312,2.0121,1.9884,1.9806
"TG 50:0",2.8092,2.3725,2.1579,2.0793,2.0185,1.9938,1.9792,1.9702
"TG 50:1",2.767,2.2143,1.971,1.8397,1.8194,1.8011,1.7805,1.773
"TG 48:1",2.6576,2.1247,2.0063,1.8792,1.8218,1.8034,1.7822,1.7783
"TG 52:1",2.626,2.1086,1.8766,1.8199,1.7869,1.7711,1.7711,1.7642
"TG 48:2",2.3991,1.9234,1.7835,1.6792,1.6283,1.6288,1.6105,1.6042
"Phosphatidylethanolamine alkenyl 16:0-20:4",2.3699,1.9447,1.779,1.6448,1.5971,1.5836,1.5691,1.5624
"TG 50:2",2.3653,1.9548,1.7414,1.6188,1.5781,1.559,1.5428,1.5376
"PE P-36:4 or PE O-36:5",2.3587,1.9424,1.8373,1.7018,1.6492,1.6313,1.6133,1.6064
"PE 36:4",2.3546,1.9234,1.782,1.663,1.6119,1.593,1.5757,1.5691
"PE P-38:5 or PE O-38:6",2.2618,1.8014,1.6497,1.5248,1.4843,1.4665,1.4506,1.444
"PE 38:6",2.2488,1.8008,1.6086,1.4877,1.4419,1.4378,1.4221,1.4218
"TG 51:1 Isomer B",2.2193,1.7683,1.6694,1.5622,1.5145,1.5053,1.4902,1.4949
"TG 46:0",2.218,1.8021,1.8484,1.7436,1.6916,1.6857,1.6659,1.6606
"PE 38:4",2.2096,1.841,1.658,1.5301,1.4832,1.4651,1.4544,1.4488
"TG 46:1",2.1426,1.7109,1.7553,1.7103,1.6585,1.6606,1.6464,1.639
"TG 51:3",2.1339,1.7004,1.5207,1.4061,1.3645,1.3771,1.3876,1.3835
"PC P-36:4 or PC O-36:5",2.0874,1.6984,1.5148,1.5907,1.5766,1.5574,1.5401,1.5329
"TG 51:2 Isomer A",2.0873,1.7176,1.5817,1.4684,1.4233,1.4196,1.4199,1.4253
