"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)",-0.087881,0.016456,0.022163,0.066124,0.02038,-0.027809,0.022568,-0.01041
"13-HODE",0.065828,-0.12543,0.12254,-0.018381,-0.036379,0.051503,-0.068247,0.11521
"16,16-dimethylprostaglandin A1",0.11953,0.052401,-0.021734,0.015834,-0.083637,-0.047171,0.030988,0.012656
"4-HDoHE",0.10264,-0.1411,0.15565,-0.032547,0.021174,0.017309,-0.046518,0.067543
"4-methyl-2-oxopentanoic acid",0.013668,-0.038685,0.022187,0.0010303,0.034836,-0.0083712,-0.0026996,-0.013167
"5-HETE",0.089248,-0.15995,0.14578,-0.099103,0.059734,0.031032,-0.12468,0.1047
"8,15-DiHETE",0.11314,-0.09145,0.10674,-0.047348,-0.039798,0.065623,-0.070695,0.064538
"acylcarnitine 08:0",-0.048227,0.06666,-0.012973,0.096738,-0.14398,0.027927,0.018593,-0.060042
"acylcarnitine 08:1",-0.070554,0.061162,0.024213,0.11009,-0.084159,0.015988,-0.048469,0.019995
"acylcarnitine 10:0",-0.013854,0.0076716,0.015988,0.065306,-0.052929,-0.018962,0.028912,-0.0040153
"acylcarnitine 10:1",-0.05674,0.040857,0.0023292,0.094846,-0.13604,-0.020855,0.050357,-0.011391
"acylcarnitine 12:1",0.0037433,0.073619,0.035739,0.036445,-0.053435,-0.046925,0.090388,-0.10699
"acylcarnitine 14:1",-0.024063,-0.021246,0.064044,0.037726,-0.061217,0.023141,0.0007522,0.0097045
"acylcarnitine 16:0",0.029203,0.00035561,-0.00051827,0.0084057,0.059878,0.032614,-0.080038,0.0053258
"acylcarnitine 18:0 Isomer A",0.012928,0.0084848,-0.0087282,-0.012413,0.0669,0.0053488,-0.084105,-0.0068463
"acylcarnitine 18:1",-0.037621,0.03378,0.017499,-0.0023182,0.038056,0.00784,-0.061242,-0.050902
"acylcarnitine 18:2 Isomer A",-0.069887,-0.025672,0.084436,-0.013489,0.091232,-0.043304,-0.036313,-0.01463
"acylcarnitine 20:1",-0.034457,0.022103,0.044299,0.016686,-0.0016439,0.016051,-0.056781,-0.04031
"C16 Lactosyl Ceramide (d18:1/16:0)",-0.025303,-0.0089879,-0.01784,-0.020673,-0.046236,0.097615,-0.0084936,-0.030974
"CE 18:1",-0.029985,0.052715,-0.092504,0.084483,-0.033393,0.033686,-0.013212,0.0039796
"CE 18:2",-0.091665,0.085569,-0.10692,0.06852,0.012849,-0.039518,0.010646,0.031269
"CE_13-HODE",-0.082582,0.026205,-0.019032,0.067468,0.013029,-0.029278,0.019336,0.023589
"Cer 18:0;2O/24:0",0.078637,-0.033952,0.00085667,-0.023728,-0.029061,0.006763,-0.01792,0.029558
"Cer 18:0;2O/24:1",-0.06352,0.0017366,0.010543,0.033579,-0.058373,0.077534,-0.025875,0.009755
"Cer 18:0;3O/16:0;(2OH)",0.038418,-0.043671,0.054292,0.02142,-0.10274,0.0082098,0.06065,-0.024871
"Cer 18:0;3O/24:0;(2OH)",0.041054,-0.070923,0.027601,0.03639,-0.034422,-0.019417,0.055056,-0.038388
