"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"104",-1.4044,1.6446,0.79115,-1.1225,1.9204,-2.4119,-0.19268,-1.3203
"114",1.7983,-2.5709,-2.7585,-1.6563,1.7623,-2.329,-0.42722,-1.8059
"117",-0.63734,-1.5044,-2.7943,-1.4642,2.7834,-0.50767,1.5629,1.6474
"138",2.3412,-2.4731,-2.2997,-2.2018,0.47066,-1.608,-4.967,0.46484
"139",-1.2243,1.6241,-0.083374,-0.57242,-1.037,-0.20098,0.60276,-1.061
"147",0.60515,-6.7389,1.0208,3.348,-0.24242,-3.9899,4.3583,-1.0853
"149",-2.8885,0.35671,2.469,2.5891,2.5556,-0.69476,-2.0709,-1.23
"155",-2.9359,-1.2222,0.47017,2.2834,3.0945,0.66128,0.28173,1.8159
"162",-1.0764,-0.34991,-1.2099,-1.2557,2.5271,-0.177,-0.91746,0.91066
"177",-0.3177,-0.57797,0.89316,-1.2031,-0.67182,-1.0545,-0.65644,-1.1686
"185",1.9703,-5.5611,-1.1489,-1.6026,-1.1139,-0.63113,-0.089229,0.44736
"190",-1.0417,1.8575,-0.18087,-2.1698,-0.11175,-1.0451,0.9992,-0.30084
"197",-1.0712,-0.74664,-0.70615,-1.3778,0.15344,1.8267,-0.080387,1.0218
"218",-2.1619,0.39883,1.8365,-2.3305,2.3274,1.0746,0.1461,-1.6339
"250",0.1298,-2.7459,-0.86689,-3.1664,-1.1738,4.2299,1.2243,0.26787
"258",-0.84845,-1.8165,1.4448,-1.4913,0.62365,0.49377,-0.83267,0.42818
"267",-1.7277,1.4009,-1.4044,2.4629,-1.4789,-0.73759,-0.40104,1.8287
"269",-0.75823,0.77409,-1.6047,-2.6981,-0.80241,0.78729,3.3278,-1.1399
"270",-0.66994,1.6912,0.89491,-1.3606,-2.6222,-2.1278,-1.2009,0.0069657
"273",-1.0527,0.76835,0.0054404,0.28144,-1.3942,-1.4224,-1.639,1.5357
"277",-0.44084,-4.4078,1.8899,-2.9262,2.0004,2.9268,-0.2995,-0.63016
"286",-0.55731,1.6985,-0.27763,-0.5998,-1.6065,-0.87174,-0.59152,-1.8077
"287",0.014884,0.84972,-0.23579,0.0080583,-2.1927,-0.96624,-1.1641,-1.2556
"292",-0.63214,-2.395,-3.9251,6.9033,-1.2979,4.4968,-1.3418,-3.0409
"295",-1.6265,0.96426,0.46579,1.4655,-1.0269,-1.1324,1.537,-0.71666
"297",-1.2618,1.6778,0.011642,-2.507,0.7389,-0.76387,-0.038661,0.44762
"300",-1.0971,1.0942,-0.062326,-1.8813,-1.3404,-0.049111,-0.678,1.0488
"304",-0.56546,0.49332,0.7753,-1.8584,-1.9446,-0.17807,-0.49304,-0.79839
"311",0.82663,-1.8661,-2.3192,-1.3238,-1.986,0.91587,-0.078836,2.6424
"315",-1.712,-0.047158,0.35986,1.1723,-1.4787,0.61552,1.5454,0.71295
"326",-0.27275,-2.2184,1.8154,-1.3474,-1.9507,1.2159,-0.23779,-0.98687
"330",-0.359,1.4057,-2.0743,-0.46039,-1.6162,-1.3601,-0.096055,0.40534
"332",-1.4964,-1.034,-0.37385,5.476,-0.68927,-0.61946,-1.9837,2.0525
"336",-0.69826,-0.73357,-0.0038733,0.93229,0.0051764,-1.3204,-0.20237,-0.5558
"340",-0.43321,-0.20814,-3.1071,-0.090419,0.40955,0.99357,0.70479,0.51092
"120",1.5419,0.026495,1.6093,1.8915,0.29233,-0.65938,5.0286,1.9406
"122",1.6523,1.1973,2.7569,1.4481,-0.78915,0.96615,-0.35767,1.4922
"129",3.7349,-2.5915,1.3487,1.2585,0.66706,0.23411,-0.63706,-0.26719
"151",1.7556,0.76321,6.1505,-2.0227,-1.3346,1.8335,-0.77523,0.94815
"179",0.84489,3.9369,0.061188,2.6592,0.28285,2.8132,0.42331,0.20583
"196",1.3089,1.1626,2.3276,1.4866,1.3032,1.3657,-1.0475,-0.065235
"261",2.6672,4.3921,-1.3205,-0.40039,-0.2746,-0.85545,0.64635,-0.95407
"263",2.3132,3.6579,-2.4324,0.34987,3.3726,-1.0452,-0.87119,0.74502
"266",2.1145,3.0868,-1.6144,0.65908,0.58557,2.1976,-0.35159,-0.51355
"283",2.1235,2.7382,-0.26952,1.5258,-0.61987,-1.0743,1.3876,-0.18178
"321",1.3275,3.2218,0.10037,-0.30701,1.9604,1.5903,2.481,-0.75949
"92",1.8985,-1.0737,3.575,3.1972,0.96028,-1.4053,-1.5368,-0.24849
