"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"PEtOH 36:1",3.5079,3.0233,2.9,2.7861,2.734,2.6929,2.6705,2.6711
"PEtOH 16:1_18:1",3.3445,2.9072,2.7674,2.7068,2.6835,2.6418,2.6351,2.6312
"PC 28:0",3.2586,2.8093,2.7399,2.6314,2.5823,2.5433,2.5215,2.5107
"PFAP-FT_diPAP",3.0594,2.6674,2.7955,2.6901,2.6341,2.8147,2.8016,2.7988
"TG 46:1",3.0489,2.648,2.5728,2.5159,2.4777,2.4402,2.4199,2.409
"PC 21:4",2.9916,3.0524,2.965,2.8476,2.8323,2.8181,2.7938,2.7961
"16,16-dimethylprostaglandin A1",2.9768,2.578,2.4405,2.3496,2.3255,2.2887,2.2768,2.2711
"PEtOH 16:0_18:1",2.9155,2.5214,2.403,2.3624,2.3702,2.3333,2.3434,2.3485
"PC 19:2",2.8546,3.116,2.9368,2.8208,2.8739,2.8395,2.8145,2.806
"TG 42:1",2.7858,2.491,2.3458,2.2783,2.2442,2.2128,2.196,2.1862
"PEtOH 18:1_20:4",2.642,2.4095,2.2573,2.1962,2.1493,2.1206,2.1548,2.1546
"TG 40:0",2.5644,2.4088,2.2853,2.2033,2.1583,2.1336,2.1163,2.1076
"PC 19:1",2.5564,2.7697,2.5935,2.4908,2.5298,2.4901,2.4735,2.4624
"PE O-40:6 Isomer B",2.5001,2.2117,2.0909,2.0981,2.0717,2.0418,2.0247,2.0178
"TG 46:0",2.4925,2.2812,2.2456,2.1779,2.1374,2.1054,2.0867,2.0778
"PEtOH 18:1_18:1",2.4528,2.1391,2.0685,1.9988,2.016,1.9849,1.9699,1.9769
"TG 44:0",2.4491,2.143,2.1504,2.0875,2.045,2.0135,2.0002,1.9959
"PEtOH 16:0_20:4",2.2476,1.9506,1.9543,1.8792,1.8559,1.8293,1.8176,1.8096
"TG 54:4",2.2077,2.0035,1.8765,1.8396,1.8125,1.7894,1.7763,1.7705
