"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)",0.01716,-0.046525,0.058438,-0.016134,-0.0074761,0.012749,0.0080503,-0.043274
"13-HODE",-0.066732,0.13936,-0.129,0.10257,0.041138,-0.091059,0.1047,-0.014742
"16,16-dimethylprostaglandin A1",0.034466,-0.020686,-0.045204,-0.0082584,-0.039141,-0.049203,0.097349,0.087881
"4-HDoHE",-0.091538,0.11297,-0.1238,0.1229,0.027578,0.01634,-0.022547,-0.04804
"4-methyl-2-oxopentanoic acid",0.019157,0.022994,0.015829,0.10697,-0.057287,-0.01718,0.14866,-0.035742
"5-HETE",-0.128,0.13282,-0.12402,0.063055,0.0073429,-0.028053,0.053259,-0.030141
"8,15-DiHETE",-0.10099,0.11646,-0.099567,0.022752,0.029425,-0.024873,0.013408,0.017503
"acylcarnitine 08:0",0.021328,-0.019284,0.043112,-0.10062,0.055216,-0.046901,0.072943,-0.044631
"acylcarnitine 08:1",0.00015703,-0.043791,0.013977,-0.012374,0.06931,-0.037664,0.16784,-0.0031812
"acylcarnitine 10:0",-0.020414,-0.072295,0.069933,-0.079041,-0.016335,-0.071336,0.10078,-0.11577
"acylcarnitine 10:1",-0.021931,-0.077965,0.03869,-0.019007,0.011764,-0.030414,0.12244,-0.050261
"acylcarnitine 12:1",-0.012036,0.048925,0.023987,-0.075438,-0.01147,0.061981,-0.067926,0.063124
"acylcarnitine 14:1",-0.023795,-0.02055,0.019104,-0.014323,-0.0057271,-0.038035,0.14747,-0.089395
"acylcarnitine 16:0",0.011816,0.037827,-0.021315,-0.062312,0.034025,-0.05322,0.075789,0.0036295
"acylcarnitine 18:0 Isomer A",0.0068135,0.03617,-0.01777,-0.069088,0.015033,-0.059949,0.081722,0.024818
"acylcarnitine 18:1",0.0065342,0.010236,0.0074265,-0.031013,0.035758,-0.12714,0.094652,-0.032966
"acylcarnitine 18:2 Isomer A",-0.00080902,-0.0063642,-0.00039743,0.041996,-0.0072728,-0.12167,0.19825,-0.053327
"acylcarnitine 20:1",0.005049,0.0087266,-0.0053679,-0.036833,0.050527,-0.099628,0.10976,0.018042
"C16 Lactosyl Ceramide (d18:1/16:0)",-0.016661,0.0076962,0.024341,-0.059599,0.065057,-0.073771,0.032801,-0.020416
"CE 18:1",0.045845,-0.087899,0.067971,-0.064501,0.046988,0.00612,0.0090773,-0.019664
"CE 18:2",0.046162,-0.13867,0.094237,-0.0053527,0.021526,0.0066942,0.0059848,-0.0251
"CE_13-HODE",0.044124,-0.065154,0.060254,-0.005203,0.015595,-0.0028641,0.060807,-0.074145
"Cer 18:0;2O/24:0",0.0034374,0.090148,-0.041489,-0.0047751,0.026239,-0.030193,-0.013481,0.045616
"Cer 18:0;2O/24:1",-0.006339,-0.00036743,0.0063225,-0.023146,0.089171,-0.098851,0.039929,0.025359
"Cer 18:0;3O/16:0;(2OH)",-0.036312,0.078848,-0.038828,-0.056462,0.013384,-0.016604,0.079297,-0.042263
"Cer 18:0;3O/24:0;(2OH)",-0.02372,0.037439,-0.01361,-0.027612,-0.055351,0.06182,0.067881,-0.011509
"Cer 18:1;2O_26:0;(2OH)",0.041729,-0.016933,0.029448,0.018452,0.048835,-0.08313,-0.043002,0.034792
"Cer 18:1;2O/24:2",-0.061189,0.024469,-0.0051281,-0.026271,0.070379,-0.081558,0.045706,0.075998
"Cer 18:1;2O/26:0",-0.03737,0.047351,-0.031334,-0.014504,0.024639,-0.029291,0.024025,-0.0012674
"Cer 18:2;2O/22:0",-0.055349,0.033907,-0.032719,-0.033902,0.069566,-0.0056126,-0.0091346,0.097043
"Cer 18:2;2O/23:0",-0.041003,0.01583,-0.012808,-0.05473,0.061975,0.00056935,0.0049291,0.030607
"Cer 18:2;2O/24:1",-0.026466,0.0018259,-0.0090832,-0.05353,0.044181,-0.08667,0.06664,0.047117
"Cer 20:0;2O/24:0",-0.0014895,0.060038,-0.045714,0.039971,-0.030849,0.047635,0.040877,-0.025754
"Cer 20:0;2O/25:0",-0.036993,0.050646,-0.01887,-0.010589,-0.066265,0.041366,0.070022,-0.015882
"Cer 20:0;2O/26:0",-0.029353,0.060093,-0.0036656,0.0086469,-0.055391,0.034813,0.01897,-0.023376
"Cer 20:0;3O/24:0;(2OH)",-0.022957,0.011921,-0.01846,-0.013056,-0.030059,0.083665,0.022322,-0.051051
"Cer 22:0;2O/26:0",-0.016272,0.04317,-0.015133,0.027691,-0.075584,0.026425,0.043282,-0.03765
"Cer 58:11;2O",0.10887,-0.027181,-0.0086034,-0.029101,-0.013255,0.050465,-0.079738,0.073428
"Cer d32:1",-0.068905,0.079877,-0.10466,0.0073973,0.029318,0.039873,-0.041575,0.0045227
"Cer d33:1",-0.052856,0.07167,-0.073647,0.0042919,-0.00047221,0.024803,-0.01806,0.020403
"Cer d34:0",-0.047257,0.05118,-0.021149,-0.0037934,-0.0041705,-0.0010227,0.0096109,0.0043182
"Cer d34:1",-0.069419,0.080853,-0.064274,-0.022556,0.062887,-0.037535,0.0063592,0.027851
"Cer d34:2",-0.09437,0.074206,-0.087492,0.021526,0.067725,-0.0076735,-0.00051641,0.057819
"Cer d34:2 Isomer A",-0.051459,0.047037,-0.018418,-0.0018538,0.027983,0.027049,0.083314,-0.053849
"Cer d34:2 Isomer B",-0.095255,0.080926,-0.11852,0.041377,0.04869,0.0060534,0.0091347,0.044833
"Cer d36:1",-0.033005,0.041295,-0.0067644,-0.064977,0.061256,-0.042744,0.036304,0.032387
"Cer d36:2",-0.080051,0.011223,-0.042729,-0.045195,0.039081,-0.051596,0.045533,0.074547
"Cer d38:1",-0.019609,0.039042,-0.016762,-0.047851,0.059342,-0.061695,0.0062919,0.039144
"Cer d39:1",-0.026313,0.040912,-0.057477,-0.055241,0.040744,0.0047364,0.032658,0.033466
