"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"104",-2.9948,-0.74319,-1.4915,-0.35679,2.8541,0.29715,1.1746,-0.70339
"117",2.4517,-0.59621,-2.3601,-1.1689,0.5177,-0.092539,-0.87272,1.6192
"120",-2.9649,-0.60023,-1.6491,1.6173,3.6132,-1.127,-1.8622,-1.7769
"122",4.1326,-0.49442,-3.0208,-1.3299,-1.2433,0.57126,-0.65317,0.90498
"147",-0.23676,-0.92893,-1.7011,-0.90599,1.3197,-0.19708,-0.13279,-1.049
"151",0.45802,-1.0822,-0.42061,-1.1479,2.3927,-1.1111,0.77965,-1.6168
"155",-0.93211,-0.90071,-1.7748,-1.0857,1.7567,-0.057933,1.2188,0.51716
"162",0.11307,-0.87356,-2.3938,-1.651,1.8317,1.5671,0.45531,0.3635
"177",-2.037,0.26752,1.648,-1.9261,-2.1419,-0.95699,-0.57788,0.038397
"190",-3.6569,-0.53829,0.86899,-1.1111,0.14023,-0.82226,1.7017,-2.2491
"196",-0.33757,-1.576,-0.57602,-0.084981,-0.77,1.7891,-0.17256,-0.92988
"197",-0.21937,0.21587,-3.1191,-1.0712,0.36362,-1.2771,-0.14555,1.4064
"218",-3.1978,0.22443,0.66955,-1.3343,0.3455,-0.75718,-0.25157,-1.524
"233",-0.56956,0.038954,1.1628,-2.002,-2.1057,0.19205,-0.30697,-0.34517
"250",-0.70876,1.2489,-2.9178,-1.3827,-2.7885,0.31327,-0.79822,-0.78575
"258",-7.547,0.52079,-2.815,1.725,-1.9801,1.7172,1.2494,-0.011269
"269",1.388,-0.8918,0.25212,-0.68802,-3.2731,-0.7875,0.041985,2.2877
"273",-9.6345,0.015251,-2.114,4.0365,0.20175,1.1332,-1.8186,2.3298
"277",0.04998,-0.31474,-2.2722,-1.808,1.0857,1.4859,-0.51323,-1.3972
"283",1.1757,-1.9391,0.29072,1.0436,1.1467,-1.7563,-0.00051503,-0.19042
"286",3.4422,-0.14137,-1.8882,-3.891,0.35207,0.23436,0.1477,2.3284
"287",0.063603,-1.912,2.2195,0.61335,-0.39521,0.7669,-2.2432,-2.2152
"295",0.40125,-1.0665,2.3011,-1.2221,1.3405,-2.7411,-0.37763,-0.050796
"297",-3.9363,0.17155,-1.6815,-0.18455,1.9822,-0.29105,0.22382,-0.31979
"304",0.78678,-0.086427,1.8705,-1.9074,0.39475,-0.7699,-3.2889,-2.1751
"311",-6.9501,0.82044,-2.2406,1.7591,-0.62541,-0.29281,-1.6362,2.5284
"315",-3.3143,-1.7709,4.7444,0.71586,-2.8467,-2.2526,-0.67595,2.8287
"321",4.6863,-3.2466,-2.2818,3.5124,-0.73514,-0.06259,0.58675,-1.5817
"323",-0.81931,-1.0689,2.1929,-0.20006,-3.5598,-0.46113,1.9094,-1.228
"326",0.63842,1.3075,-5.103,-1.759,-1.1836,-1.059,1.6396,0.24962
"330",-5.3041,0.81607,3.0842,0.062091,-3.5118,-2.3557,-0.29899,-2.2369
"336",-0.19785,-1.7706,0.13545,0.55438,-4.5363,1.8935,1.7725,-0.1204
"92",1.1553,-1.8726,-0.25186,-0.36458,-1.5582,0.93908,-0.024644,2.3085
"114",1.8829,1.0759,1.8825,0.96559,0.70697,2.3604,-1.23,-0.9682
"129",0.75623,3.1222,-1.7839,1.8783,-2.0892,0.15269,0.26659,-1.9032
"138",0.30792,0.045358,1.8851,0.80496,4.8669,1.4013,1.3768,-1.5959
"139",3.6487,0.26768,2.3936,0.11371,1.7532,1.8626,-2.4624,0.94897
"149",-0.85352,-0.20515,3.6078,1.0584,3.184,0.92848,1.163,0.052827
"179",1.9407,1.8436,3.1082,-1.3404,-0.37865,-0.48427,-0.17589,2.0669
"185",1.1827,2.4586,-0.03322,0.88511,0.57319,-0.91592,0.15037,0.98362
"261",4.9706,2.4316,-0.35028,-0.10174,-3.2503,0.85603,-0.091055,-2.9118
"263",3.3875,0.98591,0.73877,0.64207,-0.5432,1.6694,-0.8943,1.1756
"266",2.2242,0.84088,2.8553,1.5109,-2.7419,1.9695,1.1422,-0.68965
"267",3.6787,0.17754,2.3117,0.066934,1.9117,0.92882,-0.19155,1.7578
"270",1.4026,0.71277,2.3631,0.037715,1.4371,1.4762,-0.10894,1.1742
"292",-2.8496,1.9978,2.4677,-0.97241,2.7359,-0.21684,1.5123,0.65381
"300",-2.1179,2.2411,1.7215,0.21089,2.5799,-0.81972,2.0508,1.0705
"332",6.9599,-0.72251,0.62755,3.5297,0.22233,-1.3644,2.4232,1.7143
"340",8.0943,1.4948,-3.1629,3.6541,0.64839,-3.4757,-1.1812,-0.73384
