"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"PE O-18:1_16:0",2.8045,2.7225,2.6899,2.5333,2.4648,2.4094,2.3876,2.3831
"TG 50:1",2.6634,1.6352,1.4557,1.3539,1.3149,1.3044,1.2929,1.2964
"PEtOH 18:1_20:4",2.4841,1.5548,1.4796,1.5067,1.4774,1.4801,1.4681,1.4716
"TG 48:1",2.4314,1.4086,1.4019,1.3237,1.2823,1.2865,1.2831,1.2915
"FA 20:4 (arachidonic acid)",2.3476,1.5156,1.4838,1.4658,1.4215,1.3899,1.3774,1.374
"TG 16:0_18:1_20:0",2.3405,1.635,1.47,1.3704,1.3402,1.3182,1.3132,1.3117
"TG 54:2",2.3045,1.7622,1.5836,1.4759,1.4404,1.4178,1.4129,1.4116
"TG 52:2",2.3034,1.7309,1.536,1.4269,1.3829,1.354,1.3421,1.3439
"Cer d36:2",2.2462,1.5372,1.459,1.3597,1.3271,1.2987,1.2996,1.296
"TG 54:3",2.231,1.6536,1.4783,1.4386,1.395,1.4105,1.4065,1.4024
"TG 48:0",2.2237,1.326,1.2891,1.2247,1.1888,1.2428,1.239,1.2363
"5-HETE",2.2173,1.4876,1.5423,1.5295,1.4813,1.4479,1.4399,1.4354
"PEtOH 36:1",2.2125,1.684,1.588,1.5577,1.5324,1.5967,1.5864,1.6013
"TG 52:1",2.2118,1.8201,1.6861,1.5694,1.5235,1.4996,1.4895,1.4918
"PEtOH 16:1_18:1",2.2035,2.1167,2.008,2.0122,2.0083,2.0126,1.995,1.9983
"FA 22:6 (docosahexaenoic acid)",2.1509,1.2579,1.1541,1.4734,1.4299,1.4032,1.4047,1.401
"TG 53:2",2.1482,1.3702,1.2627,1.1716,1.1486,1.1227,1.1136,1.1228
"TG 50:2",2.076,1.6722,1.4854,1.3804,1.337,1.3118,1.3001,1.3063
"TG 50:0",2.0676,1.2406,1.3012,1.2424,1.2128,1.273,1.2616,1.2648
"LPC O-20:1",2.055,1.7711,1.609,1.4952,1.448,1.4173,1.4046,1.4003
"PEtOH 18:1_18:1",1.9918,1.7887,1.6757,1.6416,1.6683,1.6945,1.6822,1.6885
"PE O-16:1_22:6",1.9699,1.2945,1.2542,1.1689,1.1389,1.1584,1.1515,1.16
"PE-O 18:1_22:6",1.9453,1.274,1.2276,1.1573,1.1412,1.1287,1.127,1.1361
"PEtOH 16:0_18:1",1.9376,2.4815,2.318,2.2849,2.2193,2.2237,2.2058,2.207
"PE O-18:1_22:6",1.9364,1.5192,1.3498,1.3082,1.2973,1.2757,1.2829,1.2818
"SM 42:7;3O",1.9257,1.3171,1.3289,1.239,1.3606,1.3308,1.32,1.322
"FA 16:1 (palmitoleic acid)",1.9181,2.3552,2.1228,1.9895,1.9662,1.9412,1.9257,1.923
"PE P-38:5 or PE O-38:6",1.9153,1.1079,1.0442,1.1071,1.16,1.1376,1.1273,1.1295
"PI 32:1",1.9046,1.7332,1.5918,1.4777,1.482,1.4487,1.4357,1.4324
"FA 20:3 (homo-gamma-linolenic acid)",1.8938,1.3025,1.3009,1.2651,1.2261,1.1989,1.1916,1.188
"TG 46:1",1.8875,1.1079,1.2432,1.1766,1.1565,1.1661,1.1805,1.1791
"TG 46:0",1.867,1.3583,1.3656,1.2808,1.2441,1.3058,1.3029,1.2993
"TG 51:2 Isomer A",1.8579,1.2403,1.1591,1.0754,1.0597,1.0377,1.0288,1.0347
"PEtOH 16:0_20:4",1.8573,1.4544,1.3394,1.3744,1.3603,1.3413,1.3474,1.349
"TG 51:1 Isomer B",1.8482,1.0789,1.1552,1.0832,1.0839,1.079,1.071,1.0756
"Cer d34:2 Isomer B",1.8336,1.0981,1.1318,1.2947,1.2937,1.268,1.2586,1.2551
"FA 14:1 (physeteric acid)",1.8199,1.9518,1.7787,1.6499,1.6537,1.6163,1.618,1.6129
"TG 42:1",1.797,1.5341,1.4185,1.3188,1.2916,1.297,1.2965,1.2939
"PE P-38:4 or PE O-38:5",1.7859,1.0364,1.1207,1.0939,1.0852,1.0644,1.0565,1.0538
"TG 50:3 Isomer A",1.7597,1.9015,1.6832,1.5646,1.5183,1.484,1.471,1.4755
"PEtOH 16:0_16:0",1.7547,1.541,1.4009,1.5353,1.4975,1.4718,1.4585,1.4553
"TG 56:2 Isomer B",1.7488,1.0418,0.98233,1.0362,1.0693,1.0993,1.0911,1.0878
"TG 52:3",1.7401,1.9543,1.7666,1.6556,1.6047,1.5748,1.5649,1.5614
"PE 38:4",1.7351,1.1486,1.1085,1.1974,1.2249,1.1972,1.1885,1.1863
"TG 44:0",1.7346,1.0775,1.0388,0.97007,0.94983,0.99465,1.0202,1.0202
"8,15-DiHETE",1.7263,1.1803,1.2692,1.2246,1.1915,1.1662,1.1569,1.1532
"Cer 58:11;2O",1.724,1.3332,1.199,1.1243,1.0897,1.0809,1.0721,1.0787
"TG 55:3",1.7186,0.9958,0.90654,0.87299,0.87429,0.86857,0.88348,0.8832
"PE P-36:4 or PE O-36:5",1.7053,1.0815,1.2281,1.2217,1.217,1.1996,1.1902,1.1883
"PC O-42:2 or PC 42:2e",1.6806,1.5697,1.5191,1.4113,1.3674,1.3443,1.3348,1.3306
"TG 56:3",1.6778,1.4446,1.2788,1.2863,1.2784,1.3656,1.3545,1.3506
"TG 56:6",1.6772,1.2094,1.475,1.5667,1.517,1.5008,1.4873,1.4826
"palmitoyl ethanolamide",1.6768,1.0355,1.2857,1.2357,1.2343,1.2198,1.2116,1.2095
"PE O-40:6 Isomer B",1.6664,0.96817,1.0479,1.0239,0.99168,1.0727,1.0634,1.06
"PC 16:0_azealic acid (PCPAz-PC)",1.6651,1.0413,0.92991,0.96702,0.93759,0.93183,0.92348,0.93729
"SM d44:3",1.6634,1.716,1.5401,1.5436,1.5091,1.5414,1.5315,1.5293
"TG 58:2",1.6559,0.99621,0.88246,1.0705,1.068,1.0836,1.0785,1.0751
"TG 53:3",1.6453,1.5519,1.3793,1.2893,1.2668,1.2416,1.2354,1.2374
"FA 20:5 (eicosapentaenoic acid)",1.6424,1.045,1.0259,1.1945,1.1633,1.1551,1.1796,1.1792
"TG 51:3",1.6401,1.2765,1.1296,1.0646,1.0695,1.0458,1.0363,1.0382
"TG 49:1",1.6323,1.0521,1.0315,0.96749,0.96712,0.98064,0.9738,0.97292
"PI 36:1 Isomer A",1.6278,1.2532,1.1348,1.0789,1.0493,1.0297,1.0387,1.0423
"TG 48:2",1.6178,1.2247,1.2036,1.1223,1.1012,1.0813,1.0763,1.0805
"TG 54:1",1.6164,1.5402,1.5619,1.4514,1.4448,1.4309,1.4288,1.4275
"PE O-16:1_18:2",1.6049,0.93565,0.83404,0.86958,0.9262,0.90674,0.899,0.89613
"TG 60:1",1.5984,1.6981,1.5272,1.5597,1.5195,1.4901,1.4871,1.4822
"PC 33:3",1.5584,0.95609,0.84919,1.0606,1.0367,1.0305,1.0213,1.0199
"Cer d34:2",1.5583,1.1235,1.0441,1.1943,1.2214,1.195,1.1878,1.1864
