"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)",0.015905,-0.016511,0.049316,-0.059373,0.017046,-0.0058498,0.021697,0.032023
"13-HODE",-0.058498,0.084482,-0.10903,0.1228,-0.086306,0.12971,-0.093794,0.03805
"16,16-dimethylprostaglandin A1",0.030768,-0.061884,-0.078984,0.037805,0.036681,0.038869,-0.080735,0.0013996
"4-HDoHE",-0.067865,0.14464,-0.10554,0.081025,-0.094335,0.01585,-0.019597,0.053276
"4-methyl-2-oxopentanoic acid",0.03631,0.031816,-0.06535,-0.028135,0.04332,0.11916,-0.055534,0.040111
"5-HETE",-0.11114,0.1368,-0.12754,0.085371,-0.056201,0.10989,-0.046252,0.021209
"8,15-DiHETE",-0.097424,0.080347,-0.09178,0.086108,-0.058613,0.038456,-0.019878,0.012839
"acylcarnitine 08:0",-0.0055803,-0.080502,0.10036,0.015979,0.013713,0.11269,-0.035391,-0.057567
"acylcarnitine 08:1",-0.016054,-0.050984,0.05215,0.018506,-0.0058325,0.09309,-0.094843,0.00084937
"acylcarnitine 10:0",-0.01902,0.024922,0.11039,-0.086498,0.031636,0.11414,-0.093554,-0.066284
"acylcarnitine 10:1",-0.019395,0.015381,0.06971,-0.029003,0.026991,0.05334,-0.11413,-0.019399
"acylcarnitine 12:1",-0.031291,-0.066676,-0.046845,-0.003704,0.041199,-0.052251,0.048341,-0.10101
"acylcarnitine 14:1",-0.014879,0.056856,0.058525,-0.044972,-0.016674,0.10721,-0.086801,-0.019854
"acylcarnitine 16:0",-0.0073654,-0.050149,0.01953,0.037113,-0.057043,0.053249,-0.025814,-0.045747
"acylcarnitine 18:0 Isomer A",-0.013912,-0.065213,-0.0089949,0.042408,-0.01062,0.061335,-0.066353,-0.070177
"acylcarnitine 18:1",-0.0074365,-0.026994,0.056243,0.017312,-0.0244,0.091401,-0.11261,-0.020159
"acylcarnitine 18:2 Isomer A",0.0041845,0.018582,0.0027952,-0.0077238,-0.010841,0.15022,-0.16089,0.00264
"acylcarnitine 20:1",-0.014004,-0.050031,0.037329,0.036949,-0.009147,0.083508,-0.10589,-0.018859
"C16 Lactosyl Ceramide (d18:1/16:0)",-0.040733,-0.057562,0.043304,-0.013081,-0.033732,0.035755,-0.039748,0.030404
"CE 18:1",0.027045,-0.086139,0.097551,-0.076727,-0.00034578,0.0072713,0.057312,-0.0015436
"CE 18:2",0.03948,-0.069961,0.079689,-0.1181,0.024518,-0.04004,0.036814,0.049532
"CE_13-HODE",0.039482,-0.039712,0.068516,-0.070369,0.0062119,0.063574,-0.0027128,0.027759
"Cer 18:0;2O/24:0",-0.010353,-0.026665,-0.026806,0.099456,-0.019642,-0.0066496,-0.036634,-0.016976
"Cer 18:0;2O/24:1",-0.033687,-0.082565,0.026366,0.042663,-0.0070424,0.067297,-0.044808,0.056486
"Cer 18:0;3O/16:0;(2OH)",-0.041268,0.037455,0.0096317,0.019956,-0.052411,0.082342,-0.036657,-0.015159
"Cer 18:0;3O/24:0;(2OH)",-0.011541,0.0641,-0.0089775,0.0022102,-0.0039127,0.02722,0.048973,-0.043317
"Cer 18:1;2O_26:0;(2OH)",0.021755,-0.096235,0.018842,0.050829,0.017042,-0.0275,-0.047217,0.029931
"Cer 18:1;2O/24:2",-0.0822,-0.036166,-0.0054746,0.05735,0.0094897,0.024857,-0.048528,0.022225
"Cer 18:1;2O/26:0",-0.042049,0.019948,-0.0029463,0.060712,-0.0090752,0.054159,-0.021038,-0.012703
"Cer 18:2;2O/22:0",-0.074214,-0.032829,-0.023196,0.078988,0.0022594,-0.016134,0.021502,0.0089293
"Cer 18:2;2O/23:0",-0.059551,-0.035309,0.0049781,0.034263,-0.0088772,0.012582,-0.0011712,-0.023988
"Cer 18:2;2O/24:1",-0.046778,-0.053316,0.0052563,0.038909,-0.0014645,0.046391,-0.048559,0.0017444
"Cer 20:0;2O/24:0",0.011495,0.053779,-0.042131,0.055533,-0.0053147,0.021128,-0.065663,-0.020073
"Cer 20:0;2O/25:0",-0.019879,0.087888,-0.021135,0.014551,0.028629,0.045543,-0.028354,-0.056335
"Cer 20:0;2O/26:0",-0.013811,0.078584,-0.027218,-0.020634,0.0031272,-0.0022714,-0.041328,-0.036084
"Cer 20:0;3O/24:0;(2OH)",-0.0075933,0.074647,0.0071465,-0.019273,-0.015555,0.011845,0.024934,0.0081808
"Cer 22:0;2O/26:0",0.0045805,0.079141,-0.047639,-0.027318,-0.02031,0.0023343,-0.0017502,-0.021992
"Cer 58:11;2O",0.099299,-0.093436,0.015866,0.037412,0.0023633,-0.071656,0.096979,-0.05131
"Cer d32:1",-0.063966,0.068186,-0.063862,0.090878,-0.053412,0.012332,0.038433,-0.010855
"Cer d33:1",-0.050184,0.036352,-0.089027,0.045742,-0.030274,0.017434,0.03595,-0.029241
"Cer d34:0",-0.047576,0.024271,-0.050877,0.0071964,-0.00039606,0.037764,0.017426,-0.020405
"Cer d34:1",-0.084518,-0.0019097,-0.054279,0.067723,-0.047198,0.057376,0.026133,0.011449
"Cer d34:2",-0.099415,0.038345,-0.074694,0.094944,-0.03758,0.020122,0.0081513,0.039453
"Cer d34:2 Isomer A",-0.051286,0.040854,-0.017827,-0.02108,-0.035323,0.073916,-0.035226,0.0098962
"Cer d34:2 Isomer B",-0.09055,0.069709,-0.097868,0.10916,-0.051443,0.020797,-0.014272,0.043379
"Cer d36:1",-0.06093,-0.069456,-0.014173,0.025598,-0.013018,0.058243,0.01238,-0.029636
"Cer d36:2",-0.09433,-0.019995,-0.052903,0.058765,0.014877,0.067851,0.034763,0.00031512
"Cer d38:1",-0.045805,-0.070907,-0.017002,0.042391,-0.0075374,0.044339,0.001776,-0.014367
"Cer d39:1",-0.041679,-0.029012,-0.025367,0.069725,-0.033303,0.031955,0.0021948,-0.043663
"Cer d40:0",0.0015007,-0.084989,-0.0090861,0.085136,-0.01285,0.011172,-0.045959,-0.024842
"Cer d40:1",-0.047374,-0.072475,-0.0034573,0.060895,-0.029923,0.048272,0.0064109,-0.021852
"Cer d40:2",-0.05568,-0.056641,-0.017803,0.049413,-0.016522,0.053432,-0.016612,0.01193
"Cer d41:1",0.00062868,-0.10038,0.018393,0.022923,-0.032269,0.037502,0.020116,-0.014442
"Cer d41:2",-0.025207,-0.0052994,-0.021552,0.016101,-0.029094,0.052295,-0.024791,-0.0075647
"Cer d42:0",0.013092,-0.081542,-0.013991,0.099081,-0.014401,0.018361,-0.052366,0.019699
"Cer d42:1",-0.03211,-0.08244,0.0016483,0.07713,-0.023959,0.061704,-0.0059598,0.0024989
"Cer d42:2 Isomer A",-0.063762,-0.070728,0.027531,0.058573,-0.015882,0.053933,-0.048137,0.037215
"Cer d42:3",-0.059741,-0.072558,-0.005936,0.040362,0.00019186,0.080958,-0.073787,0.044155
