"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"104",-3.4265,-0.25842,0.88552,0.71957,-0.85584,0.69686,-1.2913,-0.45273
"114",1.2333,-0.75256,-1.3038,-1.5501,-0.30216,-0.79604,0.9796,-0.83772
"117",1.3735,-1.7448,-0.21005,1.6736,-0.89658,-1.8861,-0.56767,-0.3366
"138",-0.99935,-0.59602,2.571,-1.2982,-2.1409,0.13336,-1.6218,-0.34778
"139",1.8416,-2.3277,0.093406,-1.3329,-0.81563,-2.4643,2.2808,0.85787
"147",-0.20243,0.18542,1.393,-0.38765,-2.5998,-1.1082,-1.943,-0.089966
"149",-1.8175,-0.85162,1.4781,-2.2225,0.23402,0.48178,-0.26016,0.4531
"155",-1.5263,-0.71156,0.77877,0.22655,-1.47,0.058818,-0.97693,0.18318
"162",-0.98897,-1.6873,-0.27859,0.096206,-1.8096,-0.040042,1.2166,-0.35698
"177",-2.4717,-0.35777,-0.30951,-2.0189,0.6593,0.21944,1.195,0.57985
"185",-0.71922,-1.5195,-2.1852,2.47,0.87611,0.25496,-1.8519,-1.2812
"190",-3.7734,-0.11926,-0.041822,-2.8445,0.14526,3.1379,-0.43247,0.75564
"197",-0.97964,-0.70794,-0.76649,1.5719,-1.8631,-0.24207,-0.37172,-0.51747
"218",-3.8922,-0.22533,0.46493,-0.8287,-0.027328,0.85796,-0.078957,0.13736
"250",-0.088952,1.122,-2.0435,0.74925,-1.4032,-0.91324,-0.84423,-1.691
"258",-3.214,5.6425,-1.7128,-0.65918,-2.5042,-1.9646,-1.4058,-0.68233
"267",1.4781,-2.8122,0.20754,-0.75819,-0.027029,-1.0496,1.1982,-0.12131
"269",1.4441,-1.4687,-1.9294,0.39314,3.7933,-0.81704,-1.9917,-1.6369
"270",0.3737,-0.52625,1.2477,-1.1268,-1.2548,-2.1747,0.18324,-0.84068
"273",-6.3883,3.0726,-4.0968,2.5152,2.4417,-1.8625,0.70085,0.74098
"277",-0.95586,-1.4108,-0.96356,-0.64455,-1.647,1.2929,2.0102,-0.4765
"286",0.60313,-3.2335,0.60855,0.6548,-2.3886,-1.6606,1.713,0.55923
"287",1.3075,0.27317,0.60844,-3.2371,0.62267,-1.5982,-0.24058,-0.39471
"292",-5.0105,-0.29324,2.2336,-0.011412,-1.4693,-0.062204,-1.2649,0.0085144
"295",-1.5351,-2.4046,2.0032,-1.0588,0.66088,0.35679,-0.83488,-0.70974
"297",-4.6875,-0.6811,-1.1595,0.91766,-0.54161,0.80672,-0.15695,0.80331
"300",-4.665,-1.5257,-0.26727,1.1704,0.43222,1.9171,-0.15813,-0.87432
"304",-0.70249,-1.2106,2.1102,-0.83731,-0.46039,-1.5369,0.10354,-1.4836
"311",-5.4488,1.6181,-3.6739,1.8801,0.71028,-0.95526,2.2353,1.6657
"315",-2.1791,-0.19087,-0.42257,-3.1199,4.2695,-1.0497,0.77678,1.2919
"326",-0.2986,-0.833,-2.9601,1.8871,-1.8593,2.7842,0.28612,-2.2116
"330",-3.8909,2.0892,-0.86644,-2.9143,1.9199,1.3774,-0.87432,0.035656
"332",5.9521,-3.7466,-4.1086,-0.00041334,3.0498,1.4834,-2.096,2.0568
"336",3.1211,1.8355,-2.654,-4.4551,0.88341,-0.14369,0.039907,-0.051624
"340",7.3894,-1.4814,-3.9839,0.51654,-4.2178,0.30278,-0.92296,2.3165
"120",-2.2419,1.6857,2.5302,2.7255,-0.72365,-0.049245,0.20164,4.6545
"122",4.2048,-0.2183,0.56365,2.7518,0.68442,0.10885,1.0231,-0.60463
"129",3.1604,4.9496,-0.078253,1.2272,-2.5116,1.368,0.73315,-0.14977
"151",-0.44573,-0.597,3.0784,0.42611,-0.16025,3.2611,1.8582,1.6844
"179",0.065669,-0.42648,3.1625,2.9205,3.0215,-0.026186,0.58272,-2.0755
"196",1.8102,2.2432,2.2763,0.81377,1.9032,0.1734,0.10625,-0.90269
"261",6.3593,3.2315,0.75101,-0.96556,-2.5887,1.3355,1.4113,-2.1773
"263",3.2383,0.17039,0.60072,2.9573,3.3987,0.18397,0.73435,-1.4433
"266",4.2329,2.6722,0.71845,-0.98988,2.5974,0.91364,0.46217,-1.3276
"283",2.3101,1.2779,4.0827,1.813,1.2271,-1.0777,-2.4294,2.1733
"321",8.3993,2.0459,0.19766,-0.40853,0.48922,0.41741,-0.78166,2.3843
"92",2.6512,0.80524,1.3707,0.59318,2.5184,-0.44614,1.3655,0.73341
