"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"PC 19:2",2.5966,2.6436,2.1796,1.987,1.9564,1.9043,1.8605,1.8511
"PC 21:4",2.5112,2.7191,2.2801,2.0782,2.0806,2.0232,1.9837,1.9737
"TG 58:8",2.4305,1.7923,1.4734,1.4175,1.3673,1.3517,1.3541,1.3617
"LPC 20:5",2.3369,2.2365,1.818,1.7212,1.665,1.6198,1.5949,1.5863
"TG 58:9",2.3354,1.7314,1.4049,1.2973,1.2513,1.2425,1.2463,1.2575
"TG 56:7 Isomer B",2.3006,1.7185,1.3973,1.4381,1.4041,1.4378,1.4501,1.4478
"PEtOH 16:0_18:1",2.2458,1.9009,2.0542,1.9256,1.9364,1.8842,1.9062,1.9147
"DG 18:1_18:2",2.0828,1.5376,1.297,1.3005,1.2541,1.2232,1.1947,1.2011
"TG 56:4",2.0761,1.5746,1.3339,1.3412,1.2995,1.2636,1.2341,1.2605
"LPE 18:0",2.0715,1.5464,1.3337,1.2111,1.2081,1.2193,1.1913,1.1882
"TG 56:8 Isomer A",2.0627,1.5396,1.3223,1.4521,1.4257,1.4514,1.4419,1.44
"TG 50:3 Isomer A",2.017,1.773,1.5053,1.398,1.3475,1.3174,1.3215,1.3139
"PC 19:1",2.0073,2.1027,1.895,1.7346,1.6765,1.6406,1.6035,1.5944
"LPE O-18:1",1.9662,1.4688,1.2124,1.1105,1.0785,1.0747,1.0496,1.0486
"TG 56:7 Isomer A",1.9644,1.5591,1.264,1.1987,1.1584,1.1499,1.123,1.1224
"TG 54:3",1.9614,1.7151,1.5746,1.5269,1.4718,1.4387,1.4547,1.4543
"PEtOH 16:1_18:1",1.9453,1.6149,2.2705,2.14,2.078,2.0226,2.0161,2.0293
"Cer d36:2",1.9417,1.4333,1.1983,1.4463,1.4444,1.4638,1.4319,1.4253
"PEtOH 36:1",1.9323,1.6394,1.6417,1.5672,1.5631,1.5477,1.5287,1.5286
"TG 56:3",1.9245,1.5339,1.3387,1.4798,1.4282,1.3893,1.3732,1.4036
"Cer d36:1",1.9241,1.631,1.3309,1.2503,1.2083,1.1967,1.1705,1.1688
"TG 52:2",1.9035,1.7085,1.6697,1.5981,1.5464,1.503,1.4785,1.4705
"Cer d34:1",1.8962,1.4036,1.1406,1.1927,1.1495,1.1739,1.1491,1.1431
"TG 56:6",1.8903,1.594,1.298,1.2434,1.1983,1.2676,1.2381,1.2349
"FA 20:4 (arachidonic acid)",1.8847,1.4901,1.7652,1.6273,1.5818,1.5401,1.5237,1.5149
"acylcarnitine 12:1",1.8737,2.0728,1.7454,1.5849,1.5327,1.4972,1.467,1.4614
"Cer d34:2",1.8656,1.4105,1.1589,1.2858,1.2432,1.2189,1.1921,1.1855
"TG 54:4",1.8542,1.6847,1.4072,1.3152,1.2757,1.2399,1.2391,1.2576
"TG 48:3",1.842,1.4831,1.2021,1.2458,1.2019,1.1708,1.176,1.1776
"FA 22:4",1.8349,1.3764,1.6592,1.5373,1.4964,1.4549,1.4658,1.4604
"PC 30:6",1.7833,1.676,1.3974,1.3321,1.294,1.4057,1.3737,1.3659
"PE O-40:5 Isomer B",1.7807,1.4132,1.2437,1.128,1.2201,1.2224,1.209,1.2026
"TG 50:4",1.7641,1.6223,1.3373,1.2448,1.1998,1.1728,1.1737,1.1711
"TG 50:1",1.7458,1.731,1.5603,1.5518,1.5015,1.4618,1.4784,1.4756
"8,15-DiHETE",1.7449,1.3512,1.2456,1.2555,1.2261,1.2065,1.1783,1.1741
