"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)",0.027459,0.011264,-0.037636,0.057875,-0.065567,0.085329,-0.060496,0.056646
"13-HODE",-0.01827,0.086229,0.16004,-0.074758,-0.01898,-0.061607,0.086149,-0.062699
"16,16-dimethylprostaglandin A1",0.033944,-0.041601,-0.11672,-0.069775,0.11946,0.037827,-0.097034,-0.10112
"4-HDoHE",0.03785,0.029239,0.20335,-0.085323,-0.061954,-0.015552,0.034061,-0.068647
"4-methyl-2-oxopentanoic acid",0.11176,-0.019503,-0.0090177,-0.014081,0.0071856,0.073327,0.0053029,0.051969
"5-HETE",-0.017063,0.054024,0.23337,-0.13674,-0.027902,-0.035902,-0.01704,0.0091313
"8,15-DiHETE",0.031954,0.014488,0.1173,-0.080021,0.042101,-0.043435,0.006162,-0.0091311
"acylcarnitine 08:0",0.05431,-0.080299,-0.04075,-0.0045399,0.086054,-0.095489,0.053683,0.038784
"acylcarnitine 08:1",0.040053,-0.016354,-0.01305,-0.01104,0.050644,0.000013327,0.033288,0.094997
"acylcarnitine 10:0",0.059581,0.035976,-0.029264,0.023506,0.068318,0.026573,-0.09733,0.088603
"acylcarnitine 10:1",0.061246,-0.0077887,-0.033427,0.021607,0.028398,0.0077886,-0.029754,0.042681
"acylcarnitine 12:1",0.078506,-0.06598,0.035175,0.03516,0.038514,-0.051581,0.014189,-0.091665
"acylcarnitine 14:1",0.015971,0.06516,0.0059837,-0.012606,0.030973,0.040934,-0.060288,0.0085702
"acylcarnitine 16:0",-0.061269,0.08451,0.00086638,-0.0093612,0.072717,-0.046157,-0.057831,0.070899
"acylcarnitine 18:0 Isomer A",-0.028271,0.055085,0.005591,-0.024897,0.1196,-0.086711,-0.053773,0.075532
"acylcarnitine 18:1",-0.05606,0.094496,0.0017647,-0.0059164,0.066323,-0.025347,-0.042817,0.042701
"acylcarnitine 18:2 Isomer A",-0.054204,0.060722,0.077141,-0.044066,-0.026353,0.035767,-0.035282,0.074519
"acylcarnitine 20:1",0.034814,0.014652,-0.0046076,-0.022123,0.10557,-0.049197,-0.064016,0.076402
"C16 Lactosyl Ceramide (d18:1/16:0)",-0.090338,0.067581,0.026748,-0.00089994,-0.03134,-0.061292,0.079009,-0.020524
"CE 18:1",-0.003929,0.0284,-0.1204,0.076703,0.0036709,0.035282,-0.029974,-0.0071277
"CE 18:2",-0.038323,0.043792,-0.1418,0.10627,-0.032947,0.044038,-0.04037,0.049182
"CE_13-HODE",-0.059056,0.036041,-0.033194,0.031499,-0.066524,0.080152,-0.0035113,-0.023749
"Cer 18:0;2O/24:0",0.015753,-0.016581,0.02924,-0.022692,0.077771,-0.03937,0.002088,0.085761
"Cer 18:0;2O/24:1",-0.048371,0.048347,0.043572,-0.0040431,0.066974,-0.11202,0.028003,0.053113
"Cer 18:0;3O/16:0;(2OH)",0.056747,-0.05217,0.0087148,-0.023861,0.037883,0.015529,-0.062774,-0.019409
"Cer 18:0;3O/24:0;(2OH)",0.098077,-0.068398,0.012348,0.0086297,-0.024138,0.0019027,-0.037754,-0.013461
"Cer 18:1;2O_26:0;(2OH)",-0.17835,0.12316,-0.010631,0.054196,-0.063639,-0.0058273,0.082443,-0.14819
"Cer 18:1;2O/24:2",-0.22203,0.091191,0.032046,0.015457,-0.043435,0.0069196,0.053989,-0.11324
"Cer 18:1;2O/26:0",0.034331,-0.021691,0.053891,-0.035844,0.02414,-0.067043,-0.017194,0.067034
