"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"104",-2.1163,-1.8157,-0.63657,0.79939,0.80585,-0.70527,-0.20528,0.57325
"117",-1.4639,-0.85951,-0.021126,-1.0059,0.35312,-0.46793,-0.99863,0.79238
"120",-0.05568,0.50021,-1.916,-1.1966,-2.5259,0.29208,1.087,0.024834
"122",-2.1415,-2.5858,-0.028366,3.2389,0.87816,0.40166,-1.5789,-0.43786
"147",-2.4236,-2.076,2.0037,-1.2138,-0.4062,-1.2965,0.18603,-0.14809
"151",-1.641,-3.793,0.34467,4.0619,-2.8223,1.1282,-0.28941,0.16432
"155",0.015723,0.14417,-1.0063,0.26583,-2.7188,0.42094,-1.2718,-0.0041778
"162",0.60024,1.4047,-3.6229,0.87581,-0.77567,-1.5376,-0.82613,-1.2047
"177",-0.97843,-0.35995,-0.92746,-3.5417,-1.2469,-0.37038,2.7696,0.19758
"190",-0.85909,-1.1183,2.9703,-1.257,-0.68885,-1.7794,0.08086,-1.3492
"196",0.23663,-2.7557,-1.1539,-0.47328,-0.5521,1.0037,-0.13519,0.41847
"197",-2.5472,-1.3795,-1.7661,-1.1818,-0.27006,1.3761,2.052,1.2527
"218",0.45005,1.2375,-4.4319,-0.36053,-1.1532,-1.6947,1.422,-0.78752
"233",-1.5692,-1.0295,-0.2449,1.9391,-0.029163,-0.8027,-1.7482,-1.1551
"250",-0.55308,-0.31557,0.52146,-2.3773,1.1073,-1.4649,0.45183,-1.153
"258",0.068402,0.5706,1.6829,-4.8935,-0.72584,2.5728,0.20115,-2.1274
"269",-2,-1.3547,1.7911,0.60099,-2.1231,-0.13599,-1.2968,0.63374
"273",-2.21,0.29908,-0.6292,-2.6206,1.4084,0.30049,-2.1867,2.2371
"277",-1.5055,-1.8798,1.3632,-2.4332,-0.71381,-0.39779,0.66733,0.96969
"283",-2.8517,-2.1612,2.0127,-4.6884,3.0404,2.0757,-0.78409,0.55656
"286",-3.57,0.87915,-3.169,-2.2738,3.1243,0.88161,-1.007,1.2445
"287",-1.259,-0.18055,0.56827,-0.6318,-2.5754,0.67581,-1.5488,0.76063
"295",-1.4961,-1.5559,-1.7443,1.4809,-0.58166,-1.856,-0.65817,0.72068
"297",-0.2868,-1.0057,0.39837,2.009,-0.01824,-2.6981,-2.7564,-0.5329
"304",-0.20062,-0.25427,-0.9493,-1.5166,-0.15982,-1.1313,-0.94323,0.23806
"311",0.94856,-0.074524,-4.9771,-0.25796,2.0984,-1.4321,1.4667,-1.8158
"315",-1.7916,-1.6009,1.3828,-2.0508,0.55544,-2.0146,1.0341,-1.4443
"321",-2.7435,-2.3963,-2.1625,-0.67096,0.26502,2.1663,0.34994,1.3875
"323",-0.96787,1.1173,-1.3595,1.699,-1.4771,-1.5373,-0.33324,0.23543
"326",-0.70245,-0.21888,1.7425,-2.0694,0.054813,-1.8983,-1.0175,-1.2466
"330",2.3009,-6.2967,-1.1503,1.3003,-1.0258,3.6393,2.4209,-1.2438
"336",-1.6748,-4.2914,0.30644,3.6499,-0.50335,1.3163,-0.059468,-0.99335
"92",0.93107,2.8669,-1.1484,-2.9279,-0.97831,-2.1558,-1.0932,-0.78309
"114",-0.6019,0.4322,0.68194,1.2592,3.0895,0.56792,0.58592,0.83923
"129",4.6679,2.7571,-0.80686,0.18806,1.2176,5.4536,-1.9348,-2.7669
"138",-0.81444,0.78944,0.82145,1.9908,2.2656,0.28958,1.2079,0.868
"139",-0.90005,1.2512,0.68334,2.552,2.1171,0.16651,-0.13512,0.76151
"149",0.96697,2.5642,0.92519,1.189,-1.3648,1.6976,-0.11225,1.4284
"179",0.89948,2.0713,-0.99895,3.7785,0.9096,-0.46965,1.3224,0.05771
"185",-1.2096,-1.2807,5.4542,1.7886,1.8019,-0.44253,1.3238,-0.67551
"261",20.513,-5.0333,0.21302,-1.0956,1.3622,-1.4864,-0.66641,1.5438
"263",1.3776,4.5095,-0.68976,1.3615,1.3302,-0.052198,0.34613,-0.63906
"266",-0.88006,3.5496,-0.55567,2.1464,3.2573,0.78597,-0.016206,-0.11475
"267",1.4279,3.5016,0.25564,0.38116,-1.3837,0.69344,0.50446,2.1866
"270",2.0981,4.7013,2.038,-0.099707,-2.9373,1.2614,0.75709,0.77206
"292",2.6919,4.5945,2.1786,-0.27382,-1.0917,1.9324,-1.7421,-0.78785
"300",0.5012,1.2464,3.6927,1.6969,0.78621,-2.2818,1.5289,-0.067758
"332",1.9844,4.2498,0.63684,0.13672,-0.69983,-1.1435,0.78851,0.56446
"340",1.3354,2.4355,1.4268,0.72206,-0.27933,0.15316,2.7903,0.049494
