"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"PC 21:4",3.2804,2.5338,2.2791,2.0679,1.9795,1.9491,1.964,1.9997
"PE P-34:1 or PE O-34:2",2.7821,2.0063,1.8427,1.6717,1.6048,1.5749,1.5344,1.5428
"Cer 18:1;2O/24:2",2.6128,2.3699,2.1342,1.9364,1.859,1.8215,1.7736,1.7707
"PE O-40:6 Isomer B",2.611,2.1758,1.9558,1.8342,1.8199,1.7942,1.9147,1.9037
"SPB 25:0;2O",2.6012,1.7901,2.3345,2.1456,2.0448,2.0434,2.0563,2.0386
"FAHFA 38:4",2.5959,2.6802,2.4194,2.1969,2.1042,2.0686,2.055,2.0301
"PC 19:2",2.5668,2.1432,1.9176,1.8337,1.7893,1.7821,1.7498,1.7292
"SM 26:0;2O/18:1",2.3184,1.9028,1.7036,1.5456,1.4815,1.4606,1.4228,1.4134
"PC 40:4",2.2759,2.1887,1.9883,1.8274,1.7659,1.7399,1.7017,1.6881
"4-methyl-2-oxopentanoic acid",2.2465,1.3728,1.2537,1.1731,1.2282,1.284,1.261,1.2546
"acylcarnitine 10:0",2.2059,1.5566,1.4071,1.3405,1.3007,1.2879,1.308,1.2956
"GlcCer d42:2",2.0896,1.9623,1.7549,1.6027,1.5324,1.5194,1.4795,1.4792
"PC P-38:3 or PC O-38:4 Isomer B",2.0844,1.27,1.1368,1.0325,1.0541,1.0339,1.0918,1.0782
"FA 18:1 (oleic acid)",2.0744,1.7396,1.5907,1.4514,1.3946,1.3907,1.3678,1.3598
"TG 55:3",2.0492,1.2828,1.1571,1.1908,1.1415,1.1224,1.1022,1.0875
"13-HODE",2.0244,2.3621,2.2082,2.1365,2.0381,1.9964,1.9768,1.9513
"LPI 18:0",2.0234,1.7051,1.5412,1.3984,1.3895,1.4251,1.3885,1.3698
"FAHFA 18:0/20:2",2.0212,1.2319,1.1869,1.1253,1.0793,1.0689,1.0418,1.0645
"4-HDoHE",2.0189,1.5945,1.546,1.8016,1.7755,1.7397,1.6939,1.6798
"PC O-31:7",2.0113,1.7427,1.5672,1.5568,1.6565,1.6613,1.6294,1.6166
"PC 19:1",1.9907,2.0541,1.8372,1.7767,1.7413,1.7569,1.719,1.7007
"FA 14:0 (myristic acid)",1.9219,1.1713,1.1399,1.0722,1.101,1.1103,1.1033,1.0898
"PE 16:1_18:1",1.8782,1.2705,1.2869,1.1785,1.16,1.1485,1.1304,1.1392
"Cer 22:0;2O/26:0",1.8695,1.2116,1.1926,1.0825,1.0609,1.0474,1.0322,1.02
"PC 30:6",1.7946,1.4177,1.2679,1.1938,1.1564,1.2265,1.1945,1.1796
"SM d35:2",1.7822,1.4653,1.3124,1.1905,1.1382,1.1176,1.0882,1.0739
"Phosphatidylethanolamine alkenyl 16:0-20:4",1.7425,1.3395,1.4676,1.4547,1.5319,1.5144,1.4764,1.4565
"PE 36:1",1.7341,1.3409,1.2846,1.167,1.1122,1.1186,1.1262,1.1144
"PE 36:4",1.7138,1.2004,1.6362,1.4844,1.4287,1.4009,1.3641,1.3459
"TG 58:4",1.7132,1.0912,0.9834,0.90458,0.87993,0.87154,0.85874,0.84737
"PC 38:4 Isomer C",1.7103,1.0957,1.0098,0.91591,0.96902,0.94929,1.0696,1.0557
"acylcarnitine 14:1",1.7101,1.5479,1.3854,1.2566,1.2052,1.182,1.1872,1.1712
"PE P-38:4 or PE O-38:5",1.6828,1.0568,1.1044,1.0051,0.9932,1.008,0.99773,1.0399
"PC 40:5 Isomer B",1.6786,1.055,0.94579,0.88016,0.94141,0.92323,0.90947,0.90864
"PC 36:2",1.6549,1.3981,1.2888,1.169,1.1326,1.112,1.0857,1.0716
"FA 30:0",1.6274,0.99985,0.95953,1.0842,1.1599,1.1477,1.1177,1.1069
"PC 36:4 Isomer C",1.6161,1.3104,1.1992,1.0914,1.1415,1.1182,1.1737,1.1581
