"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)",0.040374,0.052253,-0.030677,-0.054174,0.059382,-0.010552,0.030204,-0.037061
"13-HODE",-0.070222,-0.087189,0.032248,-0.019571,0.046457,0.068458,-0.080946,0.088779
"16,16-dimethylprostaglandin A1",0.050651,0.045743,0.05093,-0.032199,-0.13506,0.02759,-0.0005438,0.10483
"4-HDoHE",-0.01583,-0.11642,0.089308,-0.051956,0.095181,0.0081572,-0.077298,0.073776
"4-methyl-2-oxopentanoic acid",0.090584,-0.043269,-0.0020665,-0.086761,0.011531,0.068502,-0.014186,-0.021931
"5-HETE",-0.07142,-0.10892,0.11742,-0.10262,0.062039,0.022377,-0.10755,0.060791
"8,15-DiHETE",-0.006528,-0.079873,0.079163,-0.021416,-0.012465,0.031074,-0.080497,0.059637
"acylcarnitine 08:0",0.055391,-0.047689,0.037088,0.083495,-0.1254,0.0091204,0.083717,0.0010023
"acylcarnitine 08:1",0.036132,-0.012591,0.039364,-0.00076746,-0.04576,0.037978,0.015425,0.00030555
"acylcarnitine 10:0",0.052815,0.030403,0.017687,-0.066014,-0.05284,0.093588,0.014156,-0.059373
"acylcarnitine 10:1",0.059909,0.0091432,0.018729,-0.0071971,-0.039739,0.033134,0.040589,-0.00053183
"acylcarnitine 12:1",0.064371,-0.074734,0.020128,0.089369,-0.00038049,-0.021595,0.023911,0.1215
"acylcarnitine 14:1",0.0025002,0.02181,0.0025344,-0.093799,-0.014839,0.097587,0.0067056,-0.011733
"acylcarnitine 16:0",-0.06614,0.037373,-0.01164,-0.023245,-0.041766,0.11829,0.01711,-0.043662
"acylcarnitine 18:0 Isomer A",-0.039311,0.010921,0.024084,0.011219,-0.093357,0.11776,0.014186,-0.031523
"acylcarnitine 18:1",-0.058787,0.059142,0.0070161,-0.033682,-0.070838,0.078112,0.013052,-0.055166
"acylcarnitine 18:2 Isomer A",-0.06192,0.015661,0.032895,-0.11484,0.022051,0.019665,0.016253,-0.015549
"acylcarnitine 20:1",0.024278,0.0042317,0.048655,-0.020859,-0.1133,0.090671,0.054605,-0.067913
"C16 Lactosyl Ceramide (d18:1/16:0)",-0.090815,0.021765,-0.021201,0.051291,-0.0084535,-0.034416,-0.035543,0.061735
"CE 18:1",0.02221,0.10119,-0.061937,0.051515,-0.01317,0.0055261,0.0076788,0.016467
"CE 18:2",0.000079959,0.1311,-0.096795,0.040918,0.018145,0.013317,0.042021,-0.065712
"CE_13-HODE",-0.035644,0.081197,-0.031114,-0.0080492,0.064999,-0.048606,0.015547,0.053794
"Cer 18:0;2O/24:0",0.0073845,-0.027645,0.048685,-0.001847,-0.063475,0.050016,0.066214,-0.089741
"Cer 18:0;2O/24:1",-0.058851,-0.005598,0.023494,0.053877,-0.075705,0.052367,0.049063,-0.049782
"Cer 18:0;3O/16:0;(2OH)",0.051276,-0.032907,0.039197,-0.0073086,0.0089978,0.029053,0.021437,-0.015158
"Cer 18:0;3O/24:0;(2OH)",0.085583,-0.067074,0.0098722,0.0017346,0.045238,0.0066973,0.013037,-0.022631
"Cer 18:1;2O_26:0;(2OH)",-0.15632,0.095277,-0.086922,0.071273,0.072292,-0.036627,-0.042417,0.036201
"Cer 18:1;2O/24:2",-0.193,0.083949,-0.05792,0.028999,0.075421,-0.050721,0.020323,-0.024594
"Cer 18:1;2O/26:0",0.016681,-0.054147,0.051607,-0.001359,-0.041411,0.024414,0.043308,-0.016669
"Cer 18:2;2O/22:0",-0.054616,-0.035372,0.06265,0.05175,-0.070843,0.042018,0.028358,-0.067422
"Cer 18:2;2O/23:0",-0.058755,-0.011033,0.036598,0.054769,-0.045934,0.017592,0.0034907,-0.057848
"Cer 18:2;2O/24:1",0.044841,-0.036693,0.047047,-0.010827,-0.053828,0.054484,0.0075674,-0.064338
"Cer 20:0;2O/24:0",0.071877,-0.058601,0.02628,0.025837,0.0072412,-0.00056176,0.03748,-0.058376
"Cer 20:0;2O/25:0",0.089758,-0.046223,0.048462,-0.038574,0.040641,-0.032336,0.013895,0.022361
"Cer 20:0;2O/26:0",0.085722,-0.053095,0.037533,0.035184,0.036374,0.026772,-0.0088623,-0.0097495
"Cer 20:0;3O/24:0;(2OH)",0.093492,-0.053403,0.010674,0.00030801,0.015132,-0.0053118,0.0050691,-0.013457
"Cer 22:0;2O/26:0",0.090846,-0.069995,0.022553,-0.0036684,0.033345,-0.011677,-0.00048323,-0.014048
"Cer 58:11;2O",0.01348,0.010473,-0.13009,0.10712,0.02061,-0.0098634,0.0030305,0.034088
"Cer d32:1",-0.027513,-0.083496,0.059629,0.061663,-0.038281,0.044264,-0.024148,-0.063171
"Cer d33:1",0.0056899,-0.086859,0.045313,0.027584,-0.016102,0.023172,-0.018556,0.010911
"Cer d34:0",0.048934,-0.071504,0.033968,0.0075586,-0.027524,0.026138,0.0069463,-0.030539
"Cer d34:1",-0.081314,-0.039983,0.035366,0.042534,-0.049949,0.055713,-0.015066,0.025659
"Cer d34:2",-0.054422,-0.086228,0.056436,0.069544,-0.063134,0.056618,-0.011017,-0.025547
"Cer d34:2 Isomer A",0.0050031,-0.063281,0.016231,0.041616,0.015084,-0.02828,0.011832,0.062391
"Cer d34:2 Isomer B",-0.029873,-0.11068,0.077834,0.061721,-0.043114,0.015499,-0.012555,0.034448
"Cer d36:1",-0.053077,-0.034638,0.011431,0.049229,-0.076946,0.057543,0.022526,-0.035665
"Cer d36:2",-0.062143,-0.1103,0.033963,0.13745,-0.12504,0.034465,0.04232,-0.18218
"Cer d38:1",-0.03896,-0.026415,0.026537,0.039293,-0.091,0.053347,0.0022443,-0.042369
"Cer d39:1",-0.01336,-0.037835,0.02472,0.060551,-0.054235,0.048897,0.0096926,-0.032972
"Cer d40:0",-0.00034673,0.00050825,0.013575,0.035618,-0.094191,0.08296,0.018879,-0.068516
"Cer d40:1",-0.083872,0.006757,0.0038333,0.033105,-0.057381,0.04451,0.0098005,-0.061857
"Cer d40:2",-0.034798,0.00016845,0.017645,0.044624,-0.11221,0.090081,0.015004,-0.079648
"Cer d41:1",-0.036366,0.028966,-0.028828,0.085102,-0.063706,0.073819,-0.0074821,-0.05585
"Cer d41:2",-0.010785,-0.018954,0.038652,0.016482,-0.070163,0.068052,-0.043007,-0.0068994
"Cer d42:0",0.0031064,0.00029181,0.0084188,0.052494,-0.094245,0.092063,0.014802,-0.084655
"Cer d42:1",-0.082441,0.022537,-0.013873,0.065679,-0.058664,0.056505,0.0080548,-0.039917
"Cer d42:2 Isomer A",-0.11338,0.017162,-0.010311,0.0406,-0.034599,0.018846,0.01679,-0.06499
"Cer d42:3",-0.067141,0.0089988,0.02519,0.016724,-0.036601,0.058881,0.010218,-0.084701
"Cer d43:1",0.037995,-0.022268,0.018008,0.05,-0.065285,0.0682,-0.0080352,-0.041472
"Cer d43:2",0.063136,-0.060976,0.067582,0.0074153,0.0058002,-0.011955,0.0033685,0.016961
"Cer d44:1",-0.04276,0.015766,-0.027417,0.014149,-0.026263,0.046936,-0.011844,-0.073233
"Cer d44:2",0.075948,-0.067796,0.063644,-0.000026771,0.0054376,-0.037445,0.026436,-0.054904
"Cer d46:1",0.07897,-0.063911,0.032816,-0.0035964,0.0078267,0.013154,0.039841,0.02739
"Cer d46:2",0.056725,-0.092625,0.038338,0.0026441,0.035055,-0.025107,0.00037988,0.0059417
"Cer-NDS d39:0",0.056727,-0.043968,0.024663,-0.023249,0.020202,0.044314,0.024904,-0.084005
"Cer-NDS d40:0",0.020371,-0.042939,0.045149,0.010163,-0.081743,0.070597,0.040989,-0.067089
"Cer-NDS d41:0",0.060917,-0.047463,0.016215,0.015043,-0.036155,0.03111,0.034507,-0.063198
"Cer-NDS d43:0",0.066331,-0.054914,0.056052,-0.031406,-0.0053157,0.017705,0.038092,0.010767
"Cer-NP t42:0",0.065271,0.0039148,-0.027682,0.04771,-0.0074854,0.048091,-0.024818,-0.007573
"Cholesterol",-0.073183,0.058134,-0.044931,0.019228,0.051097,-0.055748,-0.016459,0.0524
"cholesterol 3-sulfate",0.023318,0.0040775,0.0046407,0.00401,-0.015286,-0.0051571,0.029324,-0.039565
"cis-13-docosenoic acid",0.052698,0.021437,0.023132,0.0050327,-0.013116,-0.021765,-0.045639,0.01087
"DG 18:1_18:2",0.0633,-0.044963,-0.045953,0.079601,-0.013665,-0.077821,0.035374,0.05563
"DG 34:1",0.077448,-0.023959,-0.057884,0.079976,-0.019438,0.0078499,0.0040742,0.024937
"docosanamide",0.042493,-0.061365,0.028853,-0.044451,0.026359,-0.00201,0.015393,0.019222
"FA 14:0 (myristic acid)",0.062929,-0.071211,-0.015608,-0.0086063,0.04394,0.078592,-0.053317,0.0024648
"FA 14:1 (physeteric acid)",0.07187,-0.047202,0.019288,-0.054785,0.045772,0.069224,-0.06279,-0.073739
"FA 15:0 (pentadecylic acid)",0.072035,-0.04086,0.0092435,-0.019579,0.010612,0.043811,-0.018797,-0.017852
"FA 15:1",0.087902,-0.018039,0.026859,-0.031584,-0.0026681,-0.008109,-0.0088936,-0.11099
"FA 16:1 (palmitoleic acid)",0.059306,-0.06721,-0.0024044,-0.045148,0.028553,0.05488,-0.000042405,-0.058633
"FA 17:0 (margaric acid)",0.047568,-0.05532,0.0056941,0.012373,-0.024319,0.042196,0.0056871,-0.037116
"FA 18:1 (oleic acid)",-0.0065928,-0.061509,-0.012712,0.059721,-0.0070896,0.071649,-0.079093,0.006783
"FA 18:2 (linoleic acid)",-0.06397,-0.08679,0.047099,-0.058123,0.052393,0.032605,-0.06345,0.041542
