"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"104",-1.2509,-0.28664,-1.2225,-0.22923,-1.4228,-0.24518,1.4163,-0.4228
"114",-1.0513,0.095399,0.41519,0.066984,-1.7043,-0.20675,-0.88503,-0.5159
"117",-1.9441,-1.1739,-0.67453,-0.90752,-0.023946,0.63153,-0.017124,0.072285
"138",-1.1124,0.59019,0.26014,0.44522,-2.0869,-1.2513,-0.62564,-0.74237
"139",-0.78468,1.5753,0.00018206,0.14473,-1.9072,-1.4984,-1.1535,-0.70112
"147",-3.2227,-2.1261,1.9929,0.21852,-1.1654,-2.0322,1.2655,1.4956
"149",-0.31453,-0.22563,-2.8666,-2.4654,2.4235,1.7359,0.55012,-0.53805
"155",1.2359,1.4682,-1.9198,-1.4888,0.85474,-1.192,-0.18805,-0.76381
"162",1.393,1.7088,-3.7696,1.4531,-0.53344,-0.5755,-3.5757,-1.2113
"177",-2.5636,-2.1103,-0.16887,0.71662,-0.070095,-0.1019,-1.3405,1.458
"185",-4.2285,-5.1376,1.6993,0.92898,1.0595,-0.51219,0.87949,-0.33025
"190",-3.1552,-3.7925,1.6315,0.36855,0.47794,0.20238,1.2307,-0.93476
"197",-1.0677,1.4094,-0.61509,-1.4131,-2.2992,-1.3782,1.6753,1.9585
"218",0.93723,1.1583,-4.236,0.74251,-2.8565,0.32766,1.001,2.3578
"250",-2.4291,-2.2781,1.3508,0.54528,-1.6877,0.11395,-1.0516,-0.24089
"258",-1.9944,-1.3734,3.1138,-2.0667,1.6499,-0.83802,-3.5318,0.87099
"267",-0.19835,0.34322,-2.306,-1.9566,0.49922,1.3634,0.84806,0.89321
"269",-1.4825,-0.25598,-0.01091,-1.9442,0.20913,-1.8565,2.2029,0.562
"270",-1.0287,-0.72362,-1.7164,-1.9614,2.9005,1.0901,-0.90273,-0.18352
"273",-1.9563,1.9101,1.8308,-2.2707,-1.2191,1.5467,-0.6175,-2.7236
"277",-2.5739,-2.5695,1.3571,-0.63088,-0.19468,-0.97515,0.17945,1.301
"286",-2.3838,3.8852,0.11331,-2.8,-4.0581,2.3466,0.84265,-1.1634
"287",-0.20421,1.7628,0.52499,-2.4972,-0.16897,-2.4267,0.14446,-0.52129
"292",-0.13591,-0.2999,-0.95613,-3.1665,2.6768,1.7816,-1.2748,0.10523
"295",-0.31004,-0.13957,-2.9544,0.90547,-0.29658,0.042667,0.80172,-0.92787
"297",-0.13872,-1.1609,-1.7494,0.0097096,-1.0047,-0.35963,1.3096,-0.0015703
"300",-3.8335,-5.4169,-0.90673,2.2773,1.7711,1.5816,-0.50282,-1.1032
"304",-0.46058,-0.43953,-0.50525,-0.6435,-1.4158,0.087769,0.075573,0.32005
"311",1.2495,-0.47549,-4.5714,1.5784,-2.7622,2.4336,0.10502,0.073936
"315",-3.7739,-3.4189,1.8204,1.8975,-1.0102,-1.4599,-1.3859,1.2258
"326",-2.9869,-2.8384,1.34,-0.056111,-0.23259,1.0266,0.87399,-0.086249
"330",5.3461,-3.2259,-3.4442,-0.34429,3.3128,-1.9919,-0.8446,-1.4977
"332",-1.5314,-1.7553,-2.5367,-0.20864,0.33466,2.0174,-0.60958,0.71695
"336",1.8905,0.74918,-1.0214,0.090514,0.23934,-4.1568,0.43867,-1.7453
"340",-0.3904,-0.2465,0.52633,0.62191,-1.6755,-2.4882,-1.8768,0.38193
"120",1.1332,2.4575,0.53097,2.2448,2.3215,-0.14582,-0.73238,1.2028
"122",1.2606,2.8295,0.90159,1.4083,1.0087,-0.62743,2.5066,-0.086647
"129",6.5914,4.9128,1.5026,-2.327,1.8202,0.23536,-1.2428,2.8486
"151",2.8546,2.664,-0.0042716,1.7669,3.219,-3.3318,2.2976,-0.15347
"179",1.2999,1.874,-1.8885,3.2368,1.4703,2.6946,2.1448,-0.44055
"196",2.5237,0.72802,0.62641,0.82011,2.0961,0.6048,1.4007,0.68139
"261",22.188,-6.2721,3.3367,-0.32839,-2.5289,1.3344,0.1881,-0.2263
"263",1.6629,5.2129,2.5434,2.4975,-1.303,-0.083341,-1.7698,-1.2329
"266",-0.97237,3.8053,0.72685,1.9854,0.33857,2.1245,-1.1261,0.7904
"283",-2.6407,0.92978,7.7767,-0.60074,0.76732,2.4741,1.7889,-0.95011
"321",1.0811,4.3812,2.2336,0.98958,1.0428,-0.50573,0.26052,-0.93522
"92",-0.52633,1.2916,1.8893,2.3461,1.134,2.4434,-1.173,1.0637
