"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"Cer 18:1;2O/24:2",3.0593,2.393,1.9893,1.8545,1.7706,1.7452,1.7221,1.7147
"PE P-34:1 or PE O-34:2",2.6005,2.0004,1.6566,1.5671,1.4931,1.4847,1.4702,1.4632
"SM 26:0;2O/18:1",2.5747,1.9302,1.6958,1.5232,1.4519,1.4326,1.4135,1.4044
"FA 20:4 (arachidonic acid)",2.5354,1.7784,1.7954,1.6442,1.612,1.5899,1.5754,1.5764
"PC 40:4",2.3063,1.985,1.7564,1.6034,1.5695,1.5798,1.5589,1.5489
"5-HETE",2.2507,1.7459,1.6778,1.6177,1.5574,1.523,1.5265,1.5219
"TG 60:2",2.2159,1.6631,1.4872,1.3162,1.3431,1.3178,1.3007,1.2937
"Cer d42:2 Isomer A",2.1951,1.5422,1.2774,1.1242,1.0914,1.0638,1.0571,1.0748
"Cer 18:1;2O_26:0;(2OH)",2.1565,1.9381,1.6193,1.7421,1.6585,1.6419,1.6253,1.6147
"TG 58:3",2.1374,1.7454,1.4856,1.3487,1.3709,1.3527,1.3509,1.3423
"Cer d36:2",2.1205,1.6994,1.6206,1.5031,1.6188,1.5816,1.5616,1.5724
"FA 18:2 (linoleic acid)",2.1098,1.6674,1.4717,1.2908,1.2989,1.2689,1.2544,1.2586
"13-HODE",2.1082,1.6036,1.4792,1.3375,1.3399,1.3124,1.3142,1.3073
"Cer 20:0;2O/26:0",2.0727,1.4651,1.5934,1.5727,1.514,1.4765,1.4592,1.451
"PE O-40:6 Isomer B",2.0174,1.8754,1.6063,1.4374,1.4792,1.4658,1.4518,1.4737
"TG 58:4",1.9853,1.3938,1.2164,1.0726,1.0493,1.0278,1.0222,1.0185
"TG 64:2",1.9762,1.5591,1.3608,1.2282,1.2129,1.1975,1.191,1.1845
"TG 58:2",1.902,1.4471,1.2424,1.142,1.2293,1.2108,1.1994,1.1929
"GlcCer d42:2",1.8917,1.8733,1.5924,1.5314,1.4619,1.4579,1.4385,1.4295
"TG 60:3",1.881,1.3151,1.1982,1.0805,1.1005,1.085,1.0762,1.0691
"SM 24:1",1.8675,1.5902,1.3192,1.181,1.115,1.087,1.073,1.0674
"SPB 25:0;2O",1.8588,1.5036,2.1344,2.0815,1.996,2.0152,2.1137,2.1545
"PS 16:0_22:4",1.8501,1.3829,1.1451,1.0547,1.0548,1.0683,1.055,1.0615
"TG 60:1",1.8245,1.2689,1.155,1.027,1.0716,1.0632,1.0501,1.0435
"FA 22:4",1.8241,1.5169,1.6313,1.4529,1.4413,1.4048,1.3879,1.3976
"FA 20:3 (homo-gamma-linolenic acid)",1.8222,1.3324,1.6976,1.5056,1.5346,1.4964,1.4864,1.4848
"PEtOH 16:1_16:1",1.8141,1.5987,1.5151,1.4347,1.371,1.3818,1.3654,1.3566
"SM d42:0",1.7807,1.4033,1.1622,1.0302,0.97115,0.97331,0.96827,0.96199
"PS 36:1",1.78,1.7055,1.4743,1.3829,1.3203,1.2872,1.274,1.2685
"PE 34:1",1.7739,1.5993,1.337,1.1866,1.1729,1.1434,1.1725,1.1661
"SM 20:3;2O/24:0",1.7588,1.3028,1.0812,0.95336,0.89796,0.87591,0.8656,0.86246
"PC 36:0",1.7557,1.3024,1.098,0.97203,0.95849,0.9343,0.92186,0.91736
"PC P-42:5 or PC O-42:6 Isomer A",1.7511,1.4228,1.3779,1.2084,1.2209,1.201,1.2151,1.2213
"FA 18:3 (linolenic acid)",1.7337,1.3717,1.1987,1.0552,1.1418,1.134,1.1204,1.1134
"FA 22:0 (behenic acid)",1.7191,1.1951,1.1088,0.98253,0.92761,0.90406,0.89421,0.89649
"FA 30:0",1.7092,1.2358,1.06,0.96196,0.90803,0.88945,0.87983,0.88033
"SM d36:1",1.7069,1.2907,1.1249,0.9954,0.93801,0.92029,0.90932,0.90348
