"identifier","annotation","ion_species","InChiKey","mz","ret_time","ESI_mode"
"2.08_861.55","1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol) ","[M-H]-","LALGUHSIWLNTNW-UHFFFAOYSA-N","861.54729999999995","2.0840000000000001","ESI neg"
"0.32_295.23","13-HODE ","[M-H]-","HNICUWMFWZBIFP-KDFHGORWSA-N","295.22809999999998","0.32","ESI neg"
"0.68_345.24","16,16-dimethylprostaglandin A1 ","[M-H2O-H]-","CTQQHQGBBMYJPT-UHFFFAOYSA-N","345.24290000000002","0.68200000000000005","ESI neg"
"0.32_343.23","4-HDoHE ","[M-H]-","IFRKCNPQVIJFAQ-UHFFFAOYSA-N","343.22699999999998","0.316","ESI neg"
"0.19_129.06","4-methyl-2-oxopentanoic acid","[M-H]-","BKAJNAXTPSGJCU-UHFFFAOYSA-N","129.0607","0.19400000000000001","ESI neg"
"0.33_319.23","5-HETE ","[M-H]-","KGIJOOYOSFUGPC-UHFFFAOYSA-N","319.22739999999999","0.32800000000000001","ESI neg"
"0.28_335.22","8,15-DiHETE ","[M-H]-","NNPWRKSGORGTIM-HCCKYKKOSA-N","335.22300000000001","0.28000000000000003","ESI neg"
"0.23_288.22","acylcarnitine 08:0 ","[M]+","CXTATJFJDMJMIY-CYBMUJFWSA-N","288.21640000000002","0.23400000000000001","ESI pos"
"0.23_286.20","acylcarnitine 08:1 ","[M]+","YMIVWYONPRZBEJ-LXKVQUBZSA-N","286.20159999999998","0.23400000000000001","ESI pos"
"0.26_316.25","acylcarnitine 10:0 ","[M]+","LZOSYCMHQXPBFU-UHFFFAOYSA-N","316.24799999999999","0.26300000000000001","ESI pos"
"0.25_314.23","acylcarnitine 10:1 ","[M]+","GOOOCIIXFLVRAG-UHFFFAOYSA-N","314.23270000000002","0.248","ESI pos"
"0.23_342.26","acylcarnitine 12:1 ","[M]+",NA,"342.26369999999997","0.23100000000000001","ESI pos"
"0.37_370.30","acylcarnitine 14:1 ","[M]+",NA,"370.29520000000002","0.36899999999999999","ESI pos"
"0.70_400.34","acylcarnitine 16:0 ","[M]+","XOMRRQXKHMYMOC-OAQYLSRUSA-N","400.34249999999997","0.70399999999999996","ESI pos"
"1.04_428.37","acylcarnitine 18:0 Isomer A ","[M]+","FNPHNLNTJNMAEE-HSZRJFAPSA-N","428.37360000000001","1.0409999999999999","ESI pos"
"0.77_426.36","acylcarnitine 18:1 ","[M]+","HITOYGLMAFIRNI-YSESTWPTSA-N","426.35829999999999","0.76500000000000001","ESI pos"
"0.57_424.34","acylcarnitine 18:2 Isomer A ","[M]+","MJLXQSQYKZWZCB-DQFWFXSYSA-N","424.34199999999998","0.57499999999999996","ESI pos"
"1.09_454.39","acylcarnitine 20:1 ","[M]+","PVOQPLSKYNZHOT-SEYXRHQNSA-N","454.38839999999999","1.0880000000000001","ESI pos"
"2.07_862.63","C16 Lactosyl Ceramide (d18:1/16:0) ","[M+H]+","HLIJNIKSBCIDGO-UHFFFAOYSA-N","862.62639999999999","2.0659999999999998","ESI pos"
"4.07_1324.19_4.07_673.59_4.07_668.63","CE 18:1 ","[2M+Na]+_[M+Na]+_[M+NH4]+","RJECHNNFRHZQKU-RMUVNZEASA-N","1324.1874_673.5886_668.6335","4.0699999999999994","ESI pos"
"3.89_671.57_3.90_666.62","CE 18:2 ","[M+Na]+_[M+NH4]+","NAACPBBQTFFYQB-LJAITQKLSA-N","671.5735_666.6189","3.8955000000000002","ESI pos"
"3.16_687.57","CE_13-HODE","[M+Na]+","RZXYPSUQZUUHPD-UHFFFAOYSA-N","687.56730000000005","3.1619999999999999","ESI pos"
"3.35_652.66","Cer 18:0;2O/24:0 ","[M+H]+","BPLYVSYSBPLDOA-UHFFFAOYSA-N","652.65959999999995","3.3490000000000002","ESI pos"
"3.11_648.62","Cer 18:0;2O/24:1 ","[M-H]-","WLDYKNUYRLBSJM-UHFFFAOYSA-N","648.62199999999996","3.1110000000000002","ESI neg"
