"Module","HubLipid","Rank","kME"
"black","FA 20:3 (homo-gamma-linolenic acid)",1,0.933734465639108
"black","FA 20:4 (arachidonic acid)",2,0.931883149010377
"black","5-HETE",3,0.923389103215749
"black","13-HODE",4,0.912277624154
"black","FA 18:2 (linoleic acid)",5,0.902937342458248
"black","FA 22:4",6,0.888721855087893
"black","4-HDoHE",7,0.877227122458655
"black","8,15-DiHETE",8,0.834021421287452
"black","FA 22:6 (docosahexaenoic acid)",9,0.821895173713827
"black","FA 20:2 (eicosadienoic acid)",10,0.744417503923066
"darkgreen","FA 16:1 (palmitoleic acid)",1,0.814001852812078
"darkgreen","FA 15:1",2,0.785495428831008
"darkgreen","FA 14:0 (myristic acid)",3,0.782694698563517
"darkgreen","FA 14:1 (physeteric acid)",4,0.765083301963396
"darkgreen","FA 15:0 (pentadecylic acid)",5,0.676940645919395
"darkgreen","4-methyl-2-oxopentanoic acid",6,0.591478094384897
"darkgreen","FA 19:1",7,0.579229861007073
"steelblue","acylcarnitine 18:1",1,0.923070501762603
"steelblue","acylcarnitine 20:1",2,0.855400784992986
"steelblue","acylcarnitine 18:0 Isomer A",3,0.806890016477629
"steelblue","acylcarnitine 16:0",4,0.769902654541648
"steelblue","acylcarnitine 18:2 Isomer A",5,0.735622760896765
"darkmagenta","TG 10:0_12:0_18:2",1,0.918555376395011
"darkmagenta","CE 18:2",2,0.862051888828483
"darkmagenta","CE 18:1",3,0.849879879766657
"darkmagenta","CE_13-HODE",4,0.797246803293414
"darkmagenta","Cer-NP t42:0",5,0.711730515624092
"violet","Cer d42:0",1,0.911152183179874
"violet","Cer-NDS d40:0",2,0.896282349518922
"violet","Cer d40:0",3,0.895613263660375
"violet","Cer 18:0;2O/24:0",4,0.870130735804454
"violet","Cer-NDS d41:0",5,0.642727582792151
"darkorange","Cer d42:3",1,0.882958753760099
"darkorange","Cer d42:2 Isomer A",2,0.876248646494622
"darkorange","Cer 18:0;2O/24:1",3,0.824832168339005
"darkorange","Cer 18:1;2O/24:2",4,0.771950375005036
"darkorange","Cer d44:1",5,0.742629480670089
"darkorange","Cer 18:2;2O/24:1",6,0.740023668252568
"blue","TG 50:3 Isomer A",1,0.92493720525404
"blue","TG 52:3",2,0.919352611234321
"blue","TG 53:3",3,0.917021903097931
"blue","TG 50:2",4,0.888398521422766
"blue","TG 53:4",5,0.877547547473883
"blue","TG 52:4",6,0.865465546973248
"blue","Cer 58:11;2O",7,0.863336705170264
"blue","TG 51:3",8,0.861007761149119
"blue","TG 53:2",9,0.843648280444168
"blue","TG 52:2",10,0.839298966642974
"green","Cer d34:2",1,0.889416790638164
"green","Cer d34:2 Isomer B",2,0.866558226847841
"green","PEtOH 16:1_16:1",3,0.838116322897897
"green","Cer d34:1",4,0.815713687216908
"green","Cer d32:1",5,0.810230741741787
"green","Cer d33:1",6,0.786790405623231
"green","LPE O-16:1",7,0.786443002354677
"green","LPE O-18:1",8,0.768151410186242
"green","PEtOH 16:0_16:1",9,0.730613669905046
"green","LPE 16:0",10,0.696050856627846
"tan","Cer d38:1",1,0.892579816735806
"tan","Cer d36:1",2,0.844736400813331
"tan","Cer d40:1",3,0.82391751108761
"tan","Cer d42:1",4,0.778826069503528
"tan","Cer 18:2;2O/22:0",5,0.769012304522699
"tan","Cer d40:2",6,0.759007577441817
"tan","Cer 18:2;2O/23:0",7,0.732697727966914
"tan","Cer d41:2",8,0.686151522986016
"tan","Cer d41:1",9,0.643250061404985
"tan","Cer d43:1",10,0.61136587470888
"pink","FA 22:0 (behenic acid)",1,0.848759193832549
"pink","Cer 20:0;2O/25:0",2,0.807388138951384
"pink","FA 23:0",3,0.773636991315352
"pink","Cer 22:0;2O/26:0",4,0.768921058794912
"pink","FA 28:0 (montanic acid)",5,0.743589652101785
"pink","FA 30:0",6,0.699166679462301
"pink","Cer d46:1",7,0.697307906596658
"pink","Cer 20:0;3O/24:0;(2OH)",8,0.689359925556468
"pink","Cer d44:2",9,0.649589310830089
"pink","Cer-NDS d43:0",10,0.64832077189665
"lightcyan","TG 54:2",1,0.952606685570274
"lightcyan","TG 16:0_18:1_20:0",2,0.94715128631121
"lightcyan","TG 54:3",3,0.912527223589929
"lightcyan","TG 56:3",4,0.911012357138761
"lightcyan","TG 56:4",5,0.885999164039181
"lightcyan","TG 54:4",6,0.875281600627255
"lightcyan","TG 52:1",7,0.808276470864229
"lightcyan","TG 54:1",8,0.631891318060969
"lightcyan","DG 18:1_18:2",9,0.58723402272504
"cyan","LPC 16:0",1,0.916554043006742
"cyan","LPC 17:0",2,0.884313857043525
"cyan","LPC 18:0",3,0.882977962641289
"cyan","LPC 18:1",4,0.845712682016513
"cyan","LPC 15:0",5,0.818754272139352
"cyan","LPC 16:1",6,0.752208752049924
"cyan","LPC 20:1",7,0.646667654761124
"cyan","LPC 14:0",8,0.614438479840426
"cyan","LPC O-22:0",9,0.603207763547643
"cyan","LPC O-24:1",10,0.498239070622928
"paleturquoise","LPC 20:4",1,0.931338755743081
"paleturquoise","LPC 22:6",2,0.902013042619423
"paleturquoise","LPC 20:5",3,0.856303790774541
"paleturquoise","LPC 20:3",4,0.849582134077179
"paleturquoise","LPC 18:2",5,0.760809242382099
"lightyellow","LPC O-16:0",1,0.931112039584478
"lightyellow","LPC P-18:0 or LPC O-18:1",2,0.880036373049336
"lightyellow","LPC 20:2",3,0.862500050280931
"lightyellow","LPC p-18:0",4,0.852678190512538
"lightyellow","LPS 18:0",5,0.76572387534903
"lightyellow","LPC P-16:0 or LPC O-16:1",6,0.748488405274276
"lightyellow","LPC 20:0",7,0.721855250814485
"lightyellow","LPI 18:0",8,0.720992855582808
"orange","PC O-32:0",1,0.880634358741974
"orange","PC O-33:0",2,0.807153346731106
"orange","LPC 32:0",3,0.78327073787853
"orange","PC O-34:0",4,0.754723472411446
"orange","PC O-30:0",5,0.718263757959842
"orange","SM 32:0;3O",6,0.675916503102668
"orange","PC 32:0",7,0.675337607011972
"skyblue","LPE 20:4",1,0.942199060129458
"skyblue","LPE 22:6",2,0.887524607393795
"skyblue","LPE 18:2",3,0.823594250606473
"skyblue","LPE 18:1",4,0.768819999050461
"skyblue","PS 16:0_22:4",5,0.676811283513638
"skyblue","PS 18:0_22:6",6,0.520211367810105
"yellow","PE P-36:4 or PE O-36:5",1,0.922997344649337
"yellow","PE P-38:5 or PE O-38:6",2,0.906200190844232
"yellow","PE 36:4",3,0.892646602564271
"yellow","PE 38:4",4,0.848799722169744
"yellow","PE-O 18:1_22:6",5,0.816574325442496
