"Module","HubLipid","Rank","kME"
"black","FA 22:4",1,0.921572967778843
"black","FA 20:4 (arachidonic acid)",2,0.921293217133336
"black","13-HODE",3,0.913015281814618
"black","5-HETE",4,0.91006945354076
"black","FA 20:3 (homo-gamma-linolenic acid)",5,0.904500250925145
"black","FA 18:2 (linoleic acid)",6,0.878247293185334
"black","8,15-DiHETE",7,0.872675592882152
"black","FA 22:6 (docosahexaenoic acid)",8,0.834328692738029
"black","4-HDoHE",9,0.799811272106377
"black","FA 18:3 (linolenic acid)",10,0.67597906552555
"darkgreen","FA 14:1 (physeteric acid)",1,0.866458221366136
"darkgreen","FA 16:1 (palmitoleic acid)",2,0.849253980403841
"darkgreen","FA 15:1",3,0.847704674944229
"darkgreen","FA 15:0 (pentadecylic acid)",4,0.802601630619232
"darkgreen","FA 19:1",5,0.781795976528463
"darkgreen","FA 14:0 (myristic acid)",6,0.743950237263264
"darkgreen","4-methyl-2-oxopentanoic acid",7,0.553312015345928
"steelblue","acylcarnitine 18:1",1,0.923326978240256
"steelblue","acylcarnitine 20:1",2,0.902887368834362
"steelblue","acylcarnitine 16:0",3,0.864505820263663
"steelblue","acylcarnitine 18:0 Isomer A",4,0.847281021756737
"steelblue","acylcarnitine 18:2 Isomer A",5,0.692815581129953
"darkmagenta","CE 18:1",1,0.875597790043109
"darkmagenta","CE 18:2",2,0.859826558838435
"darkmagenta","TG 10:0_12:0_18:2",3,0.848129869538599
"darkmagenta","CE_13-HODE",4,0.844403739690893
"darkmagenta","Cer-NP t42:0",5,0.610273205042355
"violet","Cer-NDS d40:0",1,0.949681170075596
"violet","Cer 18:0;2O/24:0",2,0.945217140626837
"violet","Cer d40:0",3,0.923348326864244
"violet","Cer d42:0",4,0.911291700889606
"violet","Cer-NDS d41:0",5,0.572270949974467
"darkorange","Cer d42:2 Isomer A",1,0.95700575940633
"darkorange","Cer d42:3",2,0.943620096394908
"darkorange","Cer 18:1;2O/24:2",3,0.895629374403002
"darkorange","Cer 18:2;2O/24:1",4,0.868832734040285
"darkorange","Cer 18:0;2O/24:1",5,0.811193836393794
"darkorange","Cer d44:1",6,0.597051185695355
"blue","TG 50:3 Isomer A",1,0.968096859224811
"blue","TG 52:3",2,0.948547406574368
"blue","TG 53:3",3,0.947915670349774
"blue","TG 51:3",4,0.934505878445218
"blue","TG 50:2",5,0.928167147014179
"blue","TG 52:2",6,0.924036727734985
"blue","TG 53:4",7,0.915642662371584
"blue","TG 50:4",8,0.905033897016265
"blue","Cer 58:11;2O",9,0.889504747977464
"blue","TG 51:2 Isomer A",10,0.878975770368271
"green","Cer d34:2",1,0.937954960575192
"green","Cer d34:2 Isomer B",2,0.923709793014603
