"Module","HubLipid","Rank","kME"
"black","FA 20:3 (homo-gamma-linolenic acid)",1,0.948117563605117
"black","FA 22:4",2,0.947445613452001
"black","FA 18:2 (linoleic acid)",3,0.925994758082759
"black","5-HETE",4,0.911454212961354
"black","FA 22:6 (docosahexaenoic acid)",5,0.896667409164845
"black","FA 20:4 (arachidonic acid)",6,0.89642181995038
"black","4-HDoHE",7,0.880325223111652
"black","13-HODE",8,0.876912132170241
"black","FA 18:3 (linolenic acid)",9,0.726333856694673
"black","FA 20:2 (eicosadienoic acid)",10,0.711371884204177
"darkgreen","FA 14:1 (physeteric acid)",1,0.855724722224157
"darkgreen","FA 15:0 (pentadecylic acid)",2,0.794697553483958
"darkgreen","FA 16:1 (palmitoleic acid)",3,0.790347832156252
"darkgreen","4-methyl-2-oxopentanoic acid",4,0.699204300781619
"darkgreen","FA 19:1",5,0.682394645847189
"darkgreen","FA 14:0 (myristic acid)",6,0.635600770384999
"darkgreen","FA 15:1",7,0.634117804144793
"steelblue","acylcarnitine 18:1",1,0.917353506388496
"steelblue","acylcarnitine 18:0 Isomer A",2,0.842832592303776
"steelblue","acylcarnitine 16:0",3,0.799015338480985
"steelblue","acylcarnitine 18:2 Isomer A",4,0.681059325095153
"steelblue","acylcarnitine 20:1",5,0.666122055716526
"darkmagenta","CE 18:1",1,0.908686290670159
"darkmagenta","CE 18:2",2,0.864704069696539
"darkmagenta","CE_13-HODE",3,0.747788199682568
"darkmagenta","TG 10:0_12:0_18:2",4,0.724611355523409
"darkmagenta","Cer-NP t42:0",5,0.545754303855624
"violet","Cer-NDS d40:0",1,0.950772800433142
"violet","Cer 18:0;2O/24:0",2,0.945872109471187
"violet","Cer d42:0",3,0.932116387002166
"violet","Cer d40:0",4,0.921636128454848
"violet","Cer-NDS d41:0",5,0.511445158667824
"darkorange","Cer d42:2 Isomer A",1,0.952486602892449
"darkorange","Cer d42:3",2,0.887224134913023
"darkorange","Cer 18:0;2O/24:1",3,0.883777039755568
"darkorange","Cer 18:1;2O/24:2",4,0.834295936751273
"darkorange","Cer d44:1",5,0.734117668223469
"darkorange","Cer 18:2;2O/24:1",6,0.694391444586602
"blue","TG 51:3",1,0.959906606428074
"blue","TG 52:4",2,0.94825393638553
"blue","TG 53:3",3,0.927946406439162
"blue","TG 52:3",4,0.915069063872385
"blue","TG 51:2 Isomer A",5,0.884800852624264
"blue","TG 53:4",6,0.883857000683902
"blue","TG 52:5",7,0.870679422666304
"blue","TG 50:3 Isomer A",8,0.867403934799692
"blue","TG 53:2",9,0.857335444728636
"blue","TG 52:2",10,0.847128194483439
"green","Cer d34:2 Isomer B",1,0.901421480583544
"green","Cer d32:1",2,0.867341545769851
"green","Cer d34:2",3,0.822976530555017
"green","PEtOH 16:1_16:1",4,0.818485717132413
"green","LPE O-18:1",5,0.796800937124881
"green","LPE 16:0",6,0.764404003587568
"green","LPE 18:0",7,0.759556364988675
"green","Cer d33:1",8,0.741380341477965
"green","LPE O-16:1",9,0.731789775802437
"green","PEtOH 16:0_16:1",10,0.729846288959101
