"Module","ESI_mode","n"
"black","ESI neg",14
"blue","ESI neg",1
"blue","ESI pos",23
"brown","ESI neg",5
"brown","ESI pos",19
"cyan","ESI pos",10
"darkgreen","ESI neg",7
"darkgrey","ESI pos",8
"darkmagenta","ESI neg",1
"darkmagenta","ESI pos",4
"darkolivegreen","ESI pos",5
"darkorange","ESI neg",5
"darkorange","ESI pos",1
"darkred","ESI neg",7
"darkturquoise","ESI pos",10
"green","ESI neg",11
"green","ESI pos",7
"greenyellow","ESI pos",14
"grey60","ESI pos",9
"lightcyan","ESI pos",9
"lightgreen","ESI pos",8
"lightyellow","ESI neg",2
"lightyellow","ESI pos",6
"magenta","ESI pos",14
"midnightblue","ESI pos",9
"orange","ESI pos",7
"paleturquoise","ESI neg",1
"paleturquoise","ESI pos",4
"pink","ESI neg",6
"pink","ESI pos",8
"purple","ESI neg",8
"purple","ESI pos",8
"red","ESI neg",1
"red","ESI pos",16
"royalblue","ESI pos",8
"saddlebrown","ESI pos",6
"salmon","ESI neg",1
"salmon","ESI pos",9
"skyblue","ESI neg",3
"skyblue","ESI pos",4
"steelblue","ESI pos",5
"tan","ESI neg",9
"tan","ESI pos",4
"turquoise","ESI neg",7
"turquoise","ESI pos",20
"violet","ESI neg",2
"violet","ESI pos",3
"white","ESI neg",2
"white","ESI pos",4
"yellow","ESI neg",12
"yellow","ESI pos",9
