"Module","Main.class","n"
"black","Fatty acids",9
"black","Eicosanoids",2
"black","Docosanoids",1
"black","Fatty esters",1
"black","Octadecanoids",1
"blue","Triradylglycerols",21
"blue","Ceramides",2
"blue","Diradylglycerols",1
"brown","Phosphosphingolipids",23
"brown","Glycerophosphocholines",1
"cyan","Glycerophosphocholines",10
"darkgreen","Fatty acids",6
"darkgreen","Keto acids",1
"darkgrey","Glycerophosphocholines",8
"darkmagenta","Sterol esters",3
"darkmagenta","Ceramides",1
"darkmagenta","Triradylglycerols",1
"darkolivegreen","Glycerophosphocholines",5
"darkorange","Ceramides",6
"darkred","Glycerophosphatidylethanol",7
"darkturquoise","Triradylglycerols",10
"green","Ceramides",7
"green","Glycerophosphoethanolamines",6
"green","Glycerophosphatidylethanol",2
"green","Eicosanoids",1
"green","Fatty amides",1
"green","Glycerophosphocholines",1
"greenyellow","Glycerophosphocholines",8
"greenyellow","Phosphosphingolipids",6
"grey60","Triradylglycerols",9
"lightcyan","Triradylglycerols",8
"lightcyan","Diradylglycerols",1
"lightgreen","Phosphosphingolipids",8
"lightyellow","Glycerophosphocholines",6
"lightyellow","Glycerophosphoinositols",1
"lightyellow","Glycerophosphoserines",1
"magenta","Triradylglycerols",14
"midnightblue","Triradylglycerols",9
"orange","Glycerophosphocholines",6
"orange","Phosphosphingolipids",1
"paleturquoise","Glycerophosphocholines",5
"pink","Ceramides",7
"pink","Fatty acids",6
"pink","Fatty esters",1
"purple","Glycerophosphoethanolamines",13
"purple","Glycerophosphoserines",3
"red","Phosphosphingolipids",17
"royalblue","Triradylglycerols",8
"saddlebrown","Glycerophosphocholines",6
"salmon","Glycerophosphocholines",9
"salmon","Glycerophosphoinositols",1
"skyblue","Glycerophosphoethanolamines",5
"skyblue","Glycerophosphoserines",2
"steelblue","Fatty esters",5
"tan","Ceramides",13
"turquoise","Glycerophosphocholines",23
"turquoise","Glycerophosphoinositols",3
"turquoise","Phosphosphingolipids",1
"violet","Ceramides",5
"white","Glycerophosphocholines",6
"yellow","Glycerophosphoethanolamines",19
"yellow","Glycerophosphoserines",1
"yellow","Monoradylglycerols",1
