"PlotOrder","Module","ClassGroup","n_hubs","mean_kME","best_rank"
1,"blue","01_TG-associated",21,NA,NA
2,"darkturquoise","01_TG-associated",10,NA,NA
3,"grey60","01_TG-associated",9,NA,NA
4,"lightcyan","01_TG-associated",8,NA,NA
5,"magenta","01_TG-associated",14,NA,NA
6,"midnightblue","01_TG-associated",9,NA,NA
7,"royalblue","01_TG-associated",8,NA,NA
8,"purple","04_PE/LPE",13,NA,NA
9,"skyblue","04_PE/LPE",5,NA,NA
10,"yellow","04_PE/LPE",19,NA,NA
11,"cyan","05_PC/LPC",10,NA,NA
12,"darkgrey","05_PC/LPC",8,NA,NA
13,"darkolivegreen","05_PC/LPC",5,NA,NA
14,"greenyellow","05_PC/LPC",8,NA,NA
15,"lightyellow","05_PC/LPC",6,NA,NA
16,"orange","05_PC/LPC",6,NA,NA
17,"paleturquoise","05_PC/LPC",5,NA,NA
18,"saddlebrown","05_PC/LPC",6,NA,NA
19,"salmon","05_PC/LPC",9,NA,NA
20,"turquoise","05_PC/LPC",23,NA,NA
21,"white","05_PC/LPC",6,NA,NA
22,"brown","06_Sphingomyelins",23,NA,NA
23,"lightgreen","06_Sphingomyelins",8,NA,NA
24,"red","06_Sphingomyelins",17,NA,NA
25,"darkorange","07_Ceramides",6,NA,NA
26,"green","07_Ceramides",7,NA,NA
27,"pink","07_Ceramides",7,NA,NA
28,"tan","07_Ceramides",13,NA,NA
29,"violet","07_Ceramides",5,NA,NA
30,"black","08_Fatty-acyls",14,NA,NA
31,"darkgreen","08_Fatty-acyls",6,NA,NA
32,"steelblue","08_Fatty-acyls",5,NA,NA
33,"darkmagenta","90_Other",3,NA,NA
34,"darkred","90_Other",7,NA,NA
