"Module","LipidClass","ClassGroup","ClassColor"
"MEblue","01_TG-associated","TG","#E63946"
"MEdarkturquoise","01_TG-associated","TG","#E63946"
"MEgrey60","01_TG-associated","TG","#E63946"
"MElightcyan","01_TG-associated","TG","#E63946"
"MEmagenta","01_TG-associated","TG","#E63946"
"MEmidnightblue","01_TG-associated","TG","#E63946"
"MEroyalblue","01_TG-associated","TG","#E63946"
"MEcyan","05_PC/LPC","PC/LPC","#1D3D8F"
"MEdarkgrey","05_PC/LPC","PC/LPC","#1D3D8F"
"MEdarkolivegreen","05_PC/LPC","PC/LPC","#1D3D8F"
"MEgreenyellow","05_PC/LPC","PC/LPC","#1D3D8F"
"MElightyellow","05_PC/LPC","PC/LPC","#1D3D8F"
"MEorange","05_PC/LPC","PC/LPC","#1D3D8F"
"MEpaleturquoise","05_PC/LPC","PC/LPC","#1D3D8F"
"MEsaddlebrown","05_PC/LPC","PC/LPC","#1D3D8F"
"MEsalmon","05_PC/LPC","PC/LPC","#1D3D8F"
"MEturquoise","05_PC/LPC","PC/LPC","#1D3D8F"
"MEwhite","05_PC/LPC","PC/LPC","#1D3D8F"
"MEpurple","04_PE/LPE","PE/LPE","#F4A261"
"MEskyblue","04_PE/LPE","PE/LPE","#F4A261"
"MEyellow","04_PE/LPE","PE/LPE","#F4A261"
"MEbrown","06_Sphingomyelins","SM","#2A9D8F"
"MElightgreen","06_Sphingomyelins","SM","#2A9D8F"
"MEred","06_Sphingomyelins","SM","#2A9D8F"
"MEdarkorange","07_Ceramides","Cer","#E9C46A"
"MEgreen","07_Ceramides","Cer","#E9C46A"
"MEpink","07_Ceramides","Cer","#E9C46A"
"MEtan","07_Ceramides","Cer","#E9C46A"
"MEviolet","07_Ceramides","Cer","#E9C46A"
"MEblack","08_Fatty-acyls","FA","#795548"
"MEdarkgreen","08_Fatty-acyls","FA","#795548"
"MEsteelblue","08_Fatty-acyls","FA","#795548"
"MEdarkmagenta","90_Other","Oth","#FFFFFF"
"MEdarkred","90_Other","Oth","#FFFFFF"
"MEgrey","Grey module","Grey module","#874788fb"
