"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)",0.010104,-0.074376,0.012677,0.004624,0.015404,-0.030841,-0.040549,0.08622
"13-HODE",-0.052034,0.13458,-0.11787,0.048784,-0.057394,0.091384,-0.022187,-0.074569
"16,16-dimethylprostaglandin A1",0.023523,-0.031209,0.0041043,0.063653,0.089405,0.026165,0.058595,-0.081944
"4-HDoHE",-0.082358,0.16098,-0.13828,0.044531,-0.030753,0.041238,-0.031945,-0.050394
"4-methyl-2-oxopentanoic acid",-0.02386,-0.00071263,-0.073861,-0.01115,0.056711,-0.021778,-0.10249,0.13225
"5-HETE",-0.10423,0.21394,-0.138,-0.031002,-0.0079015,0.094458,-0.024426,-0.088406
"8,15-DiHETE",-0.062612,0.13493,-0.093304,0.046689,-0.074097,0.080586,-0.040654,-0.067413
"acylcarnitine 08:0",0.055411,-0.13774,0.038895,0.092157,-0.036819,0.055093,-0.026741,-0.045797
"acylcarnitine 08:1",0.051727,-0.095621,0.032832,0.016864,-0.090796,0.038661,-0.073192,0.046263
"acylcarnitine 10:0",0.012831,-0.075554,-0.027543,0.057301,0.026646,0.0072547,-0.0071911,-0.051942
"acylcarnitine 10:1",0.037915,-0.14665,0.0028386,0.089864,0.0026187,0.031182,-0.00077108,-0.070746
"acylcarnitine 12:1",-0.0057805,-0.091286,0.063321,0.079821,0.0011931,-0.046308,0.034606,-0.17515
"acylcarnitine 14:1",-0.013073,-0.026316,-0.024955,0.072715,0.0041265,0.059933,0.003866,-0.04119
"acylcarnitine 16:0",0.019503,0.077785,0.026919,-0.015616,0.021439,0.02608,-0.081418,0.0004718
"acylcarnitine 18:0 Isomer A",0.010645,0.082531,0.052904,-0.022109,0.037372,0.013614,-0.039726,0.0014087
"acylcarnitine 18:1",-0.0030066,0.013962,0.062971,-0.025815,-0.0065049,0.01012,-0.043972,0.015008
"acylcarnitine 18:2 Isomer A",-0.050666,0.048981,0.034271,-0.015107,0.028649,-0.019746,-0.020819,0.078818
"acylcarnitine 20:1",-0.0085775,0.0080114,0.042403,0.0015511,-0.070617,0.0087249,-0.038239,0.014872
"C16 Lactosyl Ceramide (d18:1/16:0)",0.0092472,0.023351,0.035344,0.025446,-0.11407,0.054352,0.042344,-0.0075248
"CE 18:1",0.08562,-0.08926,0.0014103,-0.026522,-0.0021345,0.022891,0.0077918,0.043156
"CE 18:2",0.075572,-0.12143,0.058721,-0.061886,0.078761,-0.015874,0.0042785,0.037454
"CE_13-HODE",0.024554,-0.097296,-0.012282,-0.038493,0.0056578,-0.033211,-0.0080523,0.093396
"Cer 18:0;2O/24:0",0.00048184,0.074397,-0.028391,0.015716,-0.06259,0.0037279,0.036328,-0.054732
"Cer 18:0;2O/24:1",0.022508,-0.024598,0.019086,0.025739,-0.099579,0.051843,-0.047393,-0.0072079
"Cer 18:0;3O/16:0;(2OH)",-0.020375,-0.02048,-0.059568,0.11446,-0.058983,-0.011102,-0.038422,0.046235
"Cer 18:0;3O/24:0;(2OH)",-0.0034469,0.021607,-0.07694,0.071975,-0.086818,-0.056754,0.057632,-0.073399
"Cer 18:1;2O_26:0;(2OH)",0.11185,-0.04172,0.0014178,0.015335,-0.046378,0.077703,-0.054948,-0.025354
"Cer 18:1;2O/24:2",-0.031156,-0.0060991,0.030673,-0.02363,-0.093604,0.094483,-0.027439,-0.047702
"Cer 18:1;2O/26:0",-0.030062,0.039104,-0.019698,0.053784,-0.10012,0.023396,0.0010382,-0.039777
"Cer 18:2;2O/22:0",-0.03036,0.021149,0.0062505,-0.040201,-0.073558,0.10587,-0.052519,-0.059031
"Cer 18:2;2O/23:0",-0.019298,-0.0010739,0.010524,0.016214,-0.056576,0.087105,-0.082727,-0.080079
"Cer 18:2;2O/24:1",-0.012211,-0.027366,-0.024475,0.022211,-0.051383,0.046296,-0.033974,0.029971
"Cer 20:0;2O/24:0",0.010212,0.052149,-0.044577,0.082308,-0.074664,-0.030413,0.052294,-0.042592
"Cer 20:0;2O/25:0",-0.034999,0.029309,-0.090857,0.10239,-0.014913,-0.035033,0.025274,-0.053758
"Cer 20:0;2O/26:0",-0.026334,0.068424,-0.060919,0.074735,-0.045207,-0.034299,0.061781,-0.055094
