"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"104",-2.7987,-0.91657,1.5483,-1.4362,2.0033,-1.4037,-0.18078,-1.3725
"117",0.7062,0.65351,-0.69611,-2.959,0.80274,-3.0746,-0.3542,0.5306
"120",-1.5116,-1.5557,-1.8059,1.4984,0.89123,-2.1184,1.3831,-0.58489
"122",-0.4801,0.74843,-0.54753,0.31351,-1.5013,0.16356,-2.3074,-1.6057
"147",-1.9346,-1.0313,-4.7473,4.6272,1.9999,-4.8787,1.3812,0.4452
"151",-7.005,0.98727,-0.49541,1.4036,0.34361,4.8404,-1.1669,0.46927
"155",0.41859,-0.02491,-0.12419,-2.5906,-0.44758,-1.7796,-0.93502,1.1465
"162",-0.092892,0.58035,-0.52194,-3.9991,1.2512,0.48488,0.50723,-0.72309
"177",-1.9439,0.34173,0.36633,0.33731,-1.2465,-1.0974,0.25569,-0.95428
"190",-1.5852,-0.97453,1.1577,-2.2847,-0.95813,-0.38921,3.4026,-0.51926
"196",-1.1868,-0.10341,-1.2103,-0.72927,0.67873,1.6569,-0.90862,-0.24356
"197",-0.60269,-0.66319,-0.95518,-1.9627,-0.59022,1.7868,0.65523,1.0004
"218",-4.2161,0.78487,2.5805,-1.074,-1.3759,-1.3753,0.31419,0.32892
"233",-0.42723,-1.3909,-1.6445,-0.46887,0.83918,-0.20998,-0.26516,0.54207
"250",-1.4596,0.36323,-1.8784,-0.19722,-1.4301,3.6433,1.34,-1.725
"258",-2.9076,1.0599,-0.46927,-0.77003,-0.48256,0.51176,-0.34109,0.98741
"269",-1.3872,-2.0609,1.1426,0.80632,-0.42955,-1.3893,0.32461,-1.0074
"273",0.87025,-0.64707,0.035829,-1.5427,-0.91627,0.084745,-0.99935,-1.0135
"277",-5.0573,2.6127,-1.0028,0.61088,0.30671,1.3842,-1.8261,-0.14232
"283",1.6513,-1.321,-0.26384,0.12281,-1.244,-3.634,-1.0806,0.05075
"286",-0.35053,-2.1491,0.42589,-0.20209,-1.0813,-1.0202,-0.844,1.2798
"287",0.12883,-2.1806,-0.96365,0.056589,0.093835,1.106,-0.37662,0.063459
"295",-0.35353,-2.9632,0.39705,1.0453,-0.042103,-1.505,-0.53093,-0.18811
"297",-2.775,-1.5532,1.0497,-1.3945,2.5357,1.0557,-1.4144,0.77207
"304",-2.0968,-0.88897,0.50435,0.18092,-2.072,-0.1181,0.35883,1.5931
"311",1.8537,-0.3083,-3.3235,-2.2206,-0.91563,2.3597,1.3319,0.14922
"315",0.22085,-1.9794,0.17568,0.92704,-1.5398,-0.46046,-0.38133,-1.0834
"321",-1.0212,-1.7771,-0.21484,-1.8769,0.41773,-0.64731,1.2322,1.2936
"323",0.32474,-1.2284,-0.18438,-0.87576,-0.1042,1.6379,-1.7203,-1.6092
"326",-2.8252,0.25683,-1.0904,1.1185,-2.3185,1.3402,0.90724,0.31331
"330",1.9517,-1.6877,0.15763,-1.0395,-0.95014,-1.6282,-0.7926,0.2843
"336",-0.046093,-1.0364,-1.1096,-0.53396,0.30738,-0.64852,0.59094,-0.58984
"92",-1.377,1.1733,-2.2816,0.69529,0.22001,-1.4358,-1.721,0.061221
"114",0.89663,2.3485,-0.83497,0.43174,3.2244,-1.3293,1.0843,1.0171
"129",1.5226,5.6036,-0.76359,1.5341,-2.8336,-2.2467,1.6928,-0.69965
"138",2.6768,5.0901,-1.2165,-2.3775,0.79564,1.2446,-0.31115,1.1612
"139",0.12967,-0.42848,3.0151,1.7948,0.22842,1.6834,3.2214,-0.26326
"149",-0.38436,1.5425,3.5334,0.80065,0.099479,-0.58171,0.83353,2.0806
"179",4.0947,0.49418,2.8754,0.9328,-1.366,0.30357,-1.2874,0.49649
"185",0.23946,3.693,-1.7497,3.3667,1.1983,0.30414,-0.54804,-0.7809
"261",2.233,0.16472,2.7586,1.5557,1.2716,-0.69201,0.3155,-1.1186
"263",4.354,2.7755,2.3528,-2.7821,0.92796,-2.9385,-0.62967,-0.95825
"267",3.5686,-2.2672,1.1204,1.3728,2.6774,3.2007,-0.049137,-0.57948
"270",-0.79955,0.59339,4.2446,3.8442,-0.15308,-0.52515,-1.9912,0.62092
"292",9.951,-1.6946,-2.4719,2.2478,-1.6054,2.0818,-0.51122,1.4552
"300",-0.48415,0.33004,2.7391,1.2567,0.73591,2.9746,1.4206,0.95795
"332",5.4542,-0.22885,-0.83342,0.45597,1.0322,2.3948,-0.042099,0.30799
"340",3.8631,0.86345,1.2198,-0.020494,0.72127,0.88363,0.96324,-1.6465
