"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"TG 48:0",2.8791,2.2992,2.1554,2.0353,1.9746,1.9547,1.9313,1.9234
"TG 50:1",2.8375,2.2499,1.9932,1.8672,1.842,1.8243,1.8038,1.7963
"TG 50:0",2.7538,2.2898,2.0874,2.0097,1.9547,1.9294,1.9166,1.9079
"TG 52:1",2.6896,2.1411,1.8968,1.8497,1.8172,1.8014,1.8029,1.7967
"TG 48:1",2.6589,2.1127,1.9841,1.8548,1.7983,1.7794,1.7582,1.7528
"TG 50:2",2.5052,2.0399,1.8087,1.6904,1.6435,1.6222,1.6041,1.5988
"TG 48:2",2.4395,1.9426,1.7887,1.6811,1.6302,1.6308,1.6129,1.6063
"Phosphatidylethanolamine alkenyl 16:0-20:4",2.384,1.9474,1.7642,1.6248,1.58,1.5654,1.5499,1.5439
"PE 36:4",2.3794,1.9352,1.7733,1.6474,1.5981,1.5782,1.562,1.5555
"PE 38:4",2.3645,1.9592,1.7486,1.609,1.5598,1.5396,1.5318,1.5278
"PE P-36:4 or PE O-36:5",2.3343,1.9332,1.8215,1.6807,1.6292,1.6121,1.5943,1.5873
"PE P-38:5 or PE O-38:6",2.2489,1.7765,1.6182,1.4908,1.4545,1.4365,1.4204,1.4141
"TG 51:1 Isomer B",2.2163,1.7531,1.6515,1.5416,1.4953,1.4852,1.4706,1.4759
"TG 51:3",2.2002,1.7371,1.5433,1.4201,1.3788,1.3842,1.3921,1.3898
"PE 38:6",2.1633,1.7119,1.5221,1.4049,1.3638,1.3646,1.3498,1.3483
"TG 51:2 Isomer A",2.1495,1.7574,1.6084,1.4935,1.4483,1.4408,1.4396,1.4455
"TG 50:3 Isomer A",2.1358,1.7929,1.5907,1.5272,1.4857,1.4741,1.4621,1.456
"TG 46:0",2.1192,1.691,1.7646,1.6514,1.6019,1.5995,1.5805,1.5748
"PC 32:1",2.0874,1.6587,1.469,1.4507,1.409,1.3949,1.3796,1.3733
"TG 46:1",2.0707,1.6473,1.6875,1.6255,1.5761,1.5852,1.569,1.5617
"PC P-36:4 or PC O-36:5",2.0201,1.6121,1.4328,1.5172,1.5064,1.4878,1.4701,1.4633
