"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)",-0.081313,0.011952,0.017237,0.08551,0.02788,-0.037083,0.032289,0.010177
"13-HODE",0.11573,-0.11702,0.063079,0.021256,-0.074386,0.072855,-0.054774,0.089621
"16,16-dimethylprostaglandin A1",0.087547,0.072414,-0.023822,-0.0034728,-0.058689,-0.058612,0.044954,0.024675
"4-HDoHE",0.17146,-0.1368,0.078179,0.023039,-0.023514,0.03987,-0.046088,0.061465
"4-methyl-2-oxopentanoic acid",0.024685,-0.040262,0.0053046,0.023227,0.020149,-0.0091717,-0.0040506,0.0063666
"5-HETE",0.16167,-0.17134,0.088772,-0.046376,0.00085599,0.064216,-0.13148,0.097644
"8,15-DiHETE",0.13595,-0.1003,0.072167,-0.016085,-0.077118,0.058313,-0.055736,0.061923
"acylcarnitine 08:0",-0.08565,0.076802,0.0029305,0.083429,-0.11733,-0.014241,0.051606,-0.064256
"acylcarnitine 08:1",-0.091664,0.067703,0.036456,0.11189,-0.075914,-0.013656,-0.023782,0.013837
"acylcarnitine 10:0",-0.025617,0.0089198,0.0044214,0.079831,-0.042494,-0.046798,0.051291,0.019327
"acylcarnitine 10:1",-0.075515,0.050789,-0.0024325,0.090892,-0.10143,-0.057639,0.084991,-0.013568
"acylcarnitine 12:1",-0.0026171,0.066418,0.034417,0.03335,-0.010721,-0.074148,0.097478,-0.12221
"acylcarnitine 14:1",-0.012136,-0.023437,0.045422,0.057782,-0.062336,0.0040631,0.025117,0.011734
"acylcarnitine 16:0",0.021905,0.0061311,0.007465,0.014287,0.02892,0.046455,-0.092129,0.011447
"acylcarnitine 18:0 Isomer A",0.0046912,0.0025687,0.0068263,-0.010156,0.046605,0.01858,-0.097298,-0.0014623
"acylcarnitine 18:1",-0.040489,0.016128,0.03942,-0.0018187,0.029839,-0.00022478,-0.063682,-0.045212
"acylcarnitine 18:2 Isomer A",-0.02677,-0.054562,0.069874,0.017455,0.07811,-0.044684,-0.042182,-0.003181
"acylcarnitine 20:1",-0.037944,0.00069682,0.055892,0.024885,-0.0082199,-0.0056587,-0.047786,-0.039529
"C16 Lactosyl Ceramide (d18:1/16:0)",-0.035471,-0.011987,0.0019284,-0.031895,-0.049926,0.098528,-0.0039828,-0.060217
"CE 18:1",-0.078529,0.076221,-0.067472,0.058623,-0.034937,0.026967,-0.0087807,0.019451
"CE 18:2",-0.1331,0.090083,-0.070954,0.031569,0.030853,-0.046489,0.0135,0.054272
"CE_13-HODE",-0.093041,0.020544,-0.014366,0.069759,0.018326,-0.049201,0.028167,0.049586
"Cer 18:0;2O/24:0",0.079044,-0.019482,-0.014642,-0.023281,-0.033417,0.023321,-0.021139,0.013931
"Cer 18:0;2O/24:1",-0.066152,0.0062688,0.020678,0.030929,-0.065006,0.070215,-0.0094104,0.0015501
"Cer 18:0;3O/16:0;(2OH)",0.051824,-0.030829,0.01816,0.042452,-0.091737,-0.010543,0.083184,-0.021289
"Cer 18:0;3O/24:0;(2OH)",0.059413,-0.051639,-0.024797,0.058597,-0.036433,-0.020572,0.053058,-0.035288
"Cer 18:1;2O_26:0;(2OH)",-0.072133,0.057595,-0.093846,0.045989,-0.1073,0.075973,-0.048053,0.037323
"Cer 18:1;2O/24:2",-0.035029,-0.0035669,0.075534,-0.055264,-0.056491,0.073569,-0.0087038,0.045408
"Cer 18:1;2O/26:0",0.06166,-0.027023,0.051663,0.0037699,-0.047908,0.051764,0.027133,-0.0083789
"Cer 18:2;2O/22:0",0.0013943,-0.0052468,0.067852,-0.068162,-0.046647,0.11088,-0.046115,0.013579
"Cer 18:2;2O/23:0",-0.0032285,0.0014162,0.060317,-0.033222,-0.085198,0.041512,-0.031886,0.02872
"Cer 18:2;2O/24:1",-0.044004,-0.033511,0.027217,0.016792,-0.056836,0.023411,-0.00051263,-0.0096395
"Cer 20:0;2O/24:0",0.086883,-0.022139,-0.020787,0.045047,-0.044826,0.0022499,0.014767,-0.055789
"Cer 20:0;2O/25:0",0.082386,-0.072131,0.025371,0.087797,-0.028296,-0.044552,0.044851,-0.04323
"Cer 20:0;2O/26:0",0.10546,-0.052281,0.014433,0.038029,-0.031804,-0.046029,0.013725,0.0024837
"Cer 20:0;3O/24:0;(2OH)",0.030439,-0.059117,0.0073033,0.065229,-0.042419,-0.014437,0.042463,-0.064488
"Cer 22:0;2O/26:0",0.041967,-0.053433,0.0014849,0.059775,-0.035585,-0.027997,-0.0026122,-0.022502
"Cer 58:11;2O",-0.063457,0.062787,-0.11115,0.066216,-0.018181,0.046673,-0.028169,0.055674
"Cer d32:1",0.06868,-0.055259,0.058165,-0.0082043,-0.065259,0.12473,-0.048406,0.038599
"Cer d33:1",0.069004,-0.070592,0.057649,0.0093223,-0.045088,0.10938,-0.018247,0.044344
"Cer d34:0",-0.0026139,-0.0077118,0.016673,0.047476,-0.062998,0.040851,-0.021684,-0.020154
"Cer d34:1",0.01276,-0.034651,0.070373,-0.018099,-0.060226,0.13897,-0.076495,-0.0056322
"Cer d34:2",0.049159,-0.050247,0.066843,-0.026106,-0.065795,0.16086,-0.055112,0.048852
"Cer d34:2 Isomer A",0.074737,-0.054724,-0.0082721,0.06269,-0.079041,0.022816,0.020699,-0.041017
"Cer d34:2 Isomer B",0.096137,-0.052257,0.067487,-0.015196,-0.11329,0.15187,-0.040231,0.0026298
"Cer d36:1",-0.029208,-0.023416,0.04456,-0.023067,-0.024511,0.094714,-0.076723,0.019738
"Cer d36:2",-0.054459,0.05561,0.10085,-0.11859,-0.034536,0.16436,-0.19184,0.042976
"Cer d38:1",-0.035393,-0.012493,0.015361,-0.012906,-0.072244,0.080782,-0.050605,0.029764
"Cer d39:1",-0.031639,-0.004941,0.033893,0.017544,-0.03856,0.027831,-0.0066939,0.025152
"Cer d40:0",0.029604,-0.0065319,-0.058762,0.0012676,-0.038015,0.032253,-0.055561,0.0080561
"Cer d40:1",-0.034433,-0.0013508,0.031246,-0.03719,-0.052797,0.092532,-0.061917,0.028326
"Cer d40:2",-0.038576,0.026219,0.054316,-0.046761,-0.047776,0.11959,-0.087915,0.0016869
"Cer d41:1",-0.080067,0.034875,-0.023794,0.043808,-0.049894,0.057386,-0.070488,0.073263
"Cer d41:2",-0.034982,-0.025164,0.036814,0.0066614,-0.016552,0.080334,-0.072509,0.018153
"Cer d42:0",0.022802,0.00030157,-0.053056,0.017647,-0.040545,0.043489,-0.047255,0.0076786
"Cer d42:1",-0.045398,0.0031114,0.015214,-0.01839,-0.071087,0.098929,-0.038344,0.045262
"Cer d42:2 Isomer A",-0.041939,0.027677,0.040996,-0.042271,-0.069155,0.090701,-0.038976,0.010488
"Cer d42:3",-0.070092,-0.0022472,0.052767,-0.0051893,-0.039185,0.064469,-0.045658,0.017192
"Cer d43:1",-0.039343,-0.014807,-0.012113,0.052275,-0.064242,0.025384,-0.02155,0.039823
"Cer d43:2",0.048761,-0.034495,-0.011301,0.049061,-0.03963,-0.020512,0.036573,0.0074689
"Cer d44:1",-0.032973,0.0059085,0.013455,0.035433,-0.061637,0.050243,-0.025115,0.028727
"Cer d44:2",0.045486,-0.050661,0.047432,0.04403,-0.039619,-0.015197,0.088986,0.018246
"Cer d46:1",0.10042,-0.038763,-0.0048373,0.0461,-0.080587,-0.0021172,0.026734,-0.039606
"Cer d46:2",0.071876,-0.028666,-0.033888,0.009103,-0.087946,0.00305,0.031209,-0.087348
"Cer-NDS d39:0",0.055763,-0.024379,0.015998,0.0754,-0.070998,-0.037393,-0.002419,-0.0024145
"Cer-NDS d40:0",0.063446,-0.039384,-0.036882,-0.00097226,-0.026469,0.036822,-0.046683,0.020473
"Cer-NDS d41:0",0.052677,-0.010761,-0.02862,0.055154,-0.043941,-0.0059887,-0.031165,0.033314
"Cer-NDS d43:0",0.096519,-0.042848,0.012075,0.058037,-0.040038,-0.0011404,0.024823,-0.026275
"Cer-NP t42:0",-0.07237,0.0056677,-0.024666,0.08098,-0.066114,-0.0074805,-0.034655,0.017501
"Cholesterol",-0.017495,-0.02232,-0.016956,0.082073,-0.10246,0.0055892,0.044271,-0.0016926
"cholesterol 3-sulfate",0.018479,-0.039902,0.0054645,0.029471,-0.044384,-0.010232,0.022896,-0.047961
"cis-13-docosenoic acid",0.021319,-0.022661,0.035677,0.025657,-0.037389,-0.025295,0.015882,0.061906
"DG 18:1_18:2",-0.1002,0.060352,-0.003655,0.042352,0.013455,-0.045438,-0.00070078,0.05012
"DG 34:1",-0.044394,0.068591,-0.042468,0.011415,-0.075754,0.0082128,-0.040543,0.046714
"docosanamide",-0.0165,0.00054984,0.034857,0.05825,-0.058687,-0.052862,0.012821,0.025443
"FA 14:0 (myristic acid)",0.12752,-0.059175,-0.060315,0.01506,-0.011733,-0.0049618,-0.0053775,-0.012396
"FA 14:1 (physeteric acid)",0.10471,-0.061542,-0.029675,-0.0049453,-0.0034019,0.024227,-0.010061,0.042158
"FA 15:0 (pentadecylic acid)",0.047844,-0.065283,-0.041552,0.033239,-0.034858,-0.026641,0.033532,-0.028771
"FA 15:1",0.063106,-0.065167,-0.02405,0.0043589,-0.068659,-0.0080968,0.038113,0.035347
"FA 16:1 (palmitoleic acid)",0.076863,-0.077538,-0.059961,0.021931,-0.029604,-0.010032,0.00039867,0.044608
"FA 17:0 (margaric acid)",0.018107,-0.017492,-0.00208,0.046824,-0.084324,0.0011857,0.026058,0.0086369
