"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"104",-0.9885,0.27244,1.1351,-0.69673,2.7299,-2.2692,-0.57688,-1.2393
"114",1.9283,-1.6624,-3.5089,-0.99372,2.0513,-1.3804,-1.3161,-1.4518
"117",-0.484,-1.299,-2.9,-1.3344,3.1961,0.24929,0.63176,1.5502
"138",2.391,-1.1615,-2.6093,-2.0565,-0.34394,-0.5084,-5.1405,0.3371
"139",-1.4791,0.93537,0.29438,-0.87696,-0.32824,-0.051808,0.67788,-1.5451
"147",1.7345,-6.085,-2.8919,3.6351,0.40931,-3.21,4.0668,-0.85362
"149",-2.6865,-1.2447,2.6532,2.8547,2.5333,-0.99713,-1.9576,-0.52253
"155",-2.7679,-2.1067,0.25072,2.0729,3.1186,1.0039,0.17603,1.9679
"162",-0.93735,-0.79478,-0.99142,-1.3993,2.5408,0.4376,-1.2523,1.0411
"177",-0.050434,-1.2082,0.94425,-0.43535,-0.50074,-1.2726,-0.69042,-1.2688
"185",2.5099,-4.377,-2.7076,-0.87262,-1.5792,-0.0052754,-0.33322,0.13808
"190",-0.69883,1.1413,0.10051,-2.5177,0.81152,-0.56106,0.60024,-1.3929
"197",-1.2238,-1.0328,0.15078,-0.83818,-0.11284,1.5231,-0.027864,1.1138
"218",-1.7498,-1.8662,2.8031,-0.96019,2.8372,0.8598,-0.23295,-1.7902
"250",0.084818,-2.7142,-0.40723,-2.345,-1.6515,4.1194,1.3777,-0.12944
"258",-0.4105,-2.8859,1.5637,-0.39645,0.374,0.30042,-0.70462,0.47873
"267",-2.3821,2.0109,-1.0546,1.1842,-1.5971,-1.013,0.22509,2.2421
"269",-0.93193,0.32523,-1.0639,-2.5047,0.10438,0.77318,2.9971,-1.5025
"270",-0.69554,0.99345,1.4765,-1.2056,-2.53,-2.8587,-0.40845,0.61413
"273",-1.0456,0.76852,-0.0012882,-0.6004,-1.5631,-1.3673,-1.0259,1.6465
"277",0.13368,-6.0038,2.0632,-0.54509,1.2977,2.5026,-0.14567,0.15287
"286",-0.88201,1.4777,0.39559,-0.61667,-1.2995,-1.2409,-0.42135,-1.8654
"287",-0.26121,1.1782,0.074775,-0.18768,-2.3866,-1.5465,-0.83681,-1.0253
"292",-2.1721,1.0009,-3.903,5.1938,-2.9344,3.7015,-1.6461,-2.717
"295",-1.5302,0.75793,0.20552,0.82572,-0.60129,-1.5191,1.5981,-0.78254
"297",-1.1527,0.50571,1.0728,-1.9861,1.0298,-1.1191,0.070111,0.78686
"300",-1.2109,0.4629,0.84209,-1.7444,-1.2804,-0.33978,-0.19097,1.0409
"304",-0.53218,-0.20129,1.3614,-1.3286,-1.8756,-0.72666,-0.10554,-0.79035
"311",0.68075,-0.43237,-2.4396,-1.7857,-2.6174,1.1037,0.18514,2.3428
"315",-1.6877,-0.11301,0.23469,0.57669,-1.4989,0.10837,1.797,0.53892
"326",0.19894,-2.7413,1.4724,-0.73012,-2.4502,0.66807,0.16025,-1.1103
"330",-0.8602,1.895,-1.7329,-1.2152,-1.2614,-1.169,0.17764,0.52237
"332",-1.811,0.26987,-1.3441,3.6451,-1.3596,-0.25289,-1.4362,1.8304
"336",-0.59836,-0.75781,-0.5045,0.75674,0.11194,-1.2181,-0.1645,-0.27793
"340",-0.73943,0.96557,-2.9233,-0.99322,0.52149,1.634,0.12607,-0.26256
"120",2.3057,0.72413,-0.10796,1.3856,0.85845,-0.35975,4.7565,1.7064
"122",1.8654,1.5249,2.4301,1.2994,-1.0579,1.0617,0.10493,1.0257
"129",4.4743,-0.91297,-0.4382,1.2995,-0.044891,0.8697,-1.2558,-0.62413
"151",2.9209,-0.43757,6.2202,-0.78953,-2.0896,0.93527,-0.044721,0.51107
"179",0.20207,5.0235,0.80405,1.4006,0.22419,2.9817,0.43568,-0.45806
"196",1.1975,1.0126,2.7192,2.2281,0.90128,1.069,-0.71879,0.64746
"261",2.1005,5.4959,-0.68325,-0.95456,0.2667,-0.62081,0.51587,-0.52275
"263",1.7073,4.7449,-1.8506,-0.1974,4.1642,0.53131,-1.6364,0.5957
"283",1.8409,3.9411,-0.41068,1.0264,-0.051675,-0.79818,1.2907,-0.15299
"321",1.1393,3.2988,0.84393,-0.099052,2.5355,1.6013,1.8681,-0.74564
"92",2.5541,-0.68842,2.362,3.8222,0.3985,-1.6292,-1.5691,0.20001
