"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"PEtOH 36:1",3.9039,3.1419,2.9758,2.831,2.794,2.7527,2.732,2.732
"PEtOH 16:1_18:1",3.8082,3.0899,2.9186,2.8154,2.8076,2.7566,2.7482,2.7401
"PC 28:0",3.1304,2.5524,2.5109,2.3918,2.3633,2.3255,2.3078,2.2982
"PEtOH 16:0_18:1",3.1043,2.5087,2.3733,2.3273,2.3579,2.3152,2.3176,2.3188
"PFAP-FT_diPAP",3.0286,2.471,2.5448,2.4256,2.3932,2.5825,2.5702,2.5809
"16,16-dimethylprostaglandin A1",2.8545,2.359,2.2546,2.156,2.1319,2.0931,2.0903,2.0867
"PC 21:4",2.8541,2.7465,2.7041,2.5751,2.5636,2.5792,2.5598,2.5639
"PEtOH 18:1_20:4",2.8511,2.5436,2.4168,2.3776,2.3445,2.3128,2.3272,2.3267
"TG 46:1",2.782,2.2494,2.2754,2.2044,2.1933,2.1534,2.1376,2.1283
"PEtOH 18:1_18:1",2.6757,2.1771,2.0581,1.9625,1.9864,1.9549,1.9404,1.9444
"PC 19:2",2.5847,2.9515,2.809,2.6691,2.6888,2.6714,2.6532,2.6461
"PEtOH 16:0_20:4",2.5847,2.0842,2.0273,1.9259,1.9111,1.8814,1.8698,1.8629
"TG 42:1",2.4967,2.051,1.9749,1.9392,1.9201,1.8883,1.8739,1.8658
"TG 46:2",2.4217,1.9588,1.8408,1.845,1.8262,1.793,1.7814,1.7747
"PC 19:1",2.2375,2.6638,2.5059,2.3845,2.3896,2.3518,2.3454,2.3354
"TG 40:0",2.2202,1.9473,1.9161,1.8524,1.823,1.8011,1.7874,1.7799
"SPB 25:0;2O",2.2051,2.5888,2.5665,2.5045,2.4984,2.4751,2.4693,2.4628
"TG 56:3",2.1614,1.7897,1.7436,1.6715,1.6473,1.6179,1.6109,1.6106
"TG 46:0",2.1278,1.742,1.8743,1.7959,1.7746,1.7423,1.7332,1.726
"TG 48:3",2.1102,1.76,1.7628,1.7128,1.6928,1.6622,1.6523,1.6488
"TG 54:4",2.0779,1.8468,1.739,1.6768,1.6514,1.6296,1.6185,1.6121
"TG 54:5 Isomer A",2.0237,1.7599,1.6538,1.6039,1.5808,1.5615,1.553,1.5481
"PE O-40:6 Isomer B",1.9889,1.7733,1.6818,1.7145,1.6942,1.669,1.6592,1.654
"TG 44:0",1.9614,1.5768,1.7607,1.6818,1.6603,1.6301,1.6181,1.6157
"acylcarnitine 12:1",1.9508,1.9281,1.8408,1.7504,1.7272,1.6996,1.6963,1.6916
"PC 35:2",1.9438,1.7046,1.6735,1.6471,1.6695,1.671,1.6622,1.6551
"TG 58:2",1.9274,1.6705,1.5963,1.5726,1.5467,1.5235,1.5119,1.5184
"TG 48:2",1.863,1.5775,1.6572,1.646,1.6331,1.6037,1.5918,1.5863
"SM d36:0 Isomer B",1.851,1.5269,1.4518,1.3898,1.369,1.3542,1.3457,1.3593
"TG 64:2",1.82,1.7226,1.6588,1.6016,1.5753,1.5578,1.5481,1.5512
"SM d36:1",1.7674,1.4231,1.3723,1.3045,1.2845,1.2618,1.2558,1.2527
"SM d36:0 Isomer A",1.7308,1.3903,1.3405,1.2735,1.2532,1.2317,1.2245,1.2229
"TG 54:2",1.706,1.5412,1.535,1.4738,1.4516,1.4252,1.4287,1.4248
"TG 54:3",1.6982,1.6445,1.5868,1.5239,1.5,1.4772,1.4681,1.4642
"SM d38:0 Isomer B",1.6861,1.4012,1.3664,1.319,1.3118,1.2897,1.2799,1.2858
"TG 48:1",1.6749,1.3678,1.6052,1.5649,1.5514,1.5336,1.5235,1.5184
"4-HDoHE",1.6707,1.7376,1.7838,1.7017,1.6736,1.6465,1.6348,1.6301
"PS 36:1",1.6355,1.4639,1.38,1.4207,1.3972,1.3726,1.3623,1.3569
"TG 56:4",1.6255,1.3932,1.3437,1.2932,1.2754,1.2592,1.2498,1.2449
"TG 52:3",1.5853,1.5634,1.4691,1.4957,1.4712,1.4447,1.4369,1.4429
"Cer-NDS d43:0",1.5438,1.2717,1.2312,1.1896,1.1816,1.1602,1.1514,1.1503
"TG 52:4",1.5414,1.4717,1.3831,1.3954,1.3742,1.3562,1.3525,1.3632
"PC 38:4 Isomer B",1.54,1.291,1.312,1.2583,1.269,1.2504,1.2525,1.2487
"TG 28:0",1.5383,1.2353,1.2704,1.3231,1.3254,1.3057,1.297,1.2913
"SM 34:2;3O",1.5357,1.3011,1.2229,1.1628,1.1545,1.1799,1.1718,1.1736
"PC 16:0/9:0 CHO",1.4981,1.4244,1.343,1.3727,1.3683,1.362,1.3528,1.3559
"Cer d34:2 Isomer B",1.4975,1.2406,1.2352,1.1764,1.157,1.2461,1.2406,1.2351
"PC 14:0_16:1",1.4791,1.237,1.3903,1.3219,1.3034,1.2862,1.2773,1.2719
"TG 54:6 Isomer A",1.4779,1.2379,1.1695,1.1588,1.1589,1.1455,1.1518,1.1528
"PC P-42:5 or PC O-42:6 Isomer A",1.4713,1.2039,1.1509,1.1307,1.1264,1.1081,1.1036,1.1021
"MG 20:4",1.459,1.1745,1.1055,1.2612,1.2409,1.2318,1.223,1.2178
"Cer-NP t42:0",1.4589,1.1723,1.1021,1.0581,1.1079,1.0971,1.0943,1.0897
"TG 42:2",1.4583,1.1752,1.1206,1.1509,1.141,1.1204,1.1128,1.1118
"LNAPE 18:2/N-20:0",1.456,1.1862,1.1201,1.0649,1.093,1.0816,1.0734,1.0704
"TG 60:2",1.4479,1.4666,1.3901,1.3541,1.3324,1.3112,1.3013,1.312
"PC 16:0_5-oxovaleryl",1.4462,1.1917,1.2004,1.1755,1.1657,1.1799,1.1709,1.1662
"Cer 18:1;2O/26:0",1.4387,1.1576,1.1868,1.1321,1.1161,1.1354,1.1301,1.1253
"TG 44:2",1.4337,1.242,1.2328,1.2018,1.1849,1.1654,1.1578,1.1547
"PC O-18:0_16:0",1.4321,1.2274,1.1563,1.1033,1.096,1.0945,1.0878,1.0833
"TG 52:5",1.4287,1.2574,1.1818,1.1943,1.1762,1.157,1.1696,1.1826
"Cer 18:2;2O/24:1",1.4234,1.1753,1.1178,1.0622,1.0535,1.0385,1.0306,1.026
"PC 36:0",1.4203,1.1772,1.1698,1.2318,1.2136,1.1916,1.1845,1.1816
"TG 42:0",1.4143,1.1423,1.4065,1.3376,1.3157,1.2939,1.2879,1.2862
"FA 22:1 (erucic acid)",1.4117,1.2461,1.1723,1.1535,1.1644,1.1454,1.1372,1.1326
"PC 16:0_glutaric acid",1.3936,1.1191,1.108,1.0993,1.0897,1.0764,1.0688,1.0741
"PC 38:3",1.3885,1.148,1.0795,1.027,1.0205,1.0125,1.007,1.009
"TG 52:4;O2|TG 16:0_18:1_18:3;O2",1.3806,1.2611,1.1857,1.2202,1.2185,1.2684,1.2593,1.2607
"LPE 18:2",1.3483,1.5661,1.5222,1.4484,1.4385,1.4167,1.4063,1.4002
"TG 16:0_18:1_20:0",1.3474,1.2593,1.2829,1.2372,1.2193,1.1972,1.201,1.1966
"SM d40:1 Isomer B",1.3255,1.0714,1.007,0.97941,0.98719,0.97046,0.96662,0.96299
"PI 16:0_16:0",1.3225,1.2602,1.2027,1.1905,1.1708,1.1568,1.149,1.1472
"Cer 20:0;2O/24:0",1.3212,1.1008,1.0346,0.99291,0.98883,0.97098,0.96363,0.96014
"SM d36:2",1.3192,1.1114,1.0733,1.0318,1.0156,0.99724,1.0008,0.99677
"SM d39:2 Isomer B",1.3146,1.0731,1.0109,0.97704,0.97245,0.99143,0.99412,0.99035
"Cer 20:0;2O/26:0",1.3019,1.17,1.1105,1.0563,1.0573,1.0415,1.0382,1.0369
"LPC 18:0",1.3005,1.1532,1.1096,1.0981,1.0888,1.0691,1.0709,1.076
"Cer d46:1",1.2985,1.1426,1.0741,1.0223,1.0335,1.0178,1.0138,1.0096
"PC 16:0_azealic acid (PCPAz-PC)",1.2961,1.0515,1.0207,1.0304,1.095,1.0799,1.0744,1.0888
"PC 16:0_14:0",1.2954,1.0812,1.2106,1.1612,1.143,1.1234,1.1266,1.1229
"FA 22:6 (docosahexaenoic acid)",1.2943,1.9746,1.8628,1.8433,1.8137,1.7891,1.7797,1.7888
"PE O-18:1_16:0",1.2941,1.3758,1.3523,1.2906,1.2713,1.2825,1.2905,1.3084
"SM 16:1;2O/16:0",1.2906,1.1522,1.1901,1.1356,1.1186,1.1122,1.1073,1.1025
"SM d37:1 Isomer B",1.2894,1.0783,1.0138,1.0187,1.0221,1.0327,1.0339,1.0315
"PE O-40:4",1.284,1.0312,1.027,0.98448,0.96979,0.96904,0.96926,0.96757
"TG 52:2",1.2811,1.4421,1.3795,1.3765,1.3557,1.3464,1.3373,1.3349
"TG 55:4",1.2639,1.0609,1.044,1.0127,0.99854,0.9804,0.98168,0.98086
"TG 48:0",1.2571,1.0094,1.2811,1.2755,1.2801,1.258,1.2611,1.2579
"SM 12:1;2O/32:8",1.2522,1.1901,1.1434,1.0935,1.0862,1.0773,1.073,1.0688
"TG 56:2 Isomer B",1.2072,0.96941,0.91689,1.0268,1.0108,0.99587,0.99622,1.0094
"TG 43:0",1.1998,1.1236,1.097,1.0606,1.0468,1.0392,1.0313,1.0268
"PC 31:1",1.1942,1.0572,1.0824,1.0308,1.0163,1.0083,1.0255,1.021
"CE 18:2",1.1915,1.3247,1.271,1.2372,1.2181,1.1978,1.1945,1.1941
"PI 34:2 Isomer B",1.1907,0.96441,0.93399,0.9058,0.9182,0.90632,0.89992,0.89616
"PC 34:0",1.1839,0.98592,0.92963,0.94757,0.93491,0.91829,0.92762,0.92611
"TG 47:3 Isomer B",1.1817,1.3271,1.2473,1.2255,1.2116,1.1897,1.1862,1.1812
"LNAPE 18:2_N-19:0",1.1802,0.94768,0.91605,0.87103,0.85702,0.84828,0.84206,0.84202
"TG 58:3",1.18,1.0532,1.0006,1.0183,1.0029,0.98964,0.98222,0.98124
"SM 42:5;3O",1.17,0.94101,0.88804,0.85039,0.87047,0.86447,0.85808,0.85466
"PGE2",1.1537,1.0159,0.96475,0.91738,0.93277,0.94698,0.93977,0.93688
"LPC 32:0",1.1487,0.94843,0.89641,0.86243,0.85189,0.84279,0.84321,0.84101
"C16 Lactosyl Ceramide (d18:1/16:0)",1.1422,0.94273,0.88914,0.8498,0.84385,0.89965,0.89397,0.89125
"Cer 18:1;2O_26:0;(2OH)",1.1366,0.93915,1.0566,1.0092,1.0121,1.0231,1.0171,1.0161
"PE P-40:4 or PE O-40:5 Isomer A",1.1231,0.9019,0.85223,1.0818,1.0772,1.0751,1.0815,1.0779
"PC O-37:0",1.1199,0.94539,0.88934,0.89968,0.88483,0.87671,0.88216,0.8826
"lactosylceramide d18:1/24:1 15Z",1.1162,0.95742,0.98542,0.99966,0.98826,1.0316,1.0243,1.0198
