"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)",0.015868,-0.049411,0.064075,-0.01981,-0.0000024269,-0.0078322,0.024576,-0.05075
"13-HODE",-0.061947,0.15469,-0.12775,0.1087,0.035888,-0.091203,0.057293,0.036633
"16,16-dimethylprostaglandin A1",0.035754,-0.022443,-0.03428,0.014085,-0.057048,-0.0048085,0.042922,0.10743
"4-HDoHE",-0.089251,0.1244,-0.11906,0.12544,0.027999,-0.0011397,-0.016837,-0.046646
"4-methyl-2-oxopentanoic acid",0.014613,-0.00088841,0.040214,0.10506,-0.043081,-0.041638,0.12646,0.019661
"5-HETE",-0.12616,0.14059,-0.12986,0.076913,0.0091313,-0.038018,0.021601,-0.013127
"8,15-DiHETE",-0.097156,0.13235,-0.10661,0.031987,0.018699,-0.0077467,-0.0064943,0.024573
"acylcarnitine 08:0",0.02418,-0.0080278,0.019506,-0.10551,0.057087,-0.056311,0.062149,-0.015983
"acylcarnitine 08:1",0.0035827,-0.021616,-0.00067582,-0.027859,0.081158,-0.059602,0.12216,0.049145
"acylcarnitine 10:0",-0.023295,-0.076789,0.052766,-0.080318,0.003359,-0.12029,0.11262,-0.067713
"acylcarnitine 10:1",-0.023388,-0.072022,0.024175,-0.031567,0.033968,-0.061118,0.1053,-0.0028953
"acylcarnitine 12:1",-0.012535,0.04188,0.016729,-0.072412,-0.02465,0.099425,-0.066764,0.028905
"acylcarnitine 14:1",-0.026475,-0.027427,0.005872,-0.014348,0.014974,-0.088888,0.14876,-0.031069
"acylcarnitine 16:0",0.015348,0.046256,-0.035062,-0.053491,0.021438,-0.050056,0.061177,0.027749
"acylcarnitine 18:0 Isomer A",0.0096892,0.04487,-0.030227,-0.062873,-0.0041953,-0.046408,0.04692,0.05247
"acylcarnitine 18:1",0.0092976,0.021784,-0.0065548,-0.039023,0.034919,-0.14262,0.067673,0.026479
"acylcarnitine 18:2 Isomer A",-0.0019739,-0.011326,-0.0025955,0.039826,0.012505,-0.15714,0.15481,0.034258
"acylcarnitine 20:1",0.0086849,0.027651,-0.024353,-0.049419,0.045381,-0.10351,0.058914,0.072356
"C16 Lactosyl Ceramide (d18:1/16:0)",-0.013075,0.025323,0.0017145,-0.072863,0.071127,-0.077434,0.015133,0.0040405
"CE 18:1",0.047145,-0.076921,0.055677,-0.075701,0.056891,-0.012224,0.014977,-0.026001
"CE 18:2",0.044366,-0.1331,0.090414,-0.030406,0.046622,-0.020506,0.0078224,-0.024061
"CE_13-HODE",0.042803,-0.069423,0.058866,-0.011173,0.037295,-0.039252,0.066635,-0.060914
"Cer 18:0;2O/24:0",0.0080595,0.1005,-0.037863,-0.00018723,0.00099501,0.0010605,-0.030925,0.040998
"Cer 18:0;2O/24:1",0.00061559,0.030603,-0.0062501,-0.041462,0.089621,-0.080858,-0.0028684,0.057132
"Cer 18:0;3O/16:0;(2OH)",-0.032711,0.087908,-0.039066,-0.03335,-0.0094352,-0.030758,0.092705,-0.031766
"Cer 18:0;3O/24:0;(2OH)",-0.028957,0.017506,-0.018847,-0.011645,-0.058468,0.040716,0.084028,-0.0077661
"Cer 18:1;2O_26:0;(2OH)",0.046158,-0.0055292,0.033686,0.0035296,0.055155,-0.040482,-0.06928,0.037425
"Cer 18:1;2O/24:2",-0.055932,0.053779,-0.023276,-0.047616,0.06899,-0.047796,-0.0053488,0.1122
"Cer 18:1;2O/26:0",-0.03437,0.059988,-0.036365,-0.01302,0.013183,-0.023935,0.015864,0.013221
"Cer 18:2;2O/22:0",-0.050535,0.060355,-0.056179,-0.050987,0.062149,0.036092,-0.048167,0.10264
"Cer 18:2;2O/23:0",-0.037774,0.033198,-0.039325,-0.06466,0.064193,0.019574,-0.013872,0.038623
"Cer 18:2;2O/24:1",-0.022133,0.024069,-0.026262,-0.062219,0.034837,-0.065044,0.025659,0.085655
"Cer 20:0;2O/24:0",-0.004179,0.046508,-0.042438,0.051115,-0.033245,0.031042,0.035726,-0.024991
"Cer 20:0;2O/25:0",-0.042894,0.029769,-0.021458,0.0043937,-0.068732,0.018451,0.068078,-0.0060588
"Cer 20:0;2O/26:0",-0.03436,0.041984,-0.00024097,0.016107,-0.058051,0.0081662,0.031445,-0.02233
"Cer 20:0;3O/24:0;(2OH)",-0.027015,0.00045536,-0.025175,-0.0031899,-0.029847,0.045825,0.053615,-0.055997
"Cer 22:0;2O/26:0",-0.021498,0.018728,-0.0039873,0.043613,-0.078029,-0.00023185,0.064226,-0.029152
"Cer 58:11;2O",0.10841,-0.039255,-0.0094773,-0.020377,-0.029366,0.082777,-0.070348,0.039427
"Cer d32:1",-0.065907,0.092299,-0.11622,0.019726,0.01803,0.050296,-0.041595,-0.016059
"Cer d33:1",-0.051702,0.07313,-0.078686,0.018177,-0.0087314,0.043051,-0.024577,0.0069909
"Cer d34:0",-0.046835,0.05249,-0.023696,-0.0017231,-0.0096549,0.0016483,0.0028696,0.010131
"Cer d34:1",-0.06353,0.11085,-0.073493,-0.018763,0.045747,-0.01281,-0.015779,0.029066
"Cer d34:2",-0.089064,0.10407,-0.10274,0.013523,0.060493,0.016927,-0.036806,0.063766
"Cer d34:2 Isomer A",-0.050608,0.053582,-0.027249,-0.0013101,0.035022,-0.0061034,0.076483,-0.039374
"Cer d34:2 Isomer B",-0.090688,0.10713,-0.12991,0.041191,0.037365,0.023232,-0.023043,0.050359
"Cer d36:1",-0.027639,0.063129,-0.022425,-0.069348,0.050659,-0.017505,0.0088155,0.046282
"Cer d36:2",-0.07583,0.037447,-0.059283,-0.046553,0.030908,-0.013554,-0.0029731,0.092542
"Cer d38:1",-0.014031,0.060638,-0.030497,-0.053319,0.047672,-0.027057,-0.024847,0.051807
"Cer d39:1",-0.021837,0.055616,-0.071549,-0.042001,0.024433,0.034384,0.022478,0.037628
"Cer d40:0",0.033372,0.077921,-0.029239,-0.029781,0.028269,-0.031658,-0.054942,0.052557
"Cer d40:1",-0.011351,0.077375,-0.041398,-0.061215,0.060765,-0.022176,-0.017988,0.040647
"Cer d40:2",-0.026853,0.051253,-0.052502,-0.05105,0.059868,-0.032503,0.0032514,0.087414
"Cer d41:1",0.032751,0.0088942,-0.028577,-0.047592,0.073772,-0.021363,-0.016268,0.020697
"Cer d41:2",-0.017569,0.050967,-0.035674,0.0034011,0.05021,-0.033158,0.02895,0.036635
"Cer d42:0",0.042305,0.070825,-0.033186,0.00062076,0.034333,-0.050464,-0.047751,0.071924
"Cer d42:1",0.0056633,0.08119,-0.033567,-0.0421,0.066892,-0.059894,-0.029505,0.054595
"Cer d42:2 Isomer A",-0.024958,0.066206,-0.018208,-0.064825,0.086572,-0.10716,-0.025308,0.075006
"Cer d42:3",-0.02606,0.053466,-0.012258,-0.044257,0.066221,-0.13455,0.013492,0.11816
"Cer d43:1",0.0085252,0.029283,-0.035779,-0.014779,0.035389,-0.03511,0.026503,0.027995
"Cer d43:2",-0.025747,0.057774,-0.013989,-0.0091339,-0.040398,0.023897,0.039001,-0.021264
"Cer d44:1",-0.00077994,0.032804,-0.0062151,-0.0077641,0.044192,-0.080006,0.027235,0.010843
"Cer d44:2",-0.034058,0.042688,0.0067586,-0.018067,-0.045122,0.02696,0.031214,-0.025687
"Cer d46:1",-0.046849,0.015692,-0.02031,0.0052099,-0.015332,-0.023833,0.074153,-0.022116
"Cer d46:2",-0.046712,0.060191,-0.0039562,0.031483,-0.003742,0.019111,-0.043907,-0.0423
"Cer-NDS d39:0",-0.00184,0.046121,-0.017426,-0.035734,-0.049247,0.06664,0.11087,0.02367
"Cer-NDS d40:0",0.018441,0.094361,-0.032393,-0.0090972,-0.012571,0.016914,-0.0597,0.052927
"Cer-NDS d41:0",-0.021682,0.076395,-0.060552,-0.012638,-0.0029664,0.0014768,0.015047,-0.0047286
"Cer-NDS d43:0",-0.037274,0.070379,-0.017094,0.017731,-0.043158,-0.0036896,0.03518,0.0061643
"Cer-NP t42:0",0.049881,-0.021235,-0.0050034,-0.041015,0.018741,-0.050952,0.017513,-0.0010508
"Cholesterol",-0.01259,0.0019154,-0.030921,-0.025858,0.032745,0.050173,0.041087,-0.072334
"cholesterol 3-sulfate",-0.0097957,0.014596,0.021769,-0.00019589,-0.013949,0.0017247,0.048516,-0.012569
"cis-13-docosenoic acid",-0.015304,-0.027219,0.013917,0.032871,-0.033857,-0.014577,0.11061,-0.0065906
"DG 18:1_18:2",0.090016,-0.063331,-0.023373,0.068855,-0.0271,-0.021064,-0.013345,0.081301
"DG 34:1",0.054109,0.013773,-0.026071,0.017988,-0.028903,0.05744,-0.077139,0.048673
"docosanamide",0.017242,0.033045,0.015059,-0.004151,0.023368,-0.035677,0.010141,-0.052951
"FA 14:0 (myristic acid)",0.016068,0.073263,-0.035347,0.040809,-0.051054,0.00044314,0.048716,-0.048929
"FA 14:1 (physeteric acid)",0.028352,0.0099726,0.065131,0.082466,-0.065208,-0.058506,0.076201,0.011884
"FA 15:0 (pentadecylic acid)",-0.0126,0.073109,-0.0047087,0.045909,-0.040357,-0.055909,0.072851,-0.051772
"FA 15:1",0.009476,0.022488,0.05228,0.10139,-0.066586,-0.074186,0.078442,-0.039795
"FA 16:1 (palmitoleic acid)",0.021221,0.046029,0.033857,0.099015,-0.018613,-0.097612,0.062434,0.00016658
"FA 17:0 (margaric acid)",-0.029378,0.080401,-0.014419,-0.019273,-0.014036,0.0032146,0.040522,-0.012735
"FA 18:1 (oleic acid)",0.011857,0.10388,-0.039326,0.040767,0.018941,-0.12388,0.013314,0.030611
"FA 18:2 (linoleic acid)",-0.061847,0.053876,-0.070281,0.11236,0.013206,-0.13262,0.078275,0.04114
"FA 18:3 (linolenic acid)",-0.020835,-0.034607,-0.074267,0.11755,0.013876,-0.1194,0.091522,0.065204
"FA 19:1",-0.0059139,0.059531,-0.018533,0.064322,-0.0035643,-0.049824,0.061346,-0.016705
"FA 20:2 (eicosadienoic acid)",-0.044295,0.056771,0.0018438,0.064612,-0.015125,-0.04571,0.057409,0.036033
"FA 20:3 (homo-gamma-linolenic acid)",-0.11033,0.11057,-0.092977,0.065572,-0.003549,-0.012666,-0.0076561,0.029944
"FA 20:4 (arachidonic acid)",-0.13171,0.11021,-0.10615,0.088968,0.0014519,-0.02291,0.0071242,-0.029177
"FA 20:5 (eicosapentaenoic acid)",-0.065649,0.02283,-0.1072,0.11592,0.023633,-0.021941,-0.039274,-0.097383
"FA 22:0 (behenic acid)",-0.021222,0.034591,-0.019895,0.037326,-0.044888,-0.025059,0.081817,-0.036602
"FA 22:1 (erucic acid)",0.019541,0.062298,-0.0093043,0.055351,0.04465,-0.027174,-0.032769,-0.022886
"FA 22:2 (docosadienoic acid)",-0.03333,-0.012959,0.015379,0.045941,0.022937,0.02259,0.094009,-0.062659
"FA 22:4",-0.11404,0.1235,-0.083896,0.078637,-0.0080269,-0.020784,0.021035,0.018445
"FA 22:6 (docosahexaenoic acid)",-0.10806,0.047417,-0.10399,0.15011,0.019274,-0.019244,-0.026028,-0.094736
