"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"104",-2.585,-0.39586,-2.0591,-0.585,2.5434,-0.086403,0.82458,-0.479
"117",2.7161,-0.35729,-2.4211,-1.4411,-0.52982,0.48725,-1.0936,1.1348
"120",-2.4713,-0.086951,-2.0489,1.0549,3.0896,-1.3675,-1.9818,-1.2757
"122",4.1295,-0.52917,-2.5554,-0.78311,-1.7727,0.92833,-0.82388,-0.022339
"147",0.01345,-0.72713,-1.9985,-0.97298,0.8539,-0.74071,0.02369,-0.84963
"151",0.86198,-0.72009,-1.0903,-1.6848,1.7288,-1.7976,0.8049,-0.80263
"155",-0.64197,-0.72137,-2.3875,-1.3595,1.2579,-0.13017,1.3012,1.0737
"162",0.29769,-0.88564,-2.9847,-1.4211,1.7029,1.854,0.51695,-0.20645
"177",-2.0363,0.24903,1.638,-2.1968,-2.3332,-0.85324,-0.36706,-0.11942
"190",-3.6253,-0.64394,0.25823,-1.1728,0.57643,-1.556,2.1815,-0.74099
"196",-0.6836,-2.0219,-0.6346,0.50901,0.19348,1.7274,0.34124,-1.1938
"197",0.048334,0.32016,-3.3558,-0.94527,-0.13051,-0.74454,-0.28805,1.5674
"218",-2.9401,0.43822,0.37154,-1.617,0.092717,-0.97216,-0.22134,-1.353
"233",-0.68845,-0.1408,1.2545,-1.7917,-1.8784,0.29932,-0.18353,-0.98718
"250",-0.78609,1.0667,-2.2348,-0.49828,-3.0751,0.69206,-0.16055,-0.97661
"258",-7.7093,0.39066,-1.8378,2.7911,-1.3463,1.3201,1.9288,-0.012023
"269",1.0972,-1.1856,0.53228,-0.65357,-2.9453,0.093389,-0.57802,2.0355
"273",-9.5497,0.25709,-1.4302,3.9733,0.51648,1.8511,-2.5952,1.5913
"277",0.22549,-0.29181,-2.5424,-1.46,0.71732,1.4178,-0.0025672,-1.7909
"283",1.2214,-1.8711,-0.14687,0.4888,1.3321,-1.7322,-0.19373,0.70936
"286",3.9152,0.28108,-2.2032,-4.57,-1.7378,0.7874,0.23834,1.5895
"287",-0.27235,-2.2537,2.0311,0.50723,0.49366,0.49092,-1.73,-2.3446
"295",0.74835,-0.71191,1.5221,-2.3031,0.93707,-2.8474,-1.1479,0.27685
"297",-3.4761,0.59969,-1.9464,-0.47438,1.3622,-0.37247,-0.28722,-0.18586
"304",0.97707,0.050042,1.4834,-2.3889,-0.0031326,-0.7132,-3.16,-2.9771
"311",-6.7311,1.1229,-1.6251,1.7588,-0.83976,0.44387,-2.4042,1.6183
"315",-3.7544,-2.1838,4.3637,-0.039298,-1.4039,-1.5854,-1.4229,2.825
"321",4.1929,-3.6004,-1.575,4.3255,0.4611,-0.74798,0.49238,-0.81492
"323",-1.3445,-1.5872,2.513,0.32722,-2.2162,-0.9478,2.3052,-0.70934
"326",1.0053,1.6244,-4.4499,-1.009,-2.3452,-1.1627,1.2248,0.41391
"330",-5.6043,0.48007,3.3237,0.2781,-2.3347,-2.6488,-0.1529,-1.3157
"336",-0.95413,-2.4675,1.0101,1.5614,-3.2063,1.4372,2.4937,0.025311
"92",0.96149,-1.9896,0.031638,-0.2869,-1.3509,1.1061,-0.2611,1.2749
"114",1.7446,0.89301,2.2553,1.2907,0.94295,2.5393,-0.5548,-1.6416
"129",0.6782,3.119,0.017171,3.3573,-2.2495,-0.81769,0.92743,-1.8656
"138",0.61438,0.23842,1.0875,0.30788,4.6652,0.79052,2.0902,-0.6615
"139",3.7541,0.415,2.4866,-0.31281,1.1686,2.093,-2.4064,-0.76546
"149",-0.65981,0.01875,3.1656,0.38925,3.242,0.30422,1.0787,0.10124
"179",2.0282,1.8252,2.9722,-1.8219,-0.87863,0.39197,-0.3407,1.5889
"185",1.4431,2.7023,0.50323,1.058,0.15496,-0.2527,-0.70189,0.69893
"261",4.5355,1.8771,0.91107,1.4713,-2.9957,0.3438,1.7662,-2.5509
"263",3.2469,0.84143,1.3437,0.86521,-0.76034,2.2974,-0.72762,0.44306
"267",3.7631,0.21274,2.0316,-0.42104,1.6194,1.5031,-0.17588,1.1643
"270",1.5069,0.78988,2.2827,-0.40739,0.91479,1.6178,0.44322,0.76021
"292",-2.4271,2.248,1.741,-1.5371,2.2913,-0.15433,1.874,1.0926
"300",-1.7031,2.5216,1.274,-0.21365,2.2742,-0.39,1.5505,1.6301
"332",6.7458,-0.80922,1.2183,3.5613,0.71175,-0.87618,1.175,2.8476
"340",8.1719,1.5995,-2.0957,4.4921,0.48915,-3.3202,-1.6196,0.17953
