"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"PE O-18:1_16:0",2.9632,2.8862,2.8074,2.685,2.6006,2.5469,2.5196,2.5095
"TG 50:1",2.4143,1.7043,1.4681,1.3957,1.3345,1.3452,1.3336,1.3377
"FA 20:4 (arachidonic acid)",2.3532,1.5516,1.4961,1.5071,1.4419,1.4173,1.4022,1.396
"TG 48:1",2.3384,1.4041,1.3,1.2418,1.1988,1.248,1.2511,1.2509
"TG 16:0_18:1_20:0",2.3175,1.6711,1.4378,1.3647,1.3271,1.2992,1.2855,1.2899
"TG 54:2",2.3038,1.7873,1.5403,1.4614,1.4172,1.3878,1.3734,1.3785
"PEtOH 18:1_20:4",2.2781,1.5884,1.4997,1.4828,1.4467,1.4389,1.4294,1.4387
"SM 42:7;3O",2.2731,1.6157,1.4356,1.3845,1.5104,1.4819,1.4658,1.4662
"TG 54:3",2.2695,1.6867,1.4418,1.397,1.3349,1.3408,1.3299,1.331
"5-HETE",2.202,1.4912,1.6,1.5989,1.5269,1.4975,1.4829,1.4753
"TG 52:2",2.2012,1.8118,1.5391,1.459,1.3966,1.367,1.3527,1.3583
"PEtOH 16:1_18:1",2.1825,2.1038,1.9792,1.947,1.9421,1.9273,1.9068,1.9276
"TG 53:2",2.1198,1.3971,1.2099,1.1468,1.1267,1.1113,1.0995,1.1104
"Cer d36:2",2.0795,1.4207,1.4245,1.3535,1.3096,1.282,1.2705,1.2671
"PEtOH 36:1",2.0759,1.693,1.6354,1.5765,1.5332,1.5561,1.5487,1.5824
"FA 22:6 (docosahexaenoic acid)",2.0727,1.285,1.1263,1.423,1.3609,1.3568,1.3531,1.3493
"TG 52:1",2.0569,1.8979,1.6833,1.6002,1.5431,1.5397,1.5229,1.5268
"PE P-38:5 or PE O-38:6",2.0046,1.2045,1.18,1.2086,1.2232,1.2053,1.1947,1.1932
"PE P-38:4 or PE O-38:5",1.9741,1.1969,1.2431,1.2235,1.1757,1.1541,1.1479,1.1434
"PE O-16:1_22:6",1.9604,1.2486,1.2878,1.2229,1.1697,1.1847,1.178,1.1762
"TG 50:2",1.9478,1.7478,1.4917,1.4157,1.352,1.3422,1.3285,1.3346
"PE 38:4",1.9262,1.3066,1.2415,1.3036,1.2909,1.2637,1.2567,1.2528
"PE-O 18:1_22:6",1.9228,1.2208,1.24,1.1902,1.1462,1.1437,1.1467,1.1477
"PEtOH 18:1_18:1",1.9195,1.8297,1.6657,1.6125,1.6438,1.6424,1.6298,1.6465
"PI 32:1",1.9026,1.6378,1.4273,1.3541,1.3791,1.3499,1.3362,1.3311
"PEtOH 16:0_20:4",1.878,1.465,1.332,1.3138,1.3002,1.2764,1.2888,1.2936
"PE O-40:6 Isomer B",1.8449,1.1076,1.1897,1.1542,1.1059,1.1813,1.1702,1.1643
"FA 20:3 (homo-gamma-linolenic acid)",1.8441,1.3213,1.305,1.2996,1.2418,1.2158,1.2028,1.1977
"TG 48:0",1.8319,1.1148,1.0872,1.0544,1.0369,1.1221,1.1173,1.1126
"TG 51:2 Isomer A",1.8176,1.2496,1.0854,1.0286,1.0268,1.0152,1.01,1.0125
"PE O-18:1_22:6",1.8167,1.3188,1.1528,1.1374,1.1149,1.0952,1.1092,1.1043
"PEtOH 16:0_18:1",1.8035,2.4346,2.3016,2.2418,2.1535,2.1393,2.1188,2.1271
"FA 16:1 (palmitoleic acid)",1.7951,2.2232,2.0033,1.9233,1.8701,1.8564,1.8398,1.8321
"TG 50:0",1.7901,1.2414,1.2106,1.1671,1.1616,1.2696,1.2559,1.2571
"FA 20:5 (eicosapentaenoic acid)",1.79,1.2175,1.1726,1.3071,1.2518,1.2666,1.2727,1.2702
"TG 51:1 Isomer B",1.7782,1.0797,1.0118,0.96236,1.0152,1.0432,1.0394,1.0391
"PE P-36:4 or PE O-36:5",1.7669,1.1797,1.3966,1.3918,1.3465,1.3285,1.3238,1.3175
"PE O-16:1_18:2",1.7629,1.0752,0.92521,0.96387,1.0047,0.98452,0.97587,0.97201
"TG 42:1",1.762,1.5546,1.3226,1.2651,1.2616,1.2663,1.2579,1.2605
"TG 46:1",1.7544,1.0936,1.1,1.0537,1.0837,1.1159,1.1405,1.1346
"TG 56:3",1.7472,1.4328,1.219,1.1977,1.1855,1.258,1.2444,1.2455
"LPC O-20:1",1.7423,1.3688,1.2187,1.1584,1.1071,1.0869,1.0751,1.0742
"Cer d34:2 Isomer B",1.7361,1.0777,1.2765,1.3509,1.3272,1.3029,1.2888,1.2841
"FA 14:1 (physeteric acid)",1.724,1.9246,1.8364,1.744,1.7205,1.6842,1.6812,1.6726
"TG 50:3 Isomer A",1.7232,1.8722,1.5944,1.5123,1.4492,1.4205,1.4061,1.4101
"PS 18:0_22:6",1.7118,1.0497,1.3011,1.2336,1.1799,1.1577,1.1453,1.1411
"Phosphatidylethanolamine alkenyl 16:0-20:4",1.6961,1.0423,1.235,1.1768,1.1251,1.1227,1.1108,1.1081
