"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)",0.015485,-0.017297,0.051946,-0.059495,0.018939,-0.0082223,0.016699,0.025062
"13-HODE",-0.052509,0.1038,-0.11546,0.11051,-0.07381,0.12443,-0.10005,0.040474
"16,16-dimethylprostaglandin A1",0.035166,-0.058646,-0.072284,0.043351,0.059867,0.029941,-0.077963,-0.0034497
"4-HDoHE",-0.06518,0.16357,-0.10755,0.061535,-0.091525,0.017262,-0.025033,0.050773
"4-methyl-2-oxopentanoic acid",0.033556,0.03121,-0.059881,-0.035428,0.068409,0.088146,-0.057765,0.059169
"5-HETE",-0.11184,0.1418,-0.13046,0.081319,-0.045979,0.10412,-0.052882,0.026384
"8,15-DiHETE",-0.095104,0.088501,-0.094621,0.08322,-0.057572,0.044926,-0.018312,0.015337
"acylcarnitine 08:0",-0.0044366,-0.088152,0.090158,0.031995,0.0037134,0.1059,-0.041734,-0.029748
"acylcarnitine 08:1",-0.012261,-0.047649,0.048121,0.023304,-0.011741,0.076261,-0.10892,0.017317
"acylcarnitine 10:0",-0.024611,0.011974,0.10291,-0.081011,0.037823,0.10999,-0.090494,-0.055868
"acylcarnitine 10:1",-0.022192,0.0097373,0.065527,-0.025475,0.024745,0.045236,-0.1102,-0.010191
"acylcarnitine 12:1",-0.035701,-0.086898,-0.04226,0.015685,0.026142,-0.058282,0.043894,-0.072676
"acylcarnitine 14:1",-0.019447,0.049961,0.047961,-0.049073,-0.011437,0.10878,-0.079729,-0.01182
"acylcarnitine 16:0",-0.0039427,-0.050134,0.0096189,0.040028,-0.064772,0.062823,-0.02677,-0.034651
"acylcarnitine 18:0 Isomer A",-0.012232,-0.069937,-0.013099,0.052865,-0.018909,0.050535,-0.075598,-0.042021
"acylcarnitine 18:1",-0.0052777,-0.026009,0.047199,0.019101,-0.028508,0.085609,-0.11698,-0.0064917
"acylcarnitine 18:2 Isomer A",0.0037717,0.018321,-0.0037658,-0.012813,0.0044722,0.13523,-0.1619,0.010823
"acylcarnitine 20:1",-0.012109,-0.051411,0.030909,0.044719,-0.019369,0.069298,-0.11707,0.0012246
"C16 Lactosyl Ceramide (d18:1/16:0)",-0.039766,-0.064686,0.036936,-0.0061202,-0.048455,0.040291,-0.040191,0.038978
"CE 18:1",0.028004,-0.091391,0.095606,-0.072147,-0.0063628,0.014653,0.050472,-0.012869
"CE 18:2",0.037929,-0.076715,0.08425,-0.1197,0.018622,-0.041258,0.033048,0.033766
"CE_13-HODE",0.039,-0.043104,0.066118,-0.070889,0.012791,0.059566,-0.0093612,0.021485
"Cer 18:0;2O/24:0",-0.0046353,-0.016621,-0.028077,0.10501,-0.025917,-0.010815,-0.045852,-0.0073184
"Cer 18:0;2O/24:1",-0.026584,-0.076743,0.026133,0.049968,-0.012627,0.05902,-0.054824,0.064673
"Cer 18:0;3O/16:0;(2OH)",-0.037228,0.048277,0.0048192,0.017779,-0.042255,0.086892,-0.047153,-0.012087
"Cer 18:0;3O/24:0;(2OH)",-0.01912,0.053843,-0.015711,0.0058386,-0.0086752,0.029915,0.052301,-0.027445
"Cer 18:1;2O_26:0;(2OH)",0.029161,-0.089663,0.020536,0.05651,0.01585,-0.021897,-0.037331,0.019201
"Cer 18:1;2O/24:2",-0.079204,-0.036741,-0.0052676,0.068068,-0.0037093,0.019266,-0.047798,0.035843
"Cer 18:1;2O/26:0",-0.039285,0.026696,-0.0054304,0.063592,-0.011361,0.046883,-0.027405,0.0042746
"Cer 18:2;2O/22:0",-0.072801,-0.036904,-0.024247,0.091203,-0.020618,-0.017002,0.024165,0.028842
"Cer 18:2;2O/23:0",-0.059982,-0.044794,-0.000057095,0.045876,-0.026764,0.016396,0.0025507,-0.0048741
"Cer 18:2;2O/24:1",-0.043715,-0.054697,0.0034456,0.047798,-0.01102,0.039905,-0.051405,0.017957
"Cer 20:0;2O/24:0",0.0082358,0.053491,-0.04611,0.057249,-0.006659,0.0073994,-0.073895,-0.0015635
"Cer 20:0;2O/25:0",-0.028882,0.077261,-0.02588,0.021993,0.030903,0.036015,-0.031167,-0.039145
"Cer 20:0;2O/26:0",-0.021526,0.071001,-0.028501,-0.021196,0.0009769,-0.013103,-0.048938,-0.022671
"Cer 20:0;3O/24:0;(2OH)",-0.013888,0.069409,0.002442,-0.022236,-0.021694,0.0081759,0.02234,0.027633
"Cer 22:0;2O/26:0",-0.000917,0.07502,-0.049537,-0.036455,-0.014607,0.0022883,0.0018177,-0.016249
"Cer 58:11;2O",0.1002,-0.097956,0.011397,0.042391,-0.0076338,-0.05631,0.10782,-0.051592
"Cer d32:1",-0.062611,0.073961,-0.068396,0.090252,-0.058728,0.021014,0.036682,-0.006345
"Cer d33:1",-0.050707,0.0342,-0.089662,0.046884,-0.02838,0.023736,0.038664,-0.024432
"Cer d34:0",-0.049157,0.019727,-0.049351,0.0095089,-0.00011475,0.030046,0.013519,-0.0045712
"Cer d34:1",-0.079236,0.0084452,-0.054911,0.070617,-0.048471,0.059723,0.017277,0.016933
"Cer d34:2",-0.096252,0.045685,-0.074677,0.09683,-0.048185,0.017299,0.0032249,0.049705
"Cer d34:2 Isomer A",-0.053124,0.037949,-0.019844,-0.021537,-0.034835,0.065019,-0.048644,0.020346
"Cer d34:2 Isomer B",-0.087424,0.080735,-0.09817,0.10595,-0.059142,0.015273,-0.019759,0.056207
"Cer d36:1",-0.057588,-0.073655,-0.015022,0.037045,-0.019952,0.05679,0.0060413,-0.013432
"Cer d36:2",-0.091833,-0.02131,-0.050607,0.070341,0.013991,0.064439,0.035475,0.011675
"Cer d38:1",-0.041707,-0.072765,-0.017735,0.05338,-0.012608,0.044535,-0.0013936,-0.0038055
"Cer d39:1",-0.037503,-0.026886,-0.030639,0.076413,-0.036626,0.042103,0.0061359,-0.031748
