"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"104",-3.0927,-0.1145,0.85096,0.74039,-0.93529,0.65232,-1.5634,-0.49948
"114",1.1257,-0.83526,-1.2623,-1.3828,-0.072588,-0.7218,1.0242,-0.83903
"117",1.7391,-1.39,-0.25241,1.4553,-1.4395,-2.0554,-0.49525,-0.073508
"138",-0.70608,-0.44561,2.5622,-1.3565,-2.1553,0.23656,-1.6985,-0.20978
"139",1.9998,-2.0572,0.43317,-1.199,-1.2527,-2.5766,2.1533,0.46715
"147",0.10883,0.41328,1.3553,-0.59201,-2.6553,-1.1347,-2.1092,-0.19039
"149",-1.6991,-0.72805,1.9011,-1.9853,0.12838,0.15519,-0.67931,0.35422
"155",-1.2579,-0.61721,0.60011,0.10551,-1.5528,0.19772,-0.86643,0.38057
"162",-0.83142,-1.7611,-0.64184,0.20172,-1.576,0.65479,1.4868,-0.68806
"177",-2.5927,-0.51773,-0.082593,-1.7258,0.73445,0.21634,1.2237,0.6158
"185",-0.48459,-1.3585,-2.3037,2.5789,0.85042,-0.013319,-2.1182,-1.2435
"190",-3.9027,-0.45455,-0.12135,-2.5524,0.79587,3.2782,-0.42307,1.2327
"197",-0.71039,-0.67408,-1.2394,1.3487,-1.7937,0.2126,-0.056275,-0.51806
"218",-3.784,-0.25783,0.6039,-0.56994,0.038987,0.85719,-0.23149,0.16369
"250",-0.11639,0.9754,-2.4327,0.59397,-1.0683,-0.7066,-0.64391,-1.5043
"258",-3.3672,5.3762,-1.9329,-1.1465,-1.9727,-1.7349,-1.2127,-1.22
"267",1.5854,-2.6943,0.31125,-0.58876,-0.2303,-0.87061,1.3913,-0.27735
"269",1.198,-1.5992,-1.7159,0.68177,3.6236,-1.3391,-1.9236,-1.2671
"270",0.49582,-0.40461,1.4169,-1.1688,-1.6026,-2.192,0.17724,-0.93578
"273",-6.4598,2.95,-3.9799,2.128,1.7216,-2.5509,0.79595,1.032
"277",-0.79855,-1.4236,-1.2123,-0.51589,-1.2797,1.6765,1.9847,-0.3308
"286",1.1061,-2.8053,0.56277,0.55042,-3.0366,-1.5827,1.7547,0.81434
"287",1.0372,0.12797,0.98007,-3.0967,0.69602,-1.7146,-0.16967,-0.6618
"292",-4.832,-0.45321,2.0369,0.11674,-1.5988,0.35886,-1.0201,0.12498
"295",-1.2759,-2.1756,2.394,-0.75501,0.39161,0.21383,-1.0866,-0.86281
"297",-4.3789,-0.58534,-1.258,0.89889,-0.74658,0.60777,-0.35847,1.136
"300",-4.486,-1.6571,-0.5385,1.4025,0.49105,2.2045,-0.13329,-0.76818
"304",-0.55543,-1.0982,2.4045,-0.56005,-0.74414,-1.4489,-0.013683,-1.7867
"311",-5.3734,1.5809,-3.6959,1.6292,0.32768,-1.184,2.2961,1.5695
"315",-2.7586,-0.68229,0.092382,-2.6986,4.1517,-1.106,1.2413,0.76583
"326",0.1172,-0.58573,-3.4407,1.7546,-1.2775,2.8166,-0.21875,-1.9093
"330",-4.3628,1.5414,-0.70043,-2.5374,2.6029,1.3918,-0.8575,-0.16813
"332",5.9839,-3.4373,-4.0078,-0.0032225,3.2909,0.7688,-2.0806,2.5211
"336",2.5375,1.4718,-2.466,-4.3566,1.8129,-0.24364,0.15666,-0.26412
"340",7.8745,-0.90554,-4.5977,-0.26447,-3.4635,0.51937,-0.76163,2.018
"120",-1.7003,2.139,2.6388,2.2441,-1.2922,-0.22063,0.20513,4.7007
"122",4.4482,0.10822,0.55145,2.6588,0.72455,0.17016,0.90127,-0.71274
"129",3.3574,5.1961,-0.30734,0.63742,-1.5712,1.5498,0.32195,-0.57168
"151",-0.011348,-0.25436,3.1929,0.41808,-0.04434,3.4437,1.6651,1.896
"179",0.11277,-0.45362,3.28,3.1671,2.5948,0.16782,0.69907,-2.0896
"196",1.6039,2.0512,2.3253,0.85947,2.2153,0.53881,0.39948,-1.1839
"261",6.2507,3.1489,0.3171,-1.3161,-1.3075,2.1446,1.6115,-2.2945
"263",3.2511,0.31415,0.79111,2.9882,3.1299,-0.14025,0.67374,-0.99472
"283",2.5505,1.6112,4.3647,1.4934,0.80373,-1.1991,-2.1449,1.9812
"321",8.4179,2.4178,0.35302,-0.95558,1.144,0.3304,-0.60545,1.876
"92",2.6365,1.0035,1.8695,0.67424,2.3987,-0.62851,1.3088,0.41553
