"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"PC 21:4",2.7356,2.8957,2.3954,2.1764,2.1483,2.0985,2.0545,2.0449
"PC 19:2",2.6441,2.6917,2.254,2.0493,1.9938,1.9415,1.8995,1.8915
"TG 58:8",2.4301,1.7107,1.405,1.434,1.3876,1.3698,1.3805,1.385
"TG 58:9",2.3458,1.6661,1.3597,1.3079,1.2625,1.2553,1.2738,1.2863
"TG 56:7 Isomer B",2.2163,1.5945,1.3126,1.4713,1.4451,1.4596,1.4806,1.4748
"PEtOH 16:0_18:1",2.1968,1.8025,2.1329,1.9499,1.9626,1.9184,1.9499,1.9563
"TG 56:4",2.1913,1.5768,1.3136,1.2695,1.2303,1.2003,1.1764,1.2111
"acylcarnitine 12:1",2.1817,2.3731,1.97,1.7863,1.7245,1.6851,1.6546,1.6441
"PE O-40:5 Isomer B",2.1603,1.6671,1.3811,1.2462,1.2891,1.2925,1.283,1.2747
"TG 56:3",2.1187,1.5775,1.337,1.425,1.3765,1.3457,1.3236,1.3641
"TG 54:3",2.103,1.7382,1.5502,1.4819,1.4304,1.4068,1.4122,1.4159
"LPE 18:0",2.0988,1.5069,1.3172,1.1891,1.213,1.2132,1.186,1.185
"TG 50:3 Isomer A",2.084,1.754,1.4891,1.3742,1.3266,1.296,1.3007,1.294
"TG 56:8 Isomer A",2.082,1.4782,1.3049,1.588,1.562,1.5733,1.5644,1.5587
"LPC 20:5",2.0654,1.9246,1.5949,1.5399,1.4876,1.4519,1.436,1.4265
"DG 18:1_18:2",2.0088,1.427,1.1856,1.1745,1.1337,1.1086,1.0862,1.0943
"FA 22:4",2.0074,1.4182,1.6923,1.5687,1.5234,1.4836,1.4931,1.4868
"PEtOH 16:1_18:1",1.9964,1.5798,2.3425,2.1571,2.0927,2.0439,2.0556,2.068
"TG 54:4",1.9699,1.6904,1.4012,1.2832,1.2463,1.2152,1.2022,1.2313
"FA 20:4 (arachidonic acid)",1.9677,1.47,1.7694,1.6273,1.5784,1.5381,1.5284,1.5184
"PC 19:1",1.9576,2.0834,1.9155,1.7497,1.6895,1.659,1.6223,1.6119
"LPE O-18:1",1.9112,1.3792,1.1383,1.0461,1.0237,1.015,0.99264,0.99141
"TG 56:7 Isomer A",1.9078,1.4811,1.2089,1.2109,1.1695,1.1687,1.1445,1.1467
"Cer d36:1",1.8982,1.5874,1.3084,1.2508,1.2092,1.1977,1.1724,1.1674
"TG 48:3",1.8847,1.4522,1.1858,1.2312,1.1906,1.1602,1.1575,1.1624
"PE P-40:4 or PE O-40:5 Isomer A",1.8668,1.321,1.0785,0.97771,1.0436,1.1378,1.1246,1.1188
"TG 52:2",1.8661,1.7141,1.6364,1.5677,1.5164,1.4765,1.457,1.4477
"TG 50:4",1.8567,1.612,1.3307,1.2227,1.1804,1.1534,1.1619,1.1565
"PEtOH 16:1_16:1",1.8531,1.3037,1.0663,0.96335,0.98459,0.9739,0.96642,0.9608
"PEtOH 36:1",1.8389,1.5703,1.6559,1.5365,1.5474,1.5231,1.5133,1.5112
"Cer d36:2",1.823,1.2925,1.1115,1.4823,1.4848,1.4995,1.4689,1.4603
"Cer d34:2",1.8054,1.3057,1.1017,1.2245,1.1917,1.1692,1.1449,1.1383
"PC O-40:2 or PC 40:2e",1.7902,2.6315,2.2792,2.1687,2.0964,2.054,2.0544,2.0423
"PE P-36:4 or PE O-36:5",1.7666,1.2629,1.0394,0.95614,0.99507,1.1115,1.0981,1.0957
"FA 20:3 (homo-gamma-linolenic acid)",1.7507,1.2988,1.4089,1.3901,1.3459,1.3146,1.2869,1.2785
"Phosphatidylethanolamine alkenyl 16:0-20:4",1.7295,1.2166,1.006,0.94078,0.94542,1.0348,1.0158,1.0112
"TG 56:6",1.7054,1.5161,1.2469,1.2611,1.2203,1.2901,1.2635,1.2605
"PE O-40:4",1.6918,1.2255,1.0518,0.96482,1.0819,1.0582,1.0426,1.0359
"Cer d34:1",1.6885,1.1877,0.9742,1.0916,1.0537,1.0796,1.0566,1.0499
"PC P-34:2 or PC O-34:3",1.6883,1.2762,1.0678,1.0832,1.0672,1.0391,1.0191,1.0133
"TG 52:3",1.6841,1.8023,1.5363,1.3927,1.3508,1.3159,1.2924,1.2917
