"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)",0.024373,0.014953,-0.036377,0.054582,-0.04759,0.079163,-0.077213,0.070166
"13-HODE",-0.015553,0.10564,0.15379,-0.097869,-0.019254,-0.02157,0.069966,-0.064784
"16,16-dimethylprostaglandin A1",0.028794,-0.043397,-0.15735,-0.0090909,0.16522,-0.045218,-0.069872,-0.13645
"4-HDoHE",0.040319,0.059897,0.19549,-0.11686,-0.045164,0.0196,0.0084368,-0.062582
"4-methyl-2-oxopentanoic acid",0.10437,-0.0051193,-0.03027,0.0030532,0.045461,0.065806,-0.02048,0.055006
"5-HETE",-0.011196,0.076845,0.21467,-0.16567,-0.0016873,-0.0086277,-0.0020958,-0.0037324
"8,15-DiHETE",0.032818,0.021895,0.10415,-0.091868,0.041851,-0.036039,0.029245,-0.017075
"acylcarnitine 08:0",0.05183,-0.083196,-0.026545,0.016384,0.058906,-0.1368,0.062343,0.013391
"acylcarnitine 08:1",0.036981,-0.016458,-0.014768,0.0024428,0.056447,-0.01688,0.022755,0.058069
"acylcarnitine 10:0",0.052361,0.040231,-0.032935,0.04107,0.091499,-0.035652,-0.066404,0.079867
"acylcarnitine 10:1",0.056069,-0.0024484,-0.03383,0.034061,0.034082,-0.027902,-0.023542,0.043818
"acylcarnitine 12:1",0.078063,-0.072791,0.055326,0.011225,-0.0078814,-0.037812,0.037829,-0.075514
"acylcarnitine 14:1",0.012281,0.079988,-0.0071161,0.0016492,0.061852,-0.012064,-0.062508,0.028866
"acylcarnitine 16:0",-0.061019,0.082266,0.005853,0.0039196,0.08183,-0.097915,-0.023458,0.033171
"acylcarnitine 18:0 Isomer A",-0.028846,0.046999,0.0094692,-0.011916,0.10886,-0.14829,0.004356,0.043237
"acylcarnitine 18:1",-0.056164,0.096486,0.0026956,0.0053791,0.075099,-0.074663,-0.01755,0.041004
"acylcarnitine 18:2 Isomer A",-0.050689,0.070617,0.068935,-0.050959,0.0044857,0.032186,-0.040748,0.074933
"acylcarnitine 20:1",0.031215,0.013185,-0.0081233,-0.0053137,0.10214,-0.11718,-0.014337,0.083222
"C16 Lactosyl Ceramide (d18:1/16:0)",-0.085813,0.069959,0.037779,-0.0098941,-0.04543,-0.03028,0.065125,-0.037876
"CE 18:1",-0.006926,0.0042023,-0.12851,0.081542,-0.026136,0.040718,-0.011174,0.016547
"CE 18:2",-0.041588,0.019937,-0.13824,0.11054,-0.052409,0.054135,-0.024774,0.066793
"CE_13-HODE",-0.05603,0.037928,-0.037992,0.024755,-0.059391,0.092908,-0.034414,0.032617
"Cer 18:0;2O/24:0",0.015921,-0.007593,0.039524,-0.012645,0.075035,-0.10234,0.0017101,0.10239
"Cer 18:0;2O/24:1",-0.046531,0.053082,0.06445,-0.0040555,0.048759,-0.13801,0.058175,0.051099
