"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"104",-2.1675,-1.673,0.023151,1.2977,0.46549,-1.0613,-0.29678,0.50217
"117",-1.5728,-0.92204,-0.037712,-0.83595,0.62581,-0.68301,-1.1186,0.29563
"120",-0.22008,0.48547,-1.8077,-0.93831,-2.1574,0.87253,0.75394,-0.50793
"122",-2.2197,-2.5555,0.83689,3.7512,0.91222,0.035696,-1.8053,-0.654
"147",-2.0959,-1.5562,1.3516,-2.6159,-0.98492,-0.67847,0.99541,0.79707
"151",-1.4069,-3.36,0.99076,3.4487,-2.8759,1.7391,-0.69188,0.57331
"155",0.038312,0.41571,-0.80105,0.40871,-2.3367,-0.023614,-2.5589,-0.033416
"162",-0.28381,0.26241,-2.8985,2.1306,-0.4413,0.12633,1.1159,-1.6746
"177",-1.0478,-0.35199,-1.2867,-3.7309,-1.1154,0.65616,3.0384,-0.65503
"190",-0.38651,-0.43009,2.3236,-2.5644,-1.2181,-1.6404,-0.35355,-1.1963
"196",0.57691,-2.2119,-0.84373,-0.24752,-0.56345,0.081009,-1.3257,0.60476
"197",-2.7395,-1.4275,-1.6113,-0.96829,-0.18076,1.6267,2.4352,1.5527
"218",-0.000015125,0.9783,-3.5031,0.89125,-1.7565,-0.99172,2.3797,-0.19274
"233",-1.8056,-1.2273,0.26833,2.2435,0.030303,-0.50764,-1.4597,-1.3778
"250",-0.47216,-0.15344,0.071563,-2.7073,0.72352,-1.1915,1.2103,-0.92839
"258",0.1717,0.56745,-0.21082,-6.269,0.44476,2.6853,-0.33442,-2.3048
"269",-1.7453,-0.83589,1.5299,-0.40332,-2.1264,-0.41021,-2.2383,0.90931
"273",-2.6093,-0.14792,-1.0101,-2.1727,2.1343,-0.62681,-2.0469,2.0202
"277",-1.2764,-1.5888,0.644,-3.4636,-0.65881,0.2088,1.0474,0.83597
"283",-2.4934,-1.6928,0.72707,-5.4622,3.4367,0.14133,-1.7166,0.98369
"286",-4.5557,-0.24734,-2.7731,-0.46634,3.8967,-0.038911,-0.42672,0.77271
"287",-1.1359,0.19842,0.17357,-1.2387,-2.0393,0.32076,-2.4749,1.0049
"295",-1.7886,-1.766,-0.67675,2.3715,-0.75788,-1.3526,-0.31796,-0.02214
"297",-0.21841,-0.77277,1.0167,2.2404,-0.56638,-3.084,-2.9963,-0.6158
"304",-0.12675,0.037127,-0.89193,-1.2665,-0.38019,-1.7243,-1.2169,0.56903
"311",0.62256,-0.20006,-3.4737,1.9878,1.1656,-2.1104,1.5641,-1.4415
"315",-1.7038,-1.5239,0.80986,-2.9667,0.1461,-0.58675,2.5107,-1.7422
"321",-2.9877,-2.5723,-1.77,-0.017711,0.78423,1.6842,0.021942,1.2635
"323",-1.3092,1.0011,-0.56329,2.3718,-1.7067,-1.274,-0.36338,0.046736
"326",-0.42885,0.22806,0.98345,-3.0788,-0.49368,-2.0756,-0.88028,-0.385
"330",3.0356,-5.5112,-0.62067,1.1733,-0.99487,3.469,1.0636,-0.8437
"336",-1.4041,-3.84,1.114,3.5404,-0.63709,1.3804,-0.62787,-0.98079
"92",0.57183,2.5047,-1.652,-2.7835,-0.81376,-1.6431,-0.35719,-0.93363
"114",-0.81495,0.22935,0.85134,1.7928,3.1105,0.32382,1.213,0.66568
"129",4.8293,3.0454,-1.3624,0.91358,2.5308,2.9623,-4.3116,-2.1244
"138",-0.90449,0.90446,1.2067,2.4859,2.0479,0.046628,1.5146,0.8733
"139",-1.3174,0.80722,0.93414,3.0165,2.2896,0.57327,1.0805,0.63212
"149",0.84519,2.613,0.84187,1.407,-0.48601,1.14,-1.6226,0.74992
"179",0.5909,1.9839,0.0939,4.98,0.50347,-0.26342,1.7794,0.21357
"185",-0.76275,-0.75047,4.7684,0.239,1.412,0.31616,1.8413,-0.82925
"261",22.136,-4.2488,-0.14785,-0.88561,1.0577,-1.3592,0.39709,1.2637
"263",0.97818,4.3247,-0.43712,2.3247,1.2621,-0.48224,0.61973,-0.25516
"267",1.2483,3.488,-0.091265,0.33191,-0.99815,0.7428,0.53747,2.7876
"270",1.9892,4.7008,0.93717,-1.0905,-2.1992,1.7916,0.37075,1.2423
"292",2.6799,4.6813,1.1151,-0.66354,0.10925,1.0966,-3.2757,-1.0375
"300",0.52567,1.2533,3.4169,1.0038,0.54002,-0.55911,2.8395,-1.1559
"332",1.7267,4.0813,0.30269,0.14393,-0.62816,-0.43845,1.4239,0.57718
"340",1.4354,2.7755,1.1381,0.34121,-0.51221,0.78633,3.0642,0.15494
