"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"PC 21:4",3.0113,2.4374,2.2146,2.082,1.9951,1.9399,1.9594,1.9656
"PC 19:2",2.6426,2.4067,2.1365,2.0314,1.9303,1.8983,1.8965,1.8753
"PE P-34:1 or PE O-34:2",2.6241,1.8983,1.7317,1.6345,1.5726,1.532,1.5031,1.494
"SPB 25:0;2O",2.6232,1.8371,2.4339,2.2862,2.1727,2.2267,2.2173,2.1919
"PE O-40:6 Isomer B",2.492,2.2748,2.021,2.0045,1.9935,1.9446,2.0225,2.005
"Cer 18:1;2O/24:2",2.4883,2.3549,2.0986,1.9789,1.8982,1.8453,1.8106,1.7954
"4-methyl-2-oxopentanoic acid",2.4568,1.4699,1.3604,1.3479,1.4158,1.4176,1.3899,1.3809
"PC 40:4",2.3241,2.1395,1.9315,1.8163,1.7456,1.7081,1.693,1.675
"SM 26:0;2O/18:1",2.1637,1.8903,1.6726,1.5729,1.5043,1.4671,1.4397,1.4228
"FAHFA 38:4",2.1514,2.4534,2.1847,2.0593,1.962,1.9117,1.9077,1.8998
"acylcarnitine 10:0",2.1329,1.5903,1.4505,1.4249,1.3643,1.413,1.4048,1.3893
"4-HDoHE",2.1294,1.7451,1.56,1.7977,1.7299,1.6819,1.6499,1.6361
"PC P-38:3 or PC O-38:4 Isomer B",2.1062,1.2545,1.1106,1.0494,1.0403,1.015,1.0558,1.0428
"PC 19:1",2.0521,2.3126,2.0511,1.9677,1.8711,1.8677,1.8629,1.8412
"Cer 22:0;2O/26:0",2.0369,1.2245,1.1855,1.1145,1.0854,1.068,1.0514,1.0409
"GlcCer d42:2",2.0247,1.9719,1.7431,1.6405,1.5617,1.5383,1.5116,1.501
"FAHFA 18:0/20:2",2.013,1.2011,1.2049,1.1593,1.1021,1.0719,1.0521,1.1099
"PC O-31:7",1.9611,1.8029,1.5975,1.5938,1.5742,1.598,1.5908,1.5856
"13-HODE",1.9297,2.4303,2.1906,2.1635,2.0553,2.0099,1.9857,1.9627
"LPI 18:0",1.9261,1.7629,1.5945,1.5054,1.5029,1.4835,1.4616,1.4465
"TG 55:3",1.9062,1.182,1.074,1.084,1.053,1.0241,1.0152,1.0035
"SM d35:2",1.8329,1.4224,1.2579,1.1821,1.1262,1.096,1.0746,1.0623
"PC 36:2",1.809,1.3592,1.2499,1.174,1.1305,1.1038,1.0859,1.0725
"FA 18:1 (oleic acid)",1.7941,1.5535,1.3917,1.3303,1.2791,1.2475,1.2388,1.2455
"FA 14:0 (myristic acid)",1.7938,1.0603,1.0489,1.0164,1.0536,1.0634,1.0462,1.0333
"PC 40:5 Isomer B",1.7783,1.1591,1.0279,0.96632,0.98636,0.97965,0.96761,0.96156
"acylcarnitine 14:1",1.7568,1.7596,1.5566,1.4641,1.3941,1.3986,1.3879,1.3728
"TG 28:0",1.754,1.0449,1.1461,1.1073,1.0848,1.0552,1.0346,1.0333
