"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)",0.03646,0.064655,-0.038144,-0.047751,0.04696,-0.001174,0.018152,-0.030009
"13-HODE",-0.061816,-0.10062,0.041294,-0.031165,0.047366,0.043798,-0.061464,0.11645
"16,16-dimethylprostaglandin A1",0.044548,0.061137,0.050718,0.01232,-0.12968,0.061416,-0.054128,0.0425
"4-HDoHE",-0.0073298,-0.11245,0.095987,-0.067913,0.094011,-0.012147,-0.077088,0.098385
"4-methyl-2-oxopentanoic acid",0.087515,-0.031185,-0.0074631,-0.063753,0.0047214,0.081788,-0.031396,-0.0042229
"5-HETE",-0.0601,-0.1169,0.12042,-0.12066,0.066959,0.016021,-0.088442,0.073467
"8,15-DiHETE",-0.0011622,-0.090076,0.079466,-0.035515,-0.0078,0.022163,-0.060777,0.059288
"acylcarnitine 08:0",0.053862,-0.043166,0.046488,0.097796,-0.1129,0.001735,0.046848,-0.04641
"acylcarnitine 08:1",0.03478,-0.010834,0.038723,0.01038,-0.03825,0.04083,-0.012393,-0.036822
"acylcarnitine 10:0",0.048407,0.035069,0.011837,-0.04106,-0.060055,0.10599,-0.012847,-0.05487
"acylcarnitine 10:1",0.056413,0.019156,0.01767,0.0076415,-0.044593,0.039455,0.021081,-0.014012
"acylcarnitine 12:1",0.066093,-0.081694,0.019226,0.056873,-0.0011363,-0.042625,0.077775,0.10012
"acylcarnitine 14:1",0.0013539,0.029423,0.0046925,-0.065928,-0.030406,0.098886,-0.030279,0.0073887
"acylcarnitine 16:0",-0.065519,0.024546,-0.0078869,-0.0029941,-0.035618,0.11991,-0.0012711,-0.049237
"acylcarnitine 18:0 Isomer A",-0.038578,-0.0072604,0.026875,0.022133,-0.084823,0.11518,0.0078126,-0.04748
"acylcarnitine 18:1",-0.058725,0.053011,0.010678,-0.014215,-0.075087,0.080373,-0.012039,-0.043815
"acylcarnitine 18:2 Isomer A",-0.058283,0.016126,0.031695,-0.10887,0.017486,0.032131,0.011451,-0.012708
"acylcarnitine 20:1",0.022754,0.00086442,0.04825,-0.0044452,-0.11385,0.095508,0.038615,-0.065442
"C16 Lactosyl Ceramide (d18:1/16:0)",-0.087425,0.013535,-0.011675,0.04686,-0.0031806,-0.04513,-0.037601,0.049061
"CE 18:1",0.017643,0.094857,-0.077347,0.04157,-0.022526,0.0061559,0.043275,0.010711
"CE 18:2",-0.0067373,0.12526,-0.11111,0.037321,0.011674,0.024131,0.073239,-0.058177
"CE_13-HODE",-0.036353,0.090978,-0.031072,-0.012918,0.047216,-0.047835,0.020329,0.069252
"Cer 18:0;2O/24:0",0.0086124,-0.020541,0.05878,0.014665,-0.065005,0.037848,0.016298,-0.076735
"Cer 18:0;2O/24:1",-0.05615,-0.012362,0.035224,0.060656,-0.06983,0.045088,0.0439,-0.036479
"Cer 18:0;3O/16:0;(2OH)",0.05091,-0.023893,0.039972,-0.0021749,0.0081548,0.025726,0.0029599,-0.01591
"Cer 18:0;3O/24:0;(2OH)",0.08476,-0.054455,0.0092442,0.0033121,0.044202,0.0054669,0.01233,-0.0040904
"Cer 18:1;2O_26:0;(2OH)",-0.1529,0.089224,-0.072956,0.066354,0.065426,-0.058445,-0.050535,0.069737
