"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"104",-1.3579,-0.19768,-0.97732,-0.030545,-1.39,-0.31695,0.94814,-0.88994
"114",-1.2776,-0.1656,0.33411,0.14573,-1.6254,-0.12205,-0.89383,-0.42403
"117",-2.0577,-1.3037,-0.72396,-0.7539,0.29707,0.81831,-0.093614,-0.24499
"138",-1.2122,0.71509,0.58382,0.66273,-2.1473,-1.4725,-1.1344,-0.85354
"139",-1.2404,1.0839,-0.38018,0.022711,-1.8373,-0.89049,-0.52856,-0.46269
"147",-2.8555,-1.6214,2.2483,-0.34234,-1.4706,-1.9962,1.9164,1.9909
"149",-0.42231,-0.13284,-2.9822,-2.2475,2.3584,1.6513,-0.087282,-0.97564
"155",1.187,1.7919,-1.9169,-1.3796,0.6455,-1.1416,-0.7442,-1.2515
"162",0.42313,0.44257,-4.5846,1.5775,0.024501,0.40874,-2.0856,-0.72379
"177",-2.5871,-2.1649,0.060836,0.99613,0.51732,-0.23937,-1.5837,0.79861
"185",-3.6585,-4.6439,1.9813,0.38081,1.1626,-0.96169,1.1078,0.016997
"190",-2.5808,-3.0826,2.2297,0.26339,0.46403,-0.59706,0.48987,-0.97646
"197",-1.3362,1.3188,-0.75273,-1.4849,-2.4351,-0.76543,1.9268,1.6175
"218",0.42689,0.8915,-3.9448,1.2424,-3.1337,0.3517,1.2854,2.6498
"250",-2.2849,-2.1582,1.6935,0.63722,-1.5766,-0.10279,-0.94002,0.14648
"258",-1.7985,-1.3708,2.5565,-2.6045,1.7194,-0.44089,-2.9331,1.3083
"267",-0.34928,0.39342,-2.3963,-1.9603,-0.029269,1.5542,1.2525,1.4395
"269",-1.2581,0.28477,0.007134,-2.3429,-0.1488,-1.8108,1.7723,0.073365
"270",-1.046,-0.63835,-2.0133,-2.2511,2.4516,1.0723,-0.50361,0.66725
"273",-2.3825,1.399,1.3884,-2.065,-0.94923,2.3259,-0.67562,-3.2156
"277",-2.3103,-2.3401,1.3753,-0.91904,0.03439,-0.74167,0.51317,1.034
"286",-3.4562,2.6109,-0.57824,-2.2059,-3.5544,3.538,0.74789,-1.7103
"287",-0.1276,2.2155,0.42229,-2.7083,-0.46295,-1.991,-0.092711,-0.85103
"292",-0.070077,-0.12208,-1.2279,-3.1973,2.3126,1.8681,-1.2316,0.53967
"295",-0.69002,-0.4478,-2.9225,1.2835,0.24259,0.24719,0.63057,-1.6988
"297",-0.092557,-0.93261,-1.4631,0.15192,-1.0698,-0.6214,0.85157,-0.36253
"300",-3.6689,-5.4918,-0.63305,2.2966,2.4722,1.2685,-0.0095102,-1.1028
"304",-0.38981,-0.12629,-0.1099,-0.35798,-1.6123,-0.10117,-0.25714,0.22894
"311",0.87816,-0.62245,-3.8063,2.6419,-2.8512,1.5193,-0.80042,0.28792
"315",-3.6126,-3.4455,1.9862,1.6518,-0.51234,-1.3661,-0.60182,1.2864
"326",-2.6261,-2.3914,1.743,-0.23094,-0.57315,0.56757,0.95355,0.51097
"330",5.976,-2.4181,-3.5166,-0.82437,2.9298,-2.4877,-0.82771,-0.9687
"332",-1.6939,-1.9059,-2.4069,-0.0057641,0.19155,1.8113,-0.25715,1.3147
"336",2.0157,1.1934,-1.1434,-0.3668,0.064881,-3.9893,0.32803,-2.069
"340",-0.24594,0.16453,0.94926,0.68831,-1.8707,-2.9791,-2.4421,0.39578
"120",0.90073,2.4653,0.58567,2.5962,2.7556,-0.077854,-0.98561,0.77885
"122",1.0331,2.8305,0.72145,1.3861,1.2246,-0.16227,2.5332,-0.27332
"129",6.6631,5.4068,1.1535,-2.3264,0.83123,0.48695,-1.1803,3.8225
"151",2.9072,3.1249,-0.31273,1.1173,3.0219,-2.9569,2.6559,-0.17979
"179",0.93612,1.8205,-1.4923,3.7997,1.4428,2.3344,2.0488,0.039732
"196",2.7838,1.3307,0.91854,1.0081,1.9963,0.24503,0.71045,0.49957
"261",23.785,-5.386,2.8047,-0.30394,-2.1473,1.5988,0.38993,-0.71306
"263",1.2112,5.1207,2.8174,3.0987,-1.4326,-0.38023,-2.4993,-0.65357
"283",-2.2573,1.4126,7.9264,-0.62259,0.77659,2.5079,1.1654,-1.1299
"321",0.67945,4.1763,1.9031,1.1247,1.3658,0.011343,-0.006403,-1.2511
"92",-0.85941,0.91627,1.8948,2.7582,1.5268,2.5258,-0.83256,1.5342
