"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"Cer 18:1;2O/24:2",2.9117,2.351,1.9866,1.8365,1.7343,1.7264,1.7047,1.6966
"PE P-34:1 or PE O-34:2",2.4422,1.9432,1.6424,1.5172,1.4312,1.4407,1.4274,1.4206
"FA 20:4 (arachidonic acid)",2.4273,1.7306,1.7098,1.6315,1.6338,1.6128,1.594,1.5945
"SM 26:0;2O/18:1",2.4005,1.8865,1.6451,1.4883,1.4005,1.3946,1.3769,1.3705
"TG 60:2",2.3695,1.9023,1.7256,1.5537,1.5579,1.5341,1.5156,1.5124
"PC 40:4",2.355,1.9905,1.7836,1.6192,1.5764,1.5836,1.5642,1.5566
"Cer 18:1;2O_26:0;(2OH)",2.1863,1.9563,1.6566,1.7016,1.6045,1.603,1.5846,1.5795
"TG 58:3",2.1755,1.9244,1.6815,1.5519,1.5578,1.5418,1.5379,1.5338
"FA 18:2 (linoleic acid)",2.1669,1.899,1.6463,1.4832,1.4705,1.4418,1.4236,1.4217
"Cer d42:2 Isomer A",2.1211,1.4721,1.2476,1.1122,1.0877,1.0691,1.0638,1.071
"Cer d36:2",2.1197,1.8238,1.8377,1.7413,1.7127,1.681,1.6597,1.6716
"TG 64:2",2.1124,1.8187,1.6233,1.4914,1.4491,1.43,1.4186,1.4183
"Cer 20:0;2O/25:0",2.1081,1.4646,1.3318,1.1872,1.1274,1.1079,1.0939,1.0902
"5-HETE",2.0887,1.7259,1.6452,1.6303,1.5824,1.5528,1.5446,1.541
"13-HODE",2.0387,1.6417,1.5222,1.3671,1.3574,1.334,1.3209,1.3189
"TG 60:1",2.0285,1.4147,1.2952,1.1636,1.1966,1.1891,1.1746,1.1706
"TG 58:2",2.0249,1.6757,1.4912,1.4037,1.4391,1.4171,1.4015,1.4008
"TG 58:4",2.0106,1.4217,1.25,1.1158,1.1056,1.0909,1.0857,1.0858
"TG 60:3",2.0074,1.4314,1.3193,1.2022,1.2115,1.1966,1.1842,1.1804
"Cer 20:0;2O/26:0",1.9533,1.3509,1.3918,1.3153,1.2439,1.2209,1.2122,1.2088
"PE O-40:6 Isomer B",1.9171,1.9515,1.7064,1.5311,1.5024,1.5121,1.4943,1.5233
"SPB 25:0;2O",1.9105,1.5719,2.0758,1.9961,1.9072,1.9832,2.1139,2.1279
"GlcCer d42:2",1.8318,1.9559,1.6696,1.5825,1.496,1.4928,1.4741,1.4695
"FA 22:4",1.8063,1.7208,1.6786,1.5592,1.548,1.5167,1.4975,1.5004
"TG 58:9",1.7992,1.3192,1.2492,1.1118,1.0589,1.0765,1.0644,1.0627
"FA 15:1",1.7599,1.2079,1.0205,0.94361,0.8871,0.87277,0.8825,0.8863
"SM 24:1",1.7559,1.6174,1.3702,1.2478,1.1722,1.1493,1.1349,1.1295
"FA 20:3 (homo-gamma-linolenic acid)",1.7466,1.3652,1.6452,1.4663,1.542,1.5116,1.4947,1.4918
"PC 36:0",1.7418,1.2793,1.0826,0.96519,0.94034,0.92146,0.90983,0.90629
"FAHFA 38:4",1.732,1.6255,1.3761,1.2893,1.208,1.1869,1.1885,1.1838
"FA 22:0 (behenic acid)",1.7179,1.1819,1.0979,0.98954,0.92833,0.90976,0.89937,0.90321
"SM d42:0",1.7027,1.3862,1.1869,1.072,1.0082,0.9989,0.98879,0.98402
